spec,outcome,term,threshold_type,threshold_eci_pre,coef,se,p_cluster_two_sided,n_obs,n_countries,r2_within
covered_basket_log,"Log export recovery, covered-US-basket sensitivity",post_x_eci_above,pre_specified_pre_shock_median,0.09166666666666667,-0.05121092598209901,0.1732557810574379,0.7678211222764292,2507,228,0.004591947029960797
covered_basket_log,"Log export recovery, covered-US-basket sensitivity",h6_low_slope,pre_specified_pre_shock_median,0.09166666666666667,0.041896329246012685,0.04606831976392444,0.3640829982264769,2507,228,0.004591947029960797
covered_basket_log,"Log export recovery, covered-US-basket sensitivity",h6_high_slope,pre_specified_pre_shock_median,0.09166666666666667,0.0027688584555383275,0.07403348978024749,0.9701988779366502,2507,228,0.004591947029960797
china_network_log,"Log export recovery, China-network channel sensitivity",post_x_exposure,pre_specified_pre_shock_median,0.09166666666666667,0.003359877878752815,0.06209735079028242,0.9568978044863391,2507,228,0.0015408275355606182
china_network_log,"Log export recovery, China-network channel sensitivity",post_x_eci_below,pre_specified_pre_shock_median,0.09166666666666667,0.03624755588340426,0.0731097580477587,0.6205177188862827,2507,228,0.0015408275355606182
china_network_log,"Log export recovery, China-network channel sensitivity",post_x_eci_above,pre_specified_pre_shock_median,0.09166666666666667,-0.0957576692973838,0.1570721800347506,0.5427092588669995,2507,228,0.0015408275355606182
china_network_log,"Log export recovery, China-network channel sensitivity",h6_low_slope,pre_specified_pre_shock_median,0.09166666666666667,-0.021094501919518765,0.03534738863597891,0.5512511172340107,2507,228,0.0015408275355606182
china_network_log,"Log export recovery, China-network channel sensitivity",h6_high_slope,pre_specified_pre_shock_median,0.09166666666666667,0.0333887076991331,0.0731515308946521,0.6485156858366177,2507,228,0.0015408275355606182
continuous_nexus_log,"Log export recovery, continuous nexus sensitivity",post_x_exposure,pre_specified_pre_shock_median,0.09166666666666667,-0.15796756046960253,0.10372315567662052,0.12915732415132,2507,228,0.018512800365773963
continuous_nexus_log,"Log export recovery, continuous nexus sensitivity",post_x_eci_below,pre_specified_pre_shock_median,0.09166666666666667,-0.012301380918767552,0.05978602025901025,0.8371652845019023,2507,228,0.018512800365773963
continuous_nexus_log,"Log export recovery, continuous nexus sensitivity",post_x_eci_above,pre_specified_pre_shock_median,0.09166666666666667,-0.07308693948691147,0.07308273083776293,0.318347476488713,2507,228,0.018512800365773963
continuous_nexus_log,"Log export recovery, continuous nexus sensitivity",h6_low_slope,pre_specified_pre_shock_median,0.09166666666666667,-0.05830934573743576,0.0853184503425862,0.49503098524208783,2507,228,0.018512800365773963
continuous_nexus_log,"Log export recovery, continuous nexus sensitivity",h6_high_slope,pre_specified_pre_shock_median,0.09166666666666667,0.059482986213639566,0.1352462059256964,0.6604912783852703,2507,228,0.018512800365773963
pre_shock_controls_x_year_log,Log export recovery with frozen pre-shock controls by year,post_x_exposure,pre_specified_pre_shock_median,0.09166666666666667,0.1312119825384891,0.05611619075667223,0.02051267023092791,1925,175,0.15457838019745607
pre_shock_controls_x_year_log,Log export recovery with frozen pre-shock controls by year,post_x_eci_below,pre_specified_pre_shock_median,0.09166666666666667,-0.0144772857898333,0.07953807755892578,0.8557812260383197,1925,175,0.15457838019745607
pre_shock_controls_x_year_log,Log export recovery with frozen pre-shock controls by year,post_x_eci_above,pre_specified_pre_shock_median,0.09166666666666667,-0.04814289448556879,0.10412071609962562,0.6443895414904011,1925,175,0.15457838019745607
pre_shock_controls_x_year_log,Log export recovery with frozen pre-shock controls by year,h6_low_slope,pre_specified_pre_shock_median,0.09166666666666667,0.10456971802568622,0.028110422169767023,0.00026862081607722697,1925,175,0.15457838019745607
pre_shock_controls_x_year_log,Log export recovery with frozen pre-shock controls by year,h6_high_slope,pre_specified_pre_shock_median,0.09166666666666667,-0.017554617775866286,0.0782903100154582,0.8228455716464627,1925,175,0.15457838019745607
