country_iso3_code,eci_pre_raw,coi_pre_raw,baseline_log_gdp_pc,baseline_trade_open,baseline_wgi,baseline_rents,baseline_export_value,nexus_exposure_pre,z_eci_pre_raw,z_coi_pre_raw,z_baseline_log_gdp_pc,z_baseline_trade_open,z_baseline_wgi,z_baseline_rents,z_nexus_exposure_pre,exposed_top_tercile_pre,exposed_top_quartile_pre,exposure_tercile_threshold,exposure_quartile_threshold,us_export_market_dependence_pre,china_export_market_dependence_pre,china_import_dependence_pre,wb_income_id,wb_income_name,wb_region,eci_pre_regime,coi_pre_regime,us_export_value_pre_baci_thousand_usd,china_import_value_pre_baci_thousand_usd,us_export_share_list1_pre,us_export_competition_share_list1_pre,china_import_share_list1_pre,us_export_share_list2_pre,us_export_competition_share_list2_pre,china_import_share_list2_pre,us_export_share_list3_pre,us_export_competition_share_list3_pre,china_import_share_list3_pre,us_export_share_list4a_pre,us_export_competition_share_list4a_pre,china_import_share_list4a_pre,us_tariffed_export_share_pre,us_china_competition_tariffed_share_pre,china_tariffed_import_share_pre,tariff_weighted_us_diversion_2012,tariff_weighted_us_diversion_2013,tariff_weighted_us_diversion_2014,tariff_weighted_us_diversion_2015,tariff_weighted_us_diversion_2016,tariff_weighted_us_diversion_2017,tariff_weighted_us_diversion_2018,tariff_weighted_us_diversion_2019,tariff_weighted_us_diversion_2020,tariff_weighted_us_diversion_2021,tariff_weighted_us_diversion_2022,tariff_weighted_us_covered_basket_2012,tariff_weighted_us_covered_basket_2013,tariff_weighted_us_covered_basket_2014,tariff_weighted_us_covered_basket_2015,tariff_weighted_us_covered_basket_2016,tariff_weighted_us_covered_basket_2017,tariff_weighted_us_covered_basket_2018,tariff_weighted_us_covered_basket_2019,tariff_weighted_us_covered_basket_2020,tariff_weighted_us_covered_basket_2021,tariff_weighted_us_covered_basket_2022,tariff_weighted_china_network_2012,tariff_weighted_china_network_2013,tariff_weighted_china_network_2014,tariff_weighted_china_network_2015,tariff_weighted_china_network_2016,tariff_weighted_china_network_2017,tariff_weighted_china_network_2018,tariff_weighted_china_network_2019,tariff_weighted_china_network_2020,tariff_weighted_china_network_2021,tariff_weighted_china_network_2022
ASM,0.6133333333333333,-0.21733333333333335,9.428336598384506,161.003488493204,0.9773983666666667,0.0,33166329.0,0.0,0.6265105225304163,-0.02607233320062195,0.4748507884634128,1.283096707686029,1.1029021534704142,-0.6524528039822401,-1.3313010237564857,0,0,0.26917599908681505,0.317817685580497,0.0,0.0,0.0,UMC,Upper-middle income,East Asia & Pacific,high,middle,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATA,1.1843333333333332,-0.313,,,,,7706049.333333333,0.0,1.2018643648172946,-0.13500547546108477,,,,,-1.3313010237564857,0,0,0.26917599908681505,0.317817685580497,0.0,0.0,0.0,,,,high,middle,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATF,0.37399999999999994,-0.7146666666666667,,,,,7622367.0,0.140026886326793,0.385352286242046,-0.5923728497602406,,,,,-0.5004525861894216,0,0,0.26917599908681505,0.317817685580497,0.007778102930535744,0.0,0.0,,,,middle,middle,192.742,0.0,0.0,0.0,,0.532182918097768,0.067059299327456,,0.442939265961752,0.0778928067787451,,0.02487781594048,0.0021462896210764,,1.0,0.1470983957272777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008129673534476056,0.03221624923585707,0.036418350039796446,0.036398998248131004,0.036398998248131004,0.0,0.0,0.0,0.0,0.0,0.0,0.05976462822115958,0.22154599597474542,0.2458706903869285,0.245646382210416,0.245646382210416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATG,0.293,-0.5219999999999999,9.715018405533511,129.92059711298333,0.5091916222222223,0.0,261637801.66666663,0.38489995213551725,0.30373466588261144,-0.37298833329143377,0.6764532264734929,0.728736452138153,0.5863007158177528,-0.6524528039822401,0.9524998393513472,1,1,0.26917599908681505,0.317817685580497,0.044875920728893716,8.085364252574045e-05,0.07301874809803043,HIC,High income,Latin America & Caribbean,middle,middle,8551.472999999996,231249.13600000017,0.0914517300118939,0.0142824217525561,0.3727997712389286,0.0377254304609276,0.0126424459796323,0.073097146620258,0.4230867594389879,0.0662409883186943,0.083753584272851,0.1849351567852697,0.0286080881452154,0.0363432190293675,0.7371990766970791,0.1217739441960983,0.5659937211614052,0.0,0.0,0.0,0.0,0.0,0.0,0.00468209387291758,0.021214107544476037,0.025695012401970328,0.025437070623611828,0.025437070623611828,0.0,0.0,0.0,0.0,0.0,0.0,0.026072689545407153,0.12490867744103734,0.15360356487179672,0.15193611673684757,0.15193611673684757,0.0,0.0,0.0,0.0,0.0,0.0,0.05453666246316912,0.1297946777317978,0.13546605172195214,0.13513836696021195,0.13513836696021195
AUS,0.21566666666666667,-0.015999999999999997,10.96006447760224,41.44785547883217,1.5634773333333332,4.128896793514507,180519922309.0,0.36654466641764766,0.22581167031311014,0.20318069092941135,1.5520034612795268,-0.8491660364488348,1.7495592987390929,-0.10770037192426354,0.8435888947474826,1,1,0.26917599908681505,0.317817685580497,0.04617213501734599,0.3469550827026202,0.21085375010010168,HIC,High income,East Asia & Pacific,middle,middle,28741196.049999926,141175601.7199997,0.1447923649997166,0.0150815488018101,0.1163836626288122,0.0078677854118044,0.0008588564086542,0.0300513034427462,0.3048850530352243,0.0237453123287293,0.3689027022905343,0.3735587193839159,0.0146360444573373,0.2533593687947628,0.8311039228306613,0.054321761996531,0.7686970371568557,0.0,0.0,0.0,0.0,0.0,0.0,0.0025701519132023207,0.00939640971358843,0.011151097054369771,0.011019132719098698,0.011019132719098698,0.0,0.0,0.0,0.0,0.0,0.0,0.026727370769925016,0.11695232493975227,0.14577135720336779,0.14240320481548002,0.14240320481548002,0.0,0.0,0.0,0.0,0.0,0.0,0.026971194090590612,0.12198019561003638,0.15012075750155857,0.1478363697501304,0.1478363697501304
AUT,1.4406666666666668,0.4036666666666666,10.701948555564124,103.41571436628999,1.465374161111111,0.12257017378986967,139275915006.66666,0.08637945461232592,1.4601522251317194,0.6810441965249608,1.3704893300216012,0.25602452218966276,1.6413160057715348,-0.6362813171156562,-0.8187692037240507,0,0,0.26917599908681505,0.317817685580497,0.06602464969972122,0.030224017162826865,0.0459912364782414,HIC,High income,Europe & Central Asia,high,high,32670474.93799984,26145661.579000022,0.3086122491679117,0.0323058459344135,0.1355274118535241,0.1103249213193307,0.0050971270865494,0.0179364775139851,0.2698164190979366,0.0539601014672202,0.2844183118308537,0.1701067203812203,0.0277585639451318,0.3069920285148497,0.8588603099663993,0.1191216384333151,0.7448742297132127,0.0,0.0,0.0,0.0,0.0,0.0,0.005881705540205416,0.021371874805073725,0.025172943051862174,0.024922660917930658,0.024922660917930658,0.0,0.0,0.0,0.0,0.0,0.0,0.0550540325275115,0.1664130693782982,0.1864801505430776,0.18494640142488628,0.18494640142488628,0.0,0.0,0.0,0.0,0.0,0.0,0.025939760564804567,0.1097841387595763,0.13526291335104326,0.13249495243820444,0.13249495243820444
AZE,-0.898,-1.2590000000000001,8.581639956740956,84.36038077473607,-0.6119688777777763,16.301350753940536,13955439648.333334,0.060275544627893606,-0.8963466408838893,-1.212191042482665,-0.1205693008259165,-0.0838254444735369,-0.6507449547366594,1.4982913083404208,-0.9736565499608352,0,0,0.26917599908681505,0.317817685580497,0.01677620374949471,0.02327670149780459,0.0444488939695993,UMC,Upper-middle income,Europe & Central Asia,low,low,433162.6369999997,2123658.517000004,0.0140164212731949,0.0024519016844395,0.2018559596886449,0.0003030570709172,7.64274363147199e-05,0.0250731233735352,0.8926005961128183,0.0046643173284534,0.3805586672859606,0.0076460588173951,0.0010685681644797,0.2693697919984362,0.9145661332743256,0.0082612146136874,0.8768575423465771,0.0,0.0,0.0,0.0,0.0,0.0,0.00043397901498537907,0.0016044636865605495,0.001887938855629093,0.0018783042246378826,0.0018783042246378826,0.0,0.0,0.0,0.0,0.0,0.0,0.025955906500177837,0.17979330996101422,0.22737241290012028,0.22730347302553722,0.22730347302553722,0.0,0.0,0.0,0.0,0.0,0.0,0.037319807651181224,0.14520250465987913,0.1745034160131333,0.1720746719869179,0.1720746719869179
BDI,-1.1833333333333333,-0.8463333333333334,5.553138429146849,,-1.3271933055555527,17.714592702668636,171636341.66666666,0.1005692265587808,-1.1838556245368768,-0.7422982546134907,-2.2502938813706597,,-1.4398962688056587,1.684749586945316,-0.7345743025846316,0,0,0.26917599908681505,0.317817685580497,0.039068396516856015,0.02076761132819428,0.10095337633712514,LIC,Low income,Sub-Saharan Africa,low,low,25702.77999999999,325376.44000000047,0.0066578790309841,0.0003519841828388,0.1464952041395497,0.0,0.0,0.0194993466644357,0.1163491653432041,0.0011800884312978,0.4122433972170813,0.8054230709674208,0.0057183457172059,0.3022792861093439,0.9284301153416092,0.0072504183313426,0.8805172341304107,0.0,0.0,0.0,0.0,0.0,0.0,7.5162103155848e-05,0.0006071579219704666,0.0008634529371518587,0.0008118940823245925,0.0008118940823245925,0.0,0.0,0.0,0.0,0.0,0.0,0.003972046091874682,0.06496514698207528,0.0984205027117115,0.0911584914161036,0.0911584914161036,0.0,0.0,0.0,0.0,0.0,0.0,0.030891708550559515,0.1378603122097885,0.16995590243658448,0.16723043346346744,0.16723043346346744
BEL,1.178,1.118,10.626863013294754,160.34348563188735,1.2533373,0.03426000365218327,286614220148.0,0.0903829733039886,1.1954827401801371,1.4944369626022147,1.3176871360792901,1.2713256227381642,1.4073626324271766,-0.6479326570167948,-0.7950143568014705,0,0,0.26917599908681505,0.317817685580497,0.056995179414993324,0.02157522177401185,0.028934521150025577,HIC,High income,Europe & Central Asia,high,high,49078788.10299995,29115618.567000173,0.1496039392331939,0.0113746362588131,0.128233948985432,0.028336817813865,0.0021493172267093,0.0289197299058707,0.1790662287657997,0.0270452805816782,0.3897128733806295,0.2679386110839232,0.0088413848771552,0.2953423410260719,0.624945596896782,0.0494106189443559,0.8422088932980042,0.0,0.0,0.0,0.0,0.0,0.0,0.002320968190452685,0.009151818555146634,0.010885129787216879,0.01080541238258679,0.01080541238258679,0.0,0.0,0.0,0.0,0.0,0.0,0.025741267750331295,0.09319241784011209,0.11176298222051148,0.1093471422845089,0.1093471422845089,0.0,0.0,0.0,0.0,0.0,0.0,0.028886980323242682,0.1308640921525363,0.16153023639189482,0.15886731364493842,0.15886731364493842
BEN,-1.012,-0.7360000000000001,6.921359276639474,59.0732794938742,-0.23869568888888873,4.284126286231364,981116564.0,0.3868031863114347,-1.011215884352723,-0.6166645609263369,-1.288123796934981,-0.5348183639110105,-0.23888957609190847,-0.08721992692562382,0.9637926644856205,1,1,0.26917599908681505,0.317817685580497,0.009526623549095425,0.06046471734226879,0.3789154490032442,LIC,Low income,Sub-Saharan Africa,low,middle,57507.60500000001,3275260.6510000057,0.0941020931057726,0.0130384976018476,0.052314326784247,0.0002514276155301,2.277761907510866e-06,0.0121819559575565,0.7457506185486248,0.0096441841038129,0.3494807091614273,0.0422533332765292,0.0041670497729288,0.4349422155348315,0.8823574725464569,0.0268520092404969,0.8489192074380624,0.0,0.0,0.0,0.0,0.0,0.0,0.00186034188222712,0.0053688893146613655,0.006021340360109381,0.0059837685998616625,0.0059837685998616625,0.0,0.0,0.0,0.0,0.0,0.0,0.03178694258773512,0.1726094910641794,0.213576007490305,0.21319503481322155,0.21319503481322155,0.0,0.0,0.0,0.0,0.0,0.0,0.016985984114803176,0.10677367488543454,0.1400365242809882,0.13611491414092006,0.13611491414092006
