replication,threshold_eci_pre,rss_selected
322,-0.907,456.96557653731355
323,-0.907,454.7326768333591
324,-0.907,457.1994548151524
325,-0.907,455.56013440520064
326,-0.73925,456.33312917866954
327,-0.38943333,456.42200349837265
328,-0.38943333,456.63776560837147
329,-0.907,457.43008718511044
330,-0.21506667,454.31808841140094
331,-0.907,457.72056645949147
332,-0.907,457.90255965555605
333,-0.73925,456.5141135313264
334,-0.73925,455.8438364241767
335,-0.907,454.47324285315375
336,-0.03963333,454.6169186849511
337,-0.73925,455.59564347334646
338,-0.907,453.64726969666265
339,-0.907,457.6216191840501
340,-0.907,453.54645816506695
341,-0.907,457.34864747877543
342,-0.907,454.66110543638365
343,-0.907,455.5119700056731
344,0.51945,455.60060071982014
345,-0.907,458.37382889020193
346,-0.57963333,457.9301997255363
347,-0.73925,455.868812934663
348,-0.907,457.7030700306949
349,-0.57963333,455.80317999627334
350,-0.73925,456.12979379379533
351,-0.907,454.3541849684455
352,-0.73925,454.7058243273474
353,-0.907,453.79464466719327
354,-0.907,456.13601991013275
355,-0.907,456.2520282583672
356,-0.907,457.3592657405873
357,-0.73925,454.71846136374666
358,-0.907,457.2005766110167
359,-0.907,455.7525817609038
360,-0.73925,455.2890738877285
361,-0.907,456.9545339945091
362,-0.73925,457.6051317262913
363,-0.907,457.2014200989295
364,-0.907,455.5998213175925
365,-0.907,457.7358812806343
366,-0.57963333,453.42431704790334
367,-0.57963333,456.4454198000514
368,-0.907,455.22044549855417
369,-0.73925,457.0210956513249
370,-0.907,457.89668289162364
371,-0.21506667,454.3024467819757
372,-0.73925,454.3086461958589
373,-0.57963333,454.16281575850377
374,-0.38943333,457.2208496049477
375,-0.907,454.42244039241183
376,0.28161667,455.85851160105994
377,-0.73925,458.34631122045005
378,-0.907,457.1028894025676
379,0.7145,456.5828605355775
380,-0.907,456.0101016307857
381,-0.907,457.15834656367576
382,-0.907,458.09486494580756
383,-0.907,458.32118810939653
384,-0.907,457.84269518130196
385,-0.38943333,454.76650171495027
386,-0.57963333,455.4186505781673
387,-0.73925,452.81960057267963
388,-0.907,456.5089040273823
389,-0.73925,457.87158834300146
390,-0.907,457.7549847399172
391,-0.907,451.37521050792634
392,-0.57963333,457.4354482728171
393,-0.57963333,457.37124577886846
394,-0.73925,457.4943044478327
395,-0.907,457.3360552796816
396,-0.907,454.2345585892708
397,-0.57963333,455.0151525372514
398,-0.907,457.63992346283817
399,-0.73925,457.48323040689166
400,-0.73925,456.12982081767115
401,-0.907,458.0700170464954
402,-0.907,455.64330756709325
403,-0.907,458.0923174471852
404,-0.907,456.29555087288327
405,-0.21506667,456.3205530644667
406,-0.907,457.33693981166977
407,-0.73925,456.2204359145988
408,-0.907,452.47346973713775
409,-0.03963333,452.2875402478303
410,-0.57963333,457.1920230563208
411,-0.73925,456.7472072546713
412,-0.73925,455.9453274691258
413,0.39473333,454.41914123024395
414,-0.907,457.7947317627035
415,-0.73925,457.50179537710693
416,-0.907,455.7209385082234
417,-0.907,456.1920084542994
418,-0.73925,457.7658100329138
419,-0.907,457.05384439072895
420,-0.907,457.3686594959217
421,-0.57963333,455.82237557172954
422,-0.907,457.7198668093119
423,-0.907,455.77018434801425
424,-0.907,453.99696974563597
425,-0.907,457.3966233850342
426,-0.907,456.2597803898276
427,-0.57963333,456.4577269385621
428,-0.73925,456.2867075054233
429,-0.57963333,457.96635872211834
430,-0.907,455.341524424485
431,-0.907,457.66008746821126
432,-0.38943333,456.27878401820124
433,-0.907,457.2292283573455
434,-0.907,457.1092023447025
