test_id,hypothesis,outcome,expected_direction,alternative,multiplicity_family,estimate,se,tvalue,p_cluster,ci_low_95,ci_high_95,p_wild_bootstrap,bootstrap_reps_requested,bootstrap_reps_success,n_obs,n_countries,n_years,treatment,pvalue_for_fdr,test_type,equivalence_bound_abs_sd,tost_p_lower,tost_p_upper,tost_pvalue,equivalent_within_bound_0_05,mde_80pct_power_abs_sd,gpr_sample,wald_chi2,df,n_country_clusters,n_entity_outcome_panels,n_year_outcome_fixed_effects,gpr_column,spec,exposure,threshold_eci_pre,test,threshold_type,group_dimension,target_group,reference_group,contrast,available_groups,control_strategy,qvalue_bh_full_reported_family,fdr_significant_0_05
H6_continuous_nexus_log_H6a_beta_low_lt_0,H6 capability-conversion threshold,"Log export recovery, continuous nexus sensitivity",negative,less,full_reported_family,-0.05830934573743576,0.0853184503425862,-0.683431842740948,0.24751549262104391,-0.22642675100417078,0.10980805952929926,0.282,999.0,999.0,2507,228.0,11.0,,0.282,,,,,,,,,,,,,,,continuous_nexus_log,z_nexus_exposure_pre,0.09166666666666667,H6a_beta_low_lt_0,pre_specified_pre_shock_median,,,,,,,0.86075,0
H6_continuous_nexus_log_H6b_beta_high_minus_low_gt_0,H6 capability-conversion threshold,"Log export recovery, continuous nexus sensitivity",positive,greater,full_reported_family,0.11779233195107533,0.20020434788164107,0.58836050863747,0.2784376346337784,-0.2767042318499686,0.5122888957521192,0.313,999.0,999.0,2507,228.0,11.0,,0.313,,,,,,,,,,,,,,,continuous_nexus_log,z_nexus_exposure_pre,0.09166666666666667,H6b_beta_high_minus_low_gt_0,pre_specified_pre_shock_median,,,,,,,0.86075,0
H6_pre_shock_controls_x_year_log_H6a_beta_low_lt_0,H6 capability-conversion threshold,Log export recovery with frozen pre-shock controls by year,negative,less,full_reported_family,0.10456971802568622,0.028110422169767023,3.7199625602973607,0.9998656895919614,0.0490884184212877,0.16005101763008475,0.963,999.0,999.0,1925,175.0,11.0,,0.963,,,,,,,,,,,,,,,pre_shock_controls_x_year_log,s_tariff_weighted_us_diversion,0.09166666666666667,H6a_beta_low_lt_0,pre_specified_pre_shock_median,,,,,,,0.993,0
H6_pre_shock_controls_x_year_log_H6b_beta_high_minus_low_gt_0,H6 capability-conversion threshold,Log export recovery with frozen pre-shock controls by year,positive,greater,full_reported_family,-0.1221243358015525,0.09194979004271478,-1.3281632915618438,0.9070681635116628,-0.3036048492962269,0.05935617769312189,0.891,999.0,999.0,1925,175.0,11.0,,0.891,,,,,,,,,,,,,,,pre_shock_controls_x_year_log,s_tariff_weighted_us_diversion,0.09166666666666667,H6b_beta_high_minus_low_gt_0,pre_specified_pre_shock_median,,,,,,,0.993,0
E1_UMC_slope,E1 targeted subgroup slope,Adverse forward-GVC deviation stability,two-sided exploratory,two-sided,full_reported_family,0.0783727551088245,0.30905862783662075,0.25358539788203255,0.8004917516547844,-0.5370415960035495,0.6937871062211984,0.823,999.0,999.0,858,78.0,11.0,,0.823,,,,,,,,,,,,,,,,,,,,wb_income_id,UMC,HIC,,,,0.993,0
E1_UMC_minus_HIC,E1 formal subgroup difference,Adverse forward-GVC deviation stability,two-sided exploratory,two-sided,full_reported_family,-0.1987111128107011,0.33442759839115577,-0.5941827581415189,0.5541316664681772,-0.8646415380462714,0.46721931242486925,0.535,999.0,999.0,858,78.0,11.0,,0.535,,,,,,,,,,,,,,,,,,,,wb_income_id,,HIC,UMC - HIC,,,0.993,0
E1_UMC_minus_LMC,E1 formal subgroup difference,Adverse forward-GVC deviation stability,two-sided exploratory,two-sided,full_reported_family,-0.14271693175761366,0.34402195338171626,-0.4148483268428492,0.6794065225349509,-0.827752158539054,0.5423182950238267,0.673,999.0,999.0,858,78.0,11.0,,0.673,,,,,,,,,,,,,,,,,,,,wb_income_id,,HIC,UMC - LMC,,,0.993,0
E1_omnibus,E1 formal equality across available groups,Adverse forward-GVC deviation stability,,,full_reported_family,,,,0.8370039644507659,,,,,,858,78.0,,,0.8370039644507659,cluster_wald_omnibus,,,,,,,,0.35585294400712264,2.0,,,,,,,,,,,,,,"HIC,LMC,UMC",,0.993,0
E2_low_slope,E2 targeted subgroup slope,Log export recovery,two-sided exploratory,two-sided,full_reported_family,0.22288372585069333,0.04068476985836684,5.4783086306400035,1.1368482708872694e-07,0.14271562721553976,0.3030518244858469,0.029,999.0,999.0,2507,228.0,11.0,,0.029,,,,,,,,,,,,,,,,,,,,eci_pre_regime,low,middle,,,,0.4714285714285715,0
E2_low_minus_high,E2 formal subgroup difference,Log export recovery,two-sided exploratory,two-sided,full_reported_family,0.12766350539263843,0.10186481789535183,1.253263963263452,0.2113989890794434,-0.0730580126819469,0.32838502346722376,0.206,999.0,999.0,2507,228.0,11.0,,0.206,,,,,,,,,,,,,,,,,,,,eci_pre_regime,,middle,low - high,,,0.86075,0
E2_low_minus_middle,E2 formal subgroup difference,Log export recovery,two-sided exploratory,two-sided,full_reported_family,0.3515477966387558,0.2000561593990938,1.7572455539219365,0.08022403271274292,-0.04265676627530263,0.7457523595528142,0.091,999.0,999.0,2507,228.0,11.0,,0.091,,,,,,,,,,,,,,,,,,,,eci_pre_regime,,middle,low - middle,,,0.6411428571428572,0
E2_omnibus,E2 formal equality across available groups,Log export recovery,,,full_reported_family,,,,0.07208492637607813,,,,,,2507,228.0,,,0.07208492637607813,cluster_wald_omnibus,,,,,,,,5.259820644135006,2.0,,,,,,,,,,,,,,"high,low,middle",,0.5947006426026447,0
E3_direct_observation_HIC_slope,E3 high-income GPR moderation,Partner diversification excluding US and China,negative exploratory,two-sided,full_reported_family,0.012113600253460359,0.010131556847555899,1.1956306849704545,0.2387103008115781,-0.008347493894534645,0.03257469440145536,0.247,999.0,999.0,462,42.0,11.0,,0.247,,,,,,,,direct_observation,,,,,,gpr_country_annual,,,,,,,HIC,,,,,0.86075,0
E3_direct_observation_HIC_minus_LMC,E3 formal GPR moderation difference,Partner diversification excluding US and China,two-sided exploratory,two-sided,full_reported_family,0.016738494843648616,0.04100018494711205,0.40825413020064033,0.6852114654698722,-0.06606305845271794,0.09954004814001517,0.643,999.0,999.0,462,42.0,11.0,,0.643,,,,,,,,direct_observation,,,,,,gpr_country_annual,,,,,,,,,HIC - LMC,,,0.993,0
E3_direct_observation_HIC_minus_UMC,E3 formal GPR moderation difference,Partner diversification excluding US and China,two-sided exploratory,two-sided,full_reported_family,-0.04886638878489872,0.0499051237485,-0.9791858052724997,0.333230943185028,-0.14965183082994135,0.05191905326014392,0.408,999.0,999.0,462,42.0,11.0,,0.408,,,,,,,,direct_observation,,,,,,gpr_country_annual,,,,,,,,,HIC - UMC,,,0.9617142857142856,0
E3_direct_observation_omnibus,E3 formal equality across available income groups,Partner diversification excluding US and China,,,full_reported_family,,,,0.6191506693319028,,,,,,462,42.0,,,0.6191506693319028,cluster_wald_omnibus,,,,,,,direct_observation,0.958813256543889,2.0,,,,,,,,,,,,,,"HIC,LMC,UMC",,0.993,0
E3_profile_matched_knn_k10_HIC_slope,E3 high-income GPR moderation,Partner diversification excluding US and China,negative exploratory,two-sided,full_reported_family,0.006412483505754851,0.007518235278885773,0.8529240264352571,0.3946872552838779,-0.008409645110366471,0.021234612121876176,0.366,999.0,999.0,2288,208.0,11.0,,0.366,,,,,,,,profile_matched_knn_k10,,,,,,gpr_profile_matched,,,,,,,HIC,,,,,0.929076923076923,0
