country_iso3_code,cate_mean_country,dv
IDN,0.07296147503827334,DV2_Export_Recovery
LUX,0.07426643843617405,DV2_Export_Recovery
SGP,0.0746077089541701,DV2_Export_Recovery
HUN,0.07487278419886148,DV2_Export_Recovery
TLS,0.07702476613283753,DV2_Export_Recovery
DNK,0.08106232362079704,DV2_Export_Recovery
MNE,0.08126027443772708,DV2_Export_Recovery
MUS,0.0815125250199668,DV2_Export_Recovery
SRB,0.08169140381682356,DV2_Export_Recovery
MDA,0.08174664286577264,DV2_Export_Recovery
SYC,0.08294302160256353,DV2_Export_Recovery
NLD,0.08540156664491663,DV2_Export_Recovery
JOR,0.0865458352618183,DV2_Export_Recovery
CYM,0.08830616716783984,DV2_Export_Recovery
PRY,0.09128946153682868,DV2_Export_Recovery
AFG,0.09216535561459938,DV2_Export_Recovery
EGY,0.09618628655675757,DV2_Export_Recovery
NPL,0.09778610131541983,DV2_Export_Recovery
IND,0.10002623522871094,DV2_Export_Recovery
SSD,0.10055721005754747,DV2_Export_Recovery
MDV,0.10205519500874632,DV2_Export_Recovery
MKD,0.10253464037612088,DV2_Export_Recovery
CAF,0.10308299417396918,DV2_Export_Recovery
RWA,0.10674746726015027,DV2_Export_Recovery
UZB,0.10728388935807102,DV2_Export_Recovery
BLZ,0.10802199778437933,DV2_Export_Recovery
BWA,0.11037504436635973,DV2_Export_Recovery
GRL,0.1127788400676504,DV2_Export_Recovery
BGR,0.1148072944531918,DV2_Export_Recovery
SYR,0.11504107537827335,DV2_Export_Recovery
NER,0.12029179220169435,DV2_Export_Recovery
YEM,0.12098536991096141,DV2_Export_Recovery
CPV,0.1224499086345983,DV2_Export_Recovery
NAM,0.1230890140407471,DV2_Export_Recovery
MAR,0.12644312614734407,DV2_Export_Recovery
SWZ,0.12768574099031782,DV2_Export_Recovery
KEN,0.12797123465577864,DV2_Export_Recovery
POL,0.13484015567328692,DV2_Export_Recovery
GHA,0.14579991906327042,DV2_Export_Recovery
TUN,0.14975087822398825,DV2_Export_Recovery
MLI,0.15161373505237621,DV2_Export_Recovery
MWI,0.1584341174250886,DV2_Export_Recovery
LVA,0.16065737976273584,DV2_Export_Recovery
SEN,0.16186410024246398,DV2_Export_Recovery
BLR,0.1679109459059825,DV2_Export_Recovery
BFA,0.17363425979821145,DV2_Export_Recovery
TKM,0.18438993505600443,DV2_Export_Recovery
TCD,0.18694110308474823,DV2_Export_Recovery
EST,0.18937195280671246,DV2_Export_Recovery
GNQ,0.18983402509055602,DV2_Export_Recovery
ZWE,0.19625569393858436,DV2_Export_Recovery
BTN,0.19969500338696314,DV2_Export_Recovery
TGO,0.20022160478620482,DV2_Export_Recovery
ZMB,0.2004298587657972,DV2_Export_Recovery
COD,0.2028249855745389,DV2_Export_Recovery
MYS,0.20392705536977068,DV2_Export_Recovery
TZA,0.20649313397253244,DV2_Export_Recovery
PAK,0.21355768238548384,DV2_Export_Recovery
BEN,0.21624588991530064,DV2_Export_Recovery
GMB,0.22450523586816398,DV2_Export_Recovery
ETH,0.2247038442527765,DV2_Export_Recovery
CMR,0.22605266989729453,DV2_Export_Recovery
THA,0.23026669021726423,DV2_Export_Recovery
COM,0.23054345449374863,DV2_Export_Recovery
SDN,0.235833783888574,DV2_Export_Recovery
BOL,0.24463522177681113,DV2_Export_Recovery
BGD,0.2550886547522894,DV2_Export_Recovery
CIV,0.25532810614389845,DV2_Export_Recovery
MNG,0.268861939585055,DV2_Export_Recovery
COG,0.2704091843217783,DV2_Export_Recovery
SLB,0.27171899391279786,DV2_Export_Recovery
UKR,0.2772387351141293,DV2_Export_Recovery
HTI,0.29647385177316576,DV2_Export_Recovery
KIR,0.298941557987732,DV2_Export_Recovery
MDG,0.29896011946712175,DV2_Export_Recovery
GNB,0.303772414214812,DV2_Export_Recovery
VNM,0.3345047945024099,DV2_Export_Recovery
KGZ,0.34224169113857617,DV2_Export_Recovery
HND,0.3428760758426458,DV2_Export_Recovery
SOM,0.3470265051636916,DV2_Export_Recovery
TJK,0.34711914112804015,DV2_Export_Recovery
DJI,0.3726740916904242,DV2_Export_Recovery
FSM,0.396052773263195,DV2_Export_Recovery
LSO,0.41037760686515556,DV2_Export_Recovery
LAO,0.4164894526695824,DV2_Export_Recovery
NIC,0.4238865402950004,DV2_Export_Recovery
MRT,0.43074738519882627,DV2_Export_Recovery
