country_iso3_code,pre_eci,pre_coi,pre_log_gdp_pc,pre_trade_open,pre_wgi,pre_rents,pre_tariff,pre_us_china_intensity,cluster,pc1,pc2,cluster_label,dv1_post_mean,dv1_pre_mean,dv1_change_post_minus_pre,dv2_post_mean,dv2_pre_mean,dv2_change_post_minus_pre,dv3_post_mean,dv3_pre_mean,dv3_change_post_minus_pre
BTN,-0.17200000000000001,-0.8813333333333334,7.973167356513412,86.64068943678971,0.43074263888888903,3.829474263044317,2.82,0.0279954832940448,1,0.057172457775257875,-1.3456322960462728,C1,,,,1.555899730787312,0.8905252845681718,0.6653744462191401,0.3524807309401297,0.3168318680124929,0.035648862927636804
BVT,0.7896666666666666,-0.7971666666666666,,,,,,0.0,1,0.3825068573973473,-1.2465832958468928,C1,,,,0.5100191488107282,7.126708217574556,-6.6166890687638285,0.727523936925491,0.40819992410121747,0.31932401282427353
BWA,-0.11533333333333333,-1.2131666666666667,8.748934220545607,108.74089908033606,0.6768978305555556,1.1764522559606903,1.215,0.0617035200856271,1,0.6085365854696563,-1.1010790379240285,C1,,,,0.9249911981681764,1.0374128158070965,-0.11242161763892011,0.8364866398981223,0.784889766290076,0.05159687360804632
CAF,-0.23466666666666666,-0.5358333333333334,5.97186945678721,47.5621942825049,-1.4970608694444412,12.149653485410342,16.674,0.1410194892317575,0,-3.06276680809304,-0.1982390506205068,C0,,,,1.064754507730953,1.0085359923756316,0.05621851535532141,0.8024057667549966,0.8575794897400985,-0.055173722985101814
CAN,0.9528333333333333,1.029,10.677720974859874,64.30582223938865,1.6330885749999997,1.1936909716038884,1.5016666666666667,0.752416525870044,1,2.3891208563250474,2.9894484644442114,C1,0.4132499999999997,-0.26679999999999987,0.6800499999999996,1.2113765723438537,1.0756005956441457,0.13577597669970798,0.4436413248937028,0.4267346326541668,0.016906692239536003
CCK,1.3114999999999999,0.05633333333333334,,,,,,0.17781661514518957,1,0.8529887584044284,-0.28025046950362253,C1,,,,0.8681870047110117,1.0960036703965892,-0.22781666568557746,0.782119539563408,0.7681909824645365,0.013928557098871419
CHE,1.7798333333333334,1.2098333333333333,11.332967267005763,124.11453443149516,1.8229255222222223,0.011381546786413252,1.5816666666666668,0.1728906745432267,1,3.979337899181054,0.2872745388715761,C1,0.2222499999999998,-0.10440000000000041,0.3266500000000002,1.15928344246066,1.0486104635813949,0.11067297887926508,0.9150206879902626,0.92641814820018,-0.011397460209917387
CHL,-0.022166666666666668,-0.5535,9.494934356137847,61.727864916414084,1.0870290805555556,6.024581331808115,2.9379999999999997,0.4346450317535013,1,0.5538009724557569,1.0515101252361274,C1,0.3100000000000005,-0.3981999999999999,0.7082000000000004,1.3315006159233773,1.109080885556627,0.22241973036675033,0.8236781561705886,0.897273827988959,-0.07359567181837046
CHN,1.2590000000000001,0.5848333333333334,8.974832324685089,41.54831984739042,-0.4498801749999998,2.1538630037906517,4.1575,0.1478716119896092,1,0.8594080206980927,-0.5183950372534418,C1,0.6505000000000001,0.1665999999999997,0.4839000000000004,1.3277382078781133,0.998602982555707,0.32913522532240624,0.9456935802339825,0.9326903060966153,0.013003274137367238
CIV,-1.0759999999999998,-0.8956666666666666,7.468536430889671,55.212577587793184,-0.7379074249999992,3.7723096972955847,7.658333333333334,0.1465065734782962,0,-1.7644496628024637,-0.5992474265863176,C0,0.3440000000000003,1.2840000000000003,-0.94,1.175382544901733,1.0108468849189636,0.16453565998276942,0.9557653047597685,0.9527933712755831,0.0029719334841854517
