country_iso3_code,country_name,wb_region,eci_pre,exposure_pre,pre_trade_openness,z_eci_pre,z_exposure_pre,z_openness_pre
CZE,Czechia,Europe & Central Asia,1.4873333333333332,0.0743577773367901,149.61896489426866,1.5238292520507244,-0.8909530019917484,1.0057640607192928
DEU,Germany,Europe & Central Asia,1.572,0.1545775251876874,77.49724021964842,1.6094265598644195,-0.41661303728266696,-0.26488048253640095
DJI,Djibouti,"Middle East, North Africa, Afghanistan & Pakistan",-0.4679999999999999,0.4962612272095462,286.7376548291344,-0.45299676226082697,1.6037652299235667,3.421528740919988
DMA,Dominica,Latin America & Caribbean,0.0833333333333333,0.3900914689428554,,0.10439673035276079,0.9759826609357171,
DNK,Denmark,Europe & Central Asia,1.062,0.10899398512479498,103.66412936041382,1.093820729333108,-0.6861488481522786,0.19612922086009243
DOM,Dominican Republic,Latin America & Caribbean,-0.15,0.5466558043753814,54.302906694560384,-0.13150136204718565,1.9017487389069347,-0.6735195363176103
DZA,Algeria,"Middle East, North Africa, Afghanistan & Pakistan",-1.043,0.165597299089864,54.93642683541433,-1.0343170613892665,-0.35145303237245396,-0.6623581433579946
ECU,Ecuador,Latin America & Caribbean,-0.9130000000000001,0.4016817066314163,53.97381014540279,-0.9028881241950109,1.0445158224507634,-0.6793175775635447
EGY,Egypt,"Middle East, North Africa, Afghanistan & Pakistan",-0.0463333333333333,0.1775568380704391,37.6549369152503,-0.02669520956663799,-0.28073618957550395,-0.9668243907397904
ERI,Eritrea,Sub-Saharan Africa,-1.467666666666667,0.3098137118684741,,-1.4636515895571693,0.5012996872574308,
ESP,Spain,Europe & Central Asia,0.86,0.0918984819884136,63.09337244877978,0.8896003807697256,-0.7872346851392922,-0.5186486233760966
EST,Estonia,Europe & Central Asia,0.9773333333333332,0.069357119846344,155.4334475917335,1.0082234215194128,-0.9205219268648259,1.1082039391986307
ETH,Ethiopia,Sub-Saharan Africa,-1.094,0.3670712619630281,38.87826168893275,-1.0858776444423979,0.8398640061288895,-0.9452717870642421
FIN,Finland,Europe & Central Asia,1.418,0.1044805973874509,75.19435634380552,1.4537338188804547,-0.7128365433570728,-0.30545281831723137
FJI,Fiji,East Asia & Pacific,0.008,0.2222862461474723,,0.028235346235063803,-0.01625086748058135,
FLK,Falkland Islands,,-0.8220000000000001,0.0427365760607574,,-0.8108878681590316,-1.0779293999381845,
FRA,France,Europe & Central Asia,1.2646666666666666,0.1297297544106122,62.98679161306861,1.2987150724462042,-0.563538090393082,-0.5205263704477732
FRO,Faroe Islands,Europe & Central Asia,-0.5630000000000001,0.1118392421652885,109.127483107321,-0.549040985595091,-0.6693248221445621,0.29238289002430257
FSM,Micronesia,East Asia & Pacific,-0.8026666666666668,0.2819039231078924,108.21079671217815,-0.7913420262173217,0.33626889907371843,0.27623265829981253
GAB,Gabon,Sub-Saharan Africa,-0.58,0.228119155513842,79.27501284586425,-0.5662278466128012,0.018239168914666665,-0.23355958586009873
GBR,United Kingdom,Europe & Central Asia,1.314,0.187018653626306,60.443988915287015,1.3485906691250502,-0.2247884039355427,-0.5653256093329886
GEO,Georgia,Europe & Central Asia,0.0119999999999999,0.1310639290125005,95.50438897777371,0.0322793135333485,-0.5556491060652864,0.05237046247819055
GHA,Ghana,Sub-Saharan Africa,-0.9856666666666666,0.2848096277710747,72.11842585566019,-0.9763535301138511,0.3534503523232438,-0.3596447321660563
GIB,Gibraltar,Europe & Central Asia,0.7043333333333334,0.17884885187247937,,0.7322226534114756,-0.273096502370272,
GIN,Guinea,Sub-Saharan Africa,-2.032,0.2817030392243624,88.23442956271104,-2.034187975890183,0.33508107117875474,-0.07571208549352268
GMB,The Gambia,Sub-Saharan Africa,-1.1929999999999998,0.3808478128434929,48.298427316302316,-1.1859658350749462,0.9213248537819957,-0.7793067868512876
GNB,Guinea-Bissau,Sub-Saharan Africa,-2.933666666666667,0.0575306807822602,49.42333047959378,-2.945765604378548,-0.990451748867238,-0.7594881805634328
GNQ,Equatorial Guinea,Sub-Saharan Africa,-2.0416666666666665,0.2436590503529231,103.64249236891514,-2.0439608968610377,0.11012668248867152,0.1957480191444609
GRC,Greece,Europe & Central Asia,0.36033333333333323,0.0777137477942163,65.26569444966343,0.38444146575898286,-0.8711091237574384,-0.48037653394576124
GRD,Grenada,Latin America & Caribbean,0.2403333333333333,0.3396349474650157,,0.26312244681043906,0.677632874775503,
GRL,Greenland,Europe & Central Asia,-1.2170000000000003,0.0705444472723693,89.52082713795191,-1.2102296388646556,-0.9135012509783128,-0.05304826170379059
GTM,Guatemala,Latin America & Caribbean,-0.2233333333333333,0.44133910104569124,52.67725525669681,-0.20564076251574023,1.279010290095876,-0.7021603534649575
GUM,Guam,East Asia & Pacific,0.6109999999999999,0.0,74.27728746772631,0.6378634164514969,-1.3306310915232185,-0.3216097886120605
GUY,Guyana,Latin America & Caribbean,-0.9763333333333334,0.331030583420782,,-0.9669176064178533,0.6267552062907815,
HKG,Hong Kong,East Asia & Pacific,1.162,0.4966554807196843,406.1822115082289,1.1949199117902276,1.6060964538565181,5.525909561686682
HMD,Heard and McDonald Islands,,1.2316666666666671,0.5225653955105319,,1.2653523422353552,1.7593019724072538,
HND,Honduras,Latin America & Caribbean,-0.49500000000000005,0.566136379677361,109.89376595414757,-0.48029354152424947,2.0169375253193347,0.305883303697206
HRV,Croatia,Europe & Central Asia,0.844,0.0570058391678695,87.52983062934915,0.8734245115765864,-0.9935551412303089,-0.08812574855966851
HTI,Haiti,Latin America & Caribbean,-1.1236666666666666,0.4898719132934977,41.39557754708713,-1.1158704019046766,1.5659851692945208,-0.9009215767323963
HUN,Hungary,Europe & Central Asia,1.285666666666666,0.0738168452548879,165.884269553732,1.3199459007621988,-0.8941515374086936,1.2923270998476597
IDN,Indonesia,East Asia & Pacific,0.2826666666666667,0.2581201869975109,44.169154279066085,0.3059211007172865,0.1956354908483858,-0.8520565481201479
IND,India,South Asia,0.6243333333333333,0.2262520809502517,46.88465599269315,0.6513433074457796,0.007199143156311802,-0.8042146884005074
IRL,Ireland,Europe & Central Asia,1.211666666666667,0.2601218015238678,216.33256999677283,1.2451325057439309,0.20747105240559802,2.1811280535640534
IRN,Iran,"Middle East, North Africa, Afghanistan & Pakistan",-0.169,0.2649977630881366,43.16383471916566,-0.15071020671403845,0.2363026493412673,-0.8697683238545572
IRQ,Iraq,"Middle East, North Africa, Afghanistan & Pakistan",-2.2113333333333336,0.2690207483853994,65.6603651728427,-2.2154925097632847,0.26009059127640827,-0.4734232032669263
ISL,Iceland,Europe & Central Asia,0.3619999999999999,0.0945738853222587,94.07107195752683,0.3861264521332682,-0.7714150053602259,0.027118203762126914
