country_iso3_code,year,design,incumbent_period,model_period,incumbent_partner_diversification,incumbent_partner_entropy,portfolio_reallocation,incumbent_retention_rate,continuing_export_share
KGZ,2022,sensitivity_2012_2022,2012-2017,2012-2022,0.7343314845650435,1.9550229731912645,0.39954767324963736,0.7583333333333333,0.9997853504838209
KHM,2012,sensitivity_2012_2022,2012-2017,2012-2022,0.9311122103225133,3.0848906894454036,0.11806136435242282,0.8288770053475936,1.0
KHM,2013,sensitivity_2012_2022,2012-2017,2012-2022,0.9275908316538028,3.1272534252497426,0.08582175352370919,0.8342245989304813,1.0
KHM,2014,sensitivity_2012_2022,2012-2017,2012-2022,0.9290986249666956,3.0847454862573334,0.05060007565537985,0.8235294117647058,1.0
KHM,2015,sensitivity_2012_2022,2012-2017,2012-2022,0.9298702272790274,3.096135838174642,0.05371184667760015,0.8181818181818182,1.0
KHM,2016,sensitivity_2012_2022,2012-2017,2012-2022,0.9370971020270884,3.145612091471408,0.10059189737767858,0.8181818181818182,1.0
KHM,2017,sensitivity_2012_2022,2012-2017,2012-2022,0.935835264459633,3.1527944422578895,0.08623991012458196,0.8877005347593583,1.0
KHM,2018,sensitivity_2012_2022,2012-2017,2012-2022,0.9353618752269954,3.158327735278946,0.11640985230313389,0.8449197860962567,0.9999877686483318
KHM,2019,sensitivity_2012_2022,2012-2017,2012-2022,0.9313290201542875,3.099496281610458,0.18279146258986512,0.8288770053475936,0.9999858822796694
KHM,2020,sensitivity_2012_2022,2012-2017,2012-2022,0.9210570288824876,3.0192989695262327,0.2159690446603305,0.7967914438502673,0.9999667031648479
KHM,2021,sensitivity_2012_2022,2012-2017,2012-2022,0.921923576191564,3.059136849368479,0.19493037209950642,0.8288770053475936,0.999987925077813
KHM,2022,sensitivity_2012_2022,2012-2017,2012-2022,0.9282761823144792,3.0702300248409595,0.17714991010677508,0.8342245989304813,0.9999718691326925
KIR,2012,sensitivity_2012_2022,2012-2017,2012-2022,0.6934391426972193,1.7255673183160338,0.2804042862122976,0.5,1.0
KIR,2013,sensitivity_2012_2022,2012-2017,2012-2022,0.566860363124488,1.4992704825250944,0.15016827961796836,0.53125,1.0
KIR,2014,sensitivity_2012_2022,2012-2017,2012-2022,0.6867022479156106,1.642668342950447,0.22297301768290903,0.40625,1.0
KIR,2015,sensitivity_2012_2022,2012-2017,2012-2022,0.5018832109542267,1.2009430832567634,0.13681727789488907,0.484375,1.0
KIR,2016,sensitivity_2012_2022,2012-2017,2012-2022,0.4087418971222879,0.9956872634976007,0.17541045228609672,0.5,1.0
KIR,2017,sensitivity_2012_2022,2012-2017,2012-2022,0.47113342143180026,1.1526164374905357,0.1603334745405031,0.4375,1.0
KIR,2018,sensitivity_2012_2022,2012-2017,2012-2022,0.41630963514248054,1.0110884910096125,0.20475098237981437,0.390625,0.9997139565446267
KIR,2019,sensitivity_2012_2022,2012-2017,2012-2022,0.5026919342903706,1.1172496820374922,0.20438756405854663,0.25,0.9923991171524739
KIR,2020,sensitivity_2012_2022,2012-2017,2012-2022,0.44321705553425805,1.066911195152161,0.1977554026218885,0.390625,0.951448667988522
KIR,2021,sensitivity_2012_2022,2012-2017,2012-2022,0.5958505407806511,1.4158129396459092,0.2408300688685008,0.328125,0.962411968596605
KIR,2022,sensitivity_2012_2022,2012-2017,2012-2022,0.6374048741771551,1.4308490477934668,0.2390746462890006,0.25,0.9987288701147399
KNA,2012,sensitivity_2012_2022,2012-2017,2012-2022,0.9009479769117247,3.016259771743849,0.3710831289235594,0.6190476190476191,1.0
KNA,2013,sensitivity_2012_2022,2012-2017,2012-2022,0.900654564075574,2.857545762344823,0.18276215618524833,0.5333333333333333,1.0
KNA,2014,sensitivity_2012_2022,2012-2017,2012-2022,0.8234286630237808,2.4938083320462776,0.2948930749947123,0.5428571428571428,1.0
KNA,2015,sensitivity_2012_2022,2012-2017,2012-2022,0.7932582953760621,2.479030083969687,0.31176187095855135,0.5428571428571428,1.0
KNA,2016,sensitivity_2012_2022,2012-2017,2012-2022,0.8755505750802239,2.642803978662185,0.21138848106310873,0.5047619047619047,1.0
KNA,2017,sensitivity_2012_2022,2012-2017,2012-2022,0.9026809330200107,2.8808797244040125,0.38044773641083596,0.5142857142857142,1.0
KNA,2018,sensitivity_2012_2022,2012-2017,2012-2022,0.8675538845104178,2.6142772133978327,0.4243032691614105,0.42857142857142855,0.9832059581044136
KNA,2019,sensitivity_2012_2022,2012-2017,2012-2022,0.9113276430120874,2.8391652047644613,0.4939791475094268,0.38095238095238093,0.9992736880711203
KNA,2020,sensitivity_2012_2022,2012-2017,2012-2022,0.9098373354313412,2.7845593908779334,0.44013072455492547,0.38095238095238093,0.9938992783367568
KNA,2021,sensitivity_2012_2022,2012-2017,2012-2022,0.8331354414834751,2.56294935633332,0.6038473481528764,0.42857142857142855,0.9694467668260898
KNA,2022,sensitivity_2012_2022,2012-2017,2012-2022,0.9273235416635187,2.9716850959935774,0.5621582952544674,0.38095238095238093,0.9767095909344365
KOR,2012,sensitivity_2012_2022,2012-2017,2012-2022,0.9594653776504302,3.771139513724342,0.10319975510414184,0.9774774774774775,1.0
KOR,2013,sensitivity_2012_2022,2012-2017,2012-2022,0.9623664756155073,3.7990904382320463,0.0780675893014586,0.972972972972973,1.0
KOR,2014,sensitivity_2012_2022,2012-2017,2012-2022,0.9636945867357588,3.825512084592494,0.06463530787506686,0.9684684684684685,1.0
KOR,2015,sensitivity_2012_2022,2012-2017,2012-2022,0.9605927539426016,3.7820148547372687,0.06304749788141477,0.954954954954955,1.0
KOR,2016,sensitivity_2012_2022,2012-2017,2012-2022,0.956267379147351,3.731032339303079,0.082329894100049,0.9594594594594594,1.0
KOR,2017,sensitivity_2012_2022,2012-2017,2012-2022,0.9498356317340054,3.6212904161823753,0.12076744446232791,0.9594594594594594,1.0
KOR,2018,sensitivity_2012_2022,2012-2017,2012-2022,0.9465397846296435,3.5805631179669213,0.1508884311185813,0.9594594594594594,1.0
KOR,2019,sensitivity_2012_2022,2012-2017,2012-2022,0.9472723241917774,3.594941468931183,0.14015532905484857,0.954954954954955,0.9999998912097434
KOR,2020,sensitivity_2012_2022,2012-2017,2012-2022,0.944265371858709,3.549107726706407,0.16569712468683293,0.9594594594594594,0.999999550752492
KOR,2021,sensitivity_2012_2022,2012-2017,2012-2022,0.9465470414730293,3.564978133687737,0.1677120109834298,0.9369369369369369,0.9999997686213388
KOR,2022,sensitivity_2012_2022,2012-2017,2012-2022,0.9505526965198058,3.596114985980911,0.18945796765662437,0.954954954954955,0.9999997073791016
KWT,2012,sensitivity_2012_2022,2012-2017,2012-2022,0.8774684765415973,2.5693990193204552,0.09552370621307116,0.6726190476190477,1.0
KWT,2013,sensitivity_2012_2022,2012-2017,2012-2022,0.8671016589764065,2.529618914889044,0.08350233253683921,0.8214285714285714,1.0
KWT,2014,sensitivity_2012_2022,2012-2017,2012-2022,0.8710761409964723,2.5505090404859825,0.08133378755608767,0.8392857142857143,1.0
KWT,2015,sensitivity_2012_2022,2012-2017,2012-2022,0.8949363518329372,2.75758641890551,0.06592136724899367,0.8690476190476191,1.0
KWT,2016,sensitivity_2012_2022,2012-2017,2012-2022,0.8981073899621672,2.7979023061036674,0.10002975608209469,0.8035714285714286,1.0
