country_iso3_code,pre_export_intensity,pre_import_intensity,pre_total_trade_intensity,pre_log_total_trade_openness,pre_wdi_total_openness,pre_real_gdp_usd,pre_total_minus_wdi_openness,pre_wdi_compatible_export_intensity,pre_wdi_compatible_import_intensity,pre_wdi_compatible_sum,in_primary_sample
MKD,50.563442743263245,62.88307702525458,113.44651976851783,4.739545574271758,118.00704539780634,10292950823.832537,-4.560525629288506,52.59608223724009,65.41096316056624,118.00704539780634,1
MLI,13.309876785192527,21.687796806420476,34.997673591613,3.576384119453884,52.22659795494963,16503029286.80786,-17.22892436333663,19.862165462813834,32.3644324921358,52.22659795494963,1
MLT,38.44559176804723,136.08991616513583,174.53550793318308,5.160136114660067,211.20102804122567,12159461384.189346,-36.665520108042585,46.52204357278014,164.67898446844552,211.20102804122567,1
MMR,19.5583481731959,35.13408181328308,54.69242998647898,4.018220887475519,,63227595174.12266,,,,,0
MNE,9.305130144707066,54.45240387736237,63.75753402206944,4.169341630018611,104.99081004761332,4147335368.5554543,-41.23327602554388,15.322944440622363,89.66786560699094,104.99081004761331,1
MNG,41.339895124754335,31.898136374253927,73.23803149900827,4.302771120007738,102.213934190258,11956885847.109962,-28.97590269124973,57.69561569621141,44.518318494046575,102.21393419025799,1
MNP,0.25429010482118436,13.070540892124384,13.32483099694557,2.640213543605227,135.6676792042647,1178036363.6363642,-122.34284820731912,2.5890721145812217,133.07860708968346,135.6676792042647,1
MOZ,24.50082469509969,49.17439186576515,73.67521656086484,4.308761891158009,104.96706751821937,16865779502.948248,-31.291850957354526,34.906985551891495,70.06008196632787,104.96706751821937,1
MRT,30.930456334089993,45.39603469524841,76.32649102933841,4.347358410211396,76.43834278385206,6349226901.692029,-0.11185175451365126,30.97578300589449,45.46255977795756,76.43834278385205,1
MSR,,,,,,,,,,,0
MUS,17.815219573570534,34.0805061079232,51.89572568149373,3.967221384127331,128.803045988869,12641200893.908941,-76.90732030737527,44.21663857481599,84.58640741405301,128.803045988869,1
MWI,8.784519188485866,15.949467062468988,24.733986250954853,3.247411245136631,45.3003137160008,9499131768.795609,-20.566327465045948,16.088853250141838,29.211460465858966,45.3003137160008,1
MYS,72.88701077099695,53.59669651835956,126.48370728935652,4.847134074765808,130.47475194763868,316393837672.4349,-3.9910446582821635,75.18687469204934,55.287877255589336,130.47475194763868,1
