country_iso3_code,pre_established_destinations,pre_destination_entropy,pre_outside_us_china_share
CAF,71.33333333333333,2.7306866610726304,0.7623593628627209
CAN,215.0,3.63373830180929,0.1998713863824781
CCK,23.0,2.1908258760214925,0.6079992169524306
CHE,214.0,3.2032377406686265,0.7787551601240206
CHL,183.33333333333334,3.3513686467225816,0.5964415886398731
CIV,157.66666666666666,3.450709750144815,0.9052198810539246
CMR,138.33333333333334,3.088895183379721,0.8484120069901386
COD,107.33333333333333,2.819976322365287,0.6052824911822321
COG,118.33333333333333,3.0840653988831654,0.6237794386716701
COK,27.333333333333332,1.9674841938269043,0.8763493968048709
COL,178.66666666666666,3.581971389050603,0.6133134691906311
COM,59.333333333333336,2.4561873552451177,0.9620463352166059
CPV,49.333333333333336,1.6784267617989086,0.9658671947478461
CRI,158.33333333333334,3.5081029053496233,0.6108686668794872
CUB,137.66666666666666,3.166911621671122,0.8557805883593349
CUW,87.33333333333333,2.4003718789985578,0.8420498336221834
CXR,23.0,1.3418952644307858,0.9371232561006267
CYM,56.0,1.5070098147743227,0.933401210543419
CYP,185.0,3.687405062306856,0.9717161281574122
CZE,197.66666666666666,2.9105844600881223,0.9575072498825868
DEU,220.33333333333334,3.627934681904788,0.8382220532787824
DJI,60.333333333333336,2.507281651305949,0.7563386929917854
DMA,74.33333333333333,2.648164975301824,0.963016892954236
DNK,213.33333333333334,3.316188199704401,0.8807429761461867
DOM,146.0,2.9206423321637556,0.48295652653512255
DZA,124.66666666666667,2.7857010924392367,0.8800981229635915
ECU,161.66666666666666,3.4421408999137597,0.6322805766179727
EGY,179.0,3.710870610789867,0.9203131528152991
ERI,34.666666666666664,1.3916238103104541,0.5854984002500704
ESP,215.66666666666666,3.435944857746977,0.9344033755458883
EST,171.66666666666666,3.0682492628288824,0.9364816592236492
ETH,149.66666666666666,3.339337834439442,0.7819934449519859
FIN,202.0,3.4169237474482532,0.8779537773658169
FJI,100.66666666666667,3.0300898522129365,0.7276032595173197
FLK,39.0,1.0233196636601436,0.9324730043704877
FRA,220.33333333333334,3.5237205299241325,0.8803288575574895
FRO,58.666666666666664,2.209326210174981,0.8159180858279913
FSM,20.666666666666668,1.1364138875511078,0.8872490343178597
GAB,129.33333333333334,3.011257666280393,0.7573577584539347
GBR,222.0,3.5774415923131007,0.8062860161800354
GEO,135.33333333333334,3.3188815814759596,0.9246956797911465
GHA,150.66666666666666,2.892737017816477,0.8519883439609395
GIB,66.0,2.1746293326520223,0.9975007989272626
GIN,89.66666666666667,2.346081923882664,0.8396698180254307
GMB,60.333333333333336,2.031719816076757,0.5749087314387539
GNB,32.0,1.2761187995427996,0.9751922650420705
GNQ,55.333333333333336,2.6710246106134545,0.7587416078342968
GRC,202.66666666666666,3.6920266394796806,0.9444770823903179
GRD,53.666666666666664,3.151649026721239,0.674789622519088
GRL,44.333333333333336,1.565520613853067,0.873521888208082
GTM,155.66666666666666,3.2993375776672305,0.6601613340374025
GUM,29.666666666666668,2.0599161124861647,1.0
GUY,104.33333333333333,2.81609392954746,0.7387515449370683
HKG,201.33333333333334,3.5821066729186826,0.6772589648125125
HMD,3.6666666666666665,0.6485719793502444,0.8617327486804255
HND,134.33333333333334,3.0974577823688794,0.4285573890997253
HRV,167.0,3.2001419284657167,0.9524124170811107
HTI,87.66666666666667,2.584839074142455,0.1792516397838656
HUN,197.33333333333334,3.057559134020741,0.9288206049082043
IDN,208.33333333333334,3.404391366148701,0.7702986639369571
IND,213.0,3.959726497548045,0.8038408266243273
IRL,197.66666666666666,3.0904818573938484,0.6983814918554847
IRN,157.0,2.847819456100256,0.7714898384694161
IRQ,73.66666666666667,2.4296171407719824,0.6627108215794388
ISL,149.66666666666666,2.8445917082913277,0.9056993453571234
ISR,181.66666666666666,3.5459660979600707,0.6063437332423719
ITA,219.0,3.6855109931593284,0.8827551808592821
JAM,121.0,3.141479459691238,0.679216057022171
JOR,157.0,3.140571064724971,0.7693933447421506
JPN,209.0,3.5285320996352176,0.6222264844148694
KAZ,114.66666666666667,3.1816026133684674,0.81261264401091
KEN,171.66666666666666,3.536450185342803,0.8995060769841962
KGZ,88.66666666666667,2.2741853465980917,0.9319199856691528
KHM,157.33333333333334,3.1315141239679796,0.7623110334529676
KIR,30.333333333333332,1.1164155947483,0.9387284221846536
KNA,54.666666666666664,2.6675712623452945,0.4196319206672161
KOR,212.66666666666666,3.711445870074241,0.6165818630344404
KWT,138.33333333333334,2.769367362950056,0.7748162127886548
LAO,100.33333333333333,1.523056497339881,0.6540017099260137
LBN,163.33333333333334,3.584488574128296,0.9626952275656522
LBR,73.33333333333333,2.5348429343926884,0.8957269526103332
LBY,75.0,2.4827719419384353,0.8753588157368668
LCA,60.666666666666664,2.5624507049507907,0.7178825067342105
LKA,186.0,3.715204979202474,0.7063156060227493
LSO,67.0,1.2511431314215693,0.6768605215023712
LTU,182.0,3.3838760675647372,0.9353225465723033
LUX,169.66666666666666,2.796745423679536,0.9530279352562879
LVA,183.66666666666666,3.181922327534815,0.9605290884042468
MAC,85.0,1.4405874439790276,0.8124354323190056
MAR,177.0,3.0875353162866497,0.9428260837583107
MDA,124.0,2.9883116036004442,0.9747273677177208
MDG,142.66666666666666,2.9636906055703047,0.7768708052559471
MDV,56.0,2.4288432454832747,0.8920224967743079
MEX,178.0,3.328309298099453,0.2068707359251397
MHL,53.666666666666664,2.3165730353799048,0.9096445277360341
MKD,117.66666666666667,2.4382724209483153,0.9479050699380827
MLI,98.33333333333333,1.7941490664517656,0.9646471257886815
MLT,167.66666666666666,3.3573429738050855,0.8356341179274848
MMR,148.66666666666666,2.497407498356693,0.6028905563041493
MNE,80.0,2.959400583378122,0.9128120529500008
MNG,79.0,1.6862811975163636,0.1531533169338375
MNP,13.0,1.8292639607160865,1.0
MOZ,124.33333333333333,3.0634564727709948,0.8825089715087174
MRT,102.66666666666667,2.863864050811568,0.678430121613389
MSR,26.333333333333332,2.1476343221115877,0.7817385731443103
MUS,151.33333333333334,3.1518690941588994,0.8671428601680728
MWI,112.66666666666667,3.3822184414129524,0.8988812746465136
MYS,212.66666666666666,3.2795124273161598,0.6995688974050133
NAM,145.0,2.7840461167818122,0.9218141096560517
NCL,58.666666666666664,2.0805729378482645,0.5834661338120315
NER,93.66666666666667,1.9352656343196644,0.8723445234707218
NFK,16.0,2.347520143641821,0.8069333008715439
NGA,149.33333333333334,3.0627947620649505,0.8817763932995515
NIC,127.0,2.8912963783608574,0.4353330084726128
NIU,19.666666666666668,1.7300410614034745,0.8018789126161713
NLD,222.0,3.206074453740858,0.9336553695420885
NOR,198.66666666666666,2.9309140331191657,0.9238340151650186
NPL,105.0,1.558189054115901,0.8608739099820566
NRU,39.0,1.989237851919831,0.9551629749929479
NZL,207.0,3.422326787342143,0.7056266438741743
OMN,157.66666666666666,2.9648708116850693,0.5840169374392262
PAK,192.66666666666666,3.809667926376203,0.7644529360472181
