excluded_country,estimate,se,p_cluster,n_obs,n_countries
MEX,0.02481045831519192,0.006376619622815199,0.0001407397379742688,1980,180
MHL,0.024265414039935478,0.006407333983016008,0.00020787868672619858,1980,180
MKD,0.02517543260411239,0.006414234851058131,0.00012359741448542564,1980,180
MLI,0.025344213998232785,0.006437183942659939,0.00011794647966486635,1980,180
MLT,0.024800869980891135,0.006397253344015423,0.00014844313115010347,1980,180
MNE,0.025029110703161998,0.00639982495986704,0.00013039662610115632,1980,180
MNG,0.02157331325622771,0.0055649039120814914,0.00014851435487600934,1980,180
MNP,0.02489884366532629,0.006327076702597905,0.00011879661281303329,1980,180
MOZ,0.024633961121507845,0.006460850980743928,0.00018888491646624407,1980,180
MRT,0.02480221671807046,0.006388950716687595,0.00014551925881784843,1980,180
MUS,0.02469234009173983,0.00642578972120676,0.00016884483003416979,1980,180
MWI,0.025051239030250097,0.006454053567446796,0.00014583679510226725,1980,180
MYS,0.024762199674543198,0.006389401677112956,0.00014916921896042994,1980,180
NAM,0.02480669855860875,0.006407086081309616,0.0001513030469381497,1980,180
NCL,0.02466781480577414,0.006405981305127369,0.00016380014692707855,1980,180
NER,0.023903281294593508,0.00642838600983214,0.0002680314810845459,1980,180
NIC,0.0251118386630637,0.0063454625642280224,0.00010910771576745912,1980,180
NLD,0.024800495654783712,0.006397660700349878,0.00014861493675227607,1980,180
NOR,0.024797432816113456,0.006398111402168894,0.00014903872401411937,1980,180
NPL,0.02420282727761694,0.0064167385815087265,0.0002200473250142214,1980,180
NRU,0.02415438683233702,0.006316138136908034,0.00018096936206619163,1980,180
NZL,0.02479586093597536,0.006394349334249738,0.0001478945277438452,1980,180
OMN,0.024765777338943598,0.006395847613757876,0.00015107120888386636,1980,180
PAK,0.02480403031315702,0.006403128335455812,0.00015017534235626742,1980,180
PAN,0.024764847973816426,0.006387879792356118,0.00014841519478695698,1980,180
PER,0.02485307535966489,0.00642753510754999,0.0001542517667861674,1980,180
PHL,0.02479103258559981,0.006394246432456813,0.00014828317392141268,1980,180
PLW,0.02478816171850063,0.006394550197759217,0.00014863924447643603,1980,180
POL,0.02479016081252277,0.006396826536572591,0.0001492411237749092,1980,180
PRT,0.024787463424665698,0.006397866037978482,0.0001498364239487083,1980,180
PRY,0.02477394462602149,0.00639968712313133,0.00015167093905444094,1980,180
PSE,0.024817665146905546,0.006398696706159639,0.00014746198330405598,1980,180
PYF,0.024959430990042313,0.006391426749494944,0.00013329215468236793,1980,180
QAT,0.024599710784776473,0.006403037045525116,0.0001693613940894109,1980,180
ROU,0.024791293650514686,0.0063977737365304215,0.00014946549257693545,1980,180
RUS,0.024795154742267043,0.006396326441649474,0.00014862978198741276,1980,180
RWA,0.02434432721217561,0.0064643117666209554,0.00022489019353517483,1980,180
SAU,0.02478496690050376,0.006392142806486736,0.00014809958602456292,1980,180
SDN,0.026103540262668343,0.0063008890082402015,5.2823995004714274e-05,1980,180
SEN,0.024753517918553763,0.006400528877774739,0.00015380895876919632,1980,180
SGP,0.02485013281176738,0.006419560378365366,0.00015173742744491344,1980,180
SLB,0.02508965995591122,0.006313314871597,0.0001023333895892802,1980,180
SLE,0.02478616664837277,0.0063979080574923025,0.00014996590617795784,1980,180
SLV,0.024790123207934937,0.006399292048314725,0.00015009063511598172,1980,180
SMR,0.025177542399460365,0.006515257148169911,0.00015557511280395116,1980,180
SOM,0.024659847662243474,0.006393733191270896,0.00016005631967294488,1980,180
SRB,0.02476858120138934,0.006401178460081462,0.00015267257498809703,1980,180
SSD,0.018906516599907625,0.004755284087956207,0.00010162117873753686,1980,180
SVK,0.024843116097123193,0.006409833748739572,0.00014901666711175535,1980,180
SVN,0.024902280424324588,0.006413394975378812,0.00014507508407925082,1980,180
SWE,0.024790799527093694,0.006396780930944999,0.0001491690891821257,1980,180
SWZ,0.024814099215365815,0.00639824655740856,0.00014762101810623194,1980,180
SYC,0.024131856095925594,0.00658315884289586,0.000324926860599715,1980,180
SYR,0.024744669650340848,0.006420463199020164,0.0001617840838507756,1980,180
TCD,0.02656251825106578,0.006453503851688366,5.876442491803186e-05,1980,180
TGO,0.024794904441585778,0.006396825744765031,0.00014882228150345128,1980,180
THA,0.024776503618626898,0.006393645195039951,0.00014935858748514572,1980,180
TJK,0.02479802093798006,0.006408458083526383,0.00015255797249656076,1980,180
TKM,0.024818522321535343,0.006349355096632813,0.0001314345997507097,1980,180
TLS,0.024646771932640935,0.006396597908286373,0.000162349758924645,1980,180
TON,0.024756691693898936,0.006399062486555552,0.00015300703663960206,1980,180
TUN,0.024748495952247256,0.006401695835305051,0.00015467756291845933,1980,180
TUR,0.024806262080841322,0.006396473404929863,0.00014770502623814115,1980,180
TZA,0.024779214874203863,0.00639444454769271,0.0001493927683251383,1980,180
UGA,0.024338399326819894,0.006455265259220357,0.00022128338523091633,1980,180
UKR,0.02474542844222865,0.006400617757849356,0.00015457708000469174,1980,180
URY,0.024796960541783306,0.00639605363845936,0.0001483779462541638,1980,180
UZB,0.02504840145107881,0.006405117930733189,0.0001305060855824774,1980,180
VEN,0.026339335837931247,0.00625636253487515,4.0371746357014e-05,1980,180
VNM,0.024805659833230177,0.006384246254970877,0.000143654578352859,1980,180
VUT,0.023296893884619998,0.006335604827608629,0.00031168064311391336,1980,180
WSM,0.024754083957795207,0.006385571628305905,0.00014857513578254782,1980,180
YEM,0.02498285003373048,0.006402529183666357,0.00013488200082405706,1980,180
ZAF,0.02479301515264947,0.006396893367852342,0.00014901197810462255,1980,180
ZMB,0.0247885529609623,0.006397324335833962,0.00014955392822991288,1980,180
ZWE,0.024469176919341203,0.006406056569374083,0.00018407479415768365,1980,180
