country_iso3_code,year,indicator,value
LDC,2014,NV.IND.MANF.ZS,10.6904439212549
LDC,2013,NV.IND.MANF.ZS,10.4284380908502
LDC,2012,NV.IND.MANF.ZS,10.5414242597347
LMY,2017,NV.IND.MANF.ZS,21.0611514381912
LMY,2016,NV.IND.MANF.ZS,21.0824935932448
LMY,2015,NV.IND.MANF.ZS,21.3956787472071
LMY,2014,NV.IND.MANF.ZS,21.2053669918095
LMY,2013,NV.IND.MANF.ZS,20.9714948300366
LMY,2012,NV.IND.MANF.ZS,20.9989782831786
MEA,2017,NV.IND.MANF.ZS,11.2435041441153
MEA,2016,NV.IND.MANF.ZS,11.3897098442914
MEA,2015,NV.IND.MANF.ZS,11.4203855795962
MEA,2014,NV.IND.MANF.ZS,11.0517571861683
MEA,2013,NV.IND.MANF.ZS,10.7522524359553
MEA,2012,NV.IND.MANF.ZS,11.0513480776422
MNA,2017,NV.IND.MANF.ZS,11.3036687908394
MNA,2016,NV.IND.MANF.ZS,11.4827708677815
MNA,2015,NV.IND.MANF.ZS,11.5907826239902
MNA,2014,NV.IND.MANF.ZS,12.1667781731114
MNA,2013,NV.IND.MANF.ZS,11.8444088712075
MNA,2012,NV.IND.MANF.ZS,12.2751869363111
TMN,2017,NV.IND.MANF.ZS,11.3000952348147
TMN,2016,NV.IND.MANF.ZS,11.4947314023987
TMN,2015,NV.IND.MANF.ZS,11.6086209318589
TMN,2014,NV.IND.MANF.ZS,12.1770509930272
TMN,2013,NV.IND.MANF.ZS,11.8438132107046
TMN,2012,NV.IND.MANF.ZS,12.2701126732374
MIC,2017,NV.IND.MANF.ZS,21.2247782557478
MIC,2016,NV.IND.MANF.ZS,21.2522499552393
MIC,2015,NV.IND.MANF.ZS,21.5962038180357
MIC,2014,NV.IND.MANF.ZS,21.4070495041425
MIC,2013,NV.IND.MANF.ZS,21.1663544303674
MIC,2012,NV.IND.MANF.ZS,21.1976174913831
NAC,2017,NV.IND.MANF.ZS,11.0864443701213
NAC,2016,NV.IND.MANF.ZS,11.0860092642329
NAC,2015,NV.IND.MANF.ZS,11.5005124420824
NAC,2014,NV.IND.MANF.ZS,11.4406662253574
NAC,2013,NV.IND.MANF.ZS,11.5859428227851
NAC,2012,NV.IND.MANF.ZS,11.7016099150968
OED,2017,NV.IND.MANF.ZS,13.8385401437902
OED,2016,NV.IND.MANF.ZS,13.8538477567626
OED,2015,NV.IND.MANF.ZS,13.9494491428868
