mode,dv,stratifier,group,coef,pvalue,n,pooled_coef,reversal,sig_reversal
raw,H2_DV2_ExportRecovery,wgi_q4,wgi_q4_1,0.31383709834990725,0.023665243041423773,553,0.35731708007379265,0,0
raw,H2_DV2_ExportRecovery,wgi_q4,wgi_q4_2,-0.1556731238918077,0.0580933772667755,552,0.35731708007379265,1,1
raw,H2_DV2_ExportRecovery,wgi_q4,wgi_q4_3,-0.5638618644865844,1.0929112107294524e-05,552,0.35731708007379265,1,1
raw,H2_DV2_ExportRecovery,open_q4,open_q4_4,-0.23268540817997999,0.1915648913049852,493,0.35731708007379265,1,0
raw,H2_DV2_ExportRecovery,open_q4,open_q4_1,-0.044509415312954645,0.46078630882854604,493,0.35731708007379265,1,0
raw,H2_DV2_ExportRecovery,open_q4,open_q4_2,-0.0686530795824241,0.20157175518429413,493,0.35731708007379265,1,0
raw,H2_DV2_ExportRecovery,open_q4,open_q4_3,-0.3505990591302633,2.121876571164678e-05,492,0.35731708007379265,1,1
raw,H2_DV2_ExportRecovery,rents_q4,rents_q4_1,-0.3281276282140135,0.006706130613191374,505,0.35731708007379265,1,1
raw,H2_DV2_ExportRecovery,rents_q4,rents_q4_2,-0.01738429583133959,0.8883968527318418,504,0.35731708007379265,1,0
raw,H2_DV2_ExportRecovery,rents_q4,rents_q4_4,-0.017095881756495346,0.8871578117140958,504,0.35731708007379265,1,0
raw,H2_DV2_ExportRecovery,rents_q4,rents_q4_3,-0.19950842030390298,2.6228401618934914e-06,504,0.35731708007379265,1,1
raw,H2_DV2_ExportRecovery,tariff_q4,tariff_q4_4,-0.4653494187998983,1.484677425978613e-05,403,0.35731708007379265,1,1
raw,H2_DV2_ExportRecovery,tariff_q4,tariff_q4_3,-0.10562632447530422,0.22181578193239376,402,0.35731708007379265,1,0
raw,H2_DV2_ExportRecovery,tariff_q4,tariff_q4_1,-0.12989142854000774,0.03765283699842447,410,0.35731708007379265,1,1
raw,H2_DV2_ExportRecovery,tariff_q4,tariff_q4_2,-0.010764869552883916,0.8980916820318081,395,0.35731708007379265,1,0
raw,H2_DV2_ExportRecovery,intensity_q4,intensity_q4_4,2.002199139385621,0.23713618576290577,627,0.35731708007379265,0,0
raw,H2_DV2_ExportRecovery,intensity_q4,intensity_q4_3,-0.27341492191343886,2.843471678848134e-05,638,0.35731708007379265,1,1
raw,H2_DV2_ExportRecovery,gpr_time_q4,gprQ2,1.4349140609731954,0.48180422013342433,743,0.35731708007379265,0,0
raw,H2_DV2_ExportRecovery,gpr_time_q4,gprQ4,-0.3041842136964603,0.07672871709447301,558,0.35731708007379265,1,1
raw,H2_DV2_ExportRecovery,gpr_time_q4,gprQ1,-0.012687914693120068,0.726769917088455,670,0.35731708007379265,1,0
raw,H2_DV2_ExportRecovery,post_group,post,-0.13031505678154365,0.09571767853914682,920,0.35731708007379265,1,1
raw,H2_DV2_ExportRecovery,exposed_group,exposed,1.3622550789818504,0.2745128443777038,847,0.35731708007379265,0,0
raw,H3_DV3_Diversification,_pooled,ALL,-0.01557736641902367,0.11255818804901206,2529,-0.01557736641902367,0,0
raw,H3_DV3_Diversification,size_q4,size_q4_1,-0.038085976513987395,0.19829280733781193,637,-0.01557736641902367,0,0
raw,H3_DV3_Diversification,size_q4,size_q4_2,-0.01894521913345992,0.37423278415261807,627,-0.01557736641902367,0,0
raw,H3_DV3_Diversification,size_q4,size_q4_3,0.07004379719566134,0.00022279283152687544,638,-0.01557736641902367,1,1
raw,H3_DV3_Diversification,size_q4,size_q4_4,-0.014589773781573535,0.3345609302204685,627,-0.01557736641902367,0,0
raw,H3_DV3_Diversification,income_q4,income_q4_4,0.06072525050717121,0.06737234316791656,558,-0.01557736641902367,1,1
raw,H3_DV3_Diversification,income_q4,income_q4_1,-0.009031338745915997,0.7516451822949779,559,-0.01557736641902367,0,0
raw,H3_DV3_Diversification,income_q4,income_q4_2,0.14478109790280086,0.00011185806860685709,558,-0.01557736641902367,1,1
raw,H3_DV3_Diversification,income_q4,income_q4_3,0.02749361734305039,0.27347006779325594,558,-0.01557736641902367,1,0
raw,H3_DV3_Diversification,eci_t3,eci_t3_2,-0.08813357882284693,0.18463260007751198,845,-0.01557736641902367,0,0
raw,H3_DV3_Diversification,eci_t3,eci_t3_3,0.09088935870354688,0.05629759471607567,841,-0.01557736641902367,1,1
raw,H3_DV3_Diversification,eci_t3,eci_t3_1,0.018379554904390066,0.5402946455070992,843,-0.01557736641902367,1,0
raw,H3_DV3_Diversification,coi_q4,coi_q4_2,-0.01705454653047981,0.5454788725316299,631,-0.01557736641902367,0,0
raw,H3_DV3_Diversification,coi_q4,coi_q4_3,-0.021912444199777226,0.27049151924194037,633,-0.01557736641902367,0,0
raw,H3_DV3_Diversification,coi_q4,coi_q4_1,-0.00527901534326357,0.8842745898338698,634,-0.01557736641902367,0,0
raw,H3_DV3_Diversification,coi_q4,coi_q4_4,-0.05694782918932323,0.048554339110116966,631,-0.01557736641902367,0,0
raw,H3_DV3_Diversification,wgi_q4,wgi_q4_4,-0.04667046449679382,0.053223058794790806,552,-0.01557736641902367,0,0
raw,H3_DV3_Diversification,wgi_q4,wgi_q4_1,-0.012346797405335007,0.6227659327235069,553,-0.01557736641902367,0,0
raw,H3_DV3_Diversification,wgi_q4,wgi_q4_2,-0.044678758440240066,0.05135567731153736,552,-0.01557736641902367,0,0
raw,H3_DV3_Diversification,wgi_q4,wgi_q4_3,0.07178933032762877,0.01219469944378342,552,-0.01557736641902367,1,1
raw,H3_DV3_Diversification,open_q4,open_q4_4,0.05147757829969169,0.00977750857618473,493,-0.01557736641902367,1,1
raw,H3_DV3_Diversification,open_q4,open_q4_1,-0.009432035734981213,0.6088440796692599,493,-0.01557736641902367,0,0
raw,H3_DV3_Diversification,open_q4,open_q4_2,-0.04491985147663445,0.02618054520365515,493,-0.01557736641902367,0,0
raw,H3_DV3_Diversification,open_q4,open_q4_3,-0.03940710683961912,0.09512558137046477,492,-0.01557736641902367,0,0
raw,H3_DV3_Diversification,rents_q4,rents_q4_1,0.036019121972593215,0.26606176751530136,505,-0.01557736641902367,1,0
raw,H3_DV3_Diversification,rents_q4,rents_q4_2,0.019612574551263903,0.42940298696038226,504,-0.01557736641902367,1,0
raw,H3_DV3_Diversification,rents_q4,rents_q4_4,0.013363293832728294,0.6739016863046575,504,-0.01557736641902367,1,0
raw,H3_DV3_Diversification,rents_q4,rents_q4_3,-0.04710393407819959,0.02476798878230319,504,-0.01557736641902367,0,0
raw,H3_DV3_Diversification,tariff_q4,tariff_q4_4,-0.006223029836750195,0.7464396906363394,403,-0.01557736641902367,0,0
raw,H3_DV3_Diversification,tariff_q4,tariff_q4_3,0.04369544952710797,0.11351694532240017,402,-0.01557736641902367,1,0
raw,H3_DV3_Diversification,tariff_q4,tariff_q4_1,-0.09284909459346172,0.00036965661726797724,410,-0.01557736641902367,0,0
raw,H3_DV3_Diversification,tariff_q4,tariff_q4_2,-0.016028276451810278,0.45951932764643,395,-0.01557736641902367,0,0
raw,H3_DV3_Diversification,intensity_q4,intensity_q4_4,-0.04352037467404445,0.004882812698631497,627,-0.01557736641902367,0,0
raw,H3_DV3_Diversification,intensity_q4,intensity_q4_3,0.014801839941207552,0.2652334901926987,638,-0.01557736641902367,1,0
raw,H3_DV3_Diversification,gpr_time_q4,gprQ2,-0.010311210293995041,0.5847263627700999,743,-0.01557736641902367,0,0
raw,H3_DV3_Diversification,gpr_time_q4,gprQ4,-0.02229308038595174,0.36303982438411136,558,-0.01557736641902367,0,0
raw,H3_DV3_Diversification,gpr_time_q4,gprQ1,-0.0098415366976111,0.4669208938957232,670,-0.01557736641902367,0,0
raw,H3_DV3_Diversification,post_group,post,-0.011489469171148962,0.32553236023229265,920,-0.01557736641902367,0,0
raw,H3_DV3_Diversification,exposed_group,exposed,-0.02720206342497409,0.032469234462228824,847,-0.01557736641902367,0,0
controlled_yearfe,H1_DV1_Stability,_pooled,ALL,-0.26387755072227276,0.08281490647409583,679,-0.26387755072227276,0,0
controlled_yearfe,H1_DV1_Stability,size_q4,size_q4_3,-0.570724466925272,0.28396005275253783,202,-0.26387755072227276,0,0
controlled_yearfe,H1_DV1_Stability,size_q4,size_q4_4,-0.12167333793441296,0.5143186026477299,450,-0.26387755072227276,0,0
controlled_yearfe,H1_DV1_Stability,income_q4,income_q4_2,0.7818447981814715,0.09476038241225407,100,-0.26387755072227276,1,1
controlled_yearfe,H1_DV1_Stability,income_q4,income_q4_4,-0.9995005778350972,0.03247338958190538,292,-0.26387755072227276,0,0
controlled_yearfe,H1_DV1_Stability,income_q4,income_q4_3,-0.16761617420911656,0.600511225549594,212,-0.26387755072227276,0,0
controlled_yearfe,H1_DV1_Stability,eci_t3,eci_t3_1,-0.8717752146921776,0.2946546937415462,82,-0.26387755072227276,0,0
controlled_yearfe,H1_DV1_Stability,eci_t3,eci_t3_2,1.7499138437640742,0.2157703124061292,178,-0.26387755072227276,1,0
controlled_yearfe,H1_DV1_Stability,eci_t3,eci_t3_3,-0.6234423532224994,0.14759562096971612,419,-0.26387755072227276,0,0
controlled_yearfe,H1_DV1_Stability,coi_q4,coi_q4_3,0.31370525721466513,0.42844201246787833,172,-0.26387755072227276,1,0
controlled_yearfe,H1_DV1_Stability,coi_q4,coi_q4_4,-0.3798648292000907,0.11403382468827777,399,-0.26387755072227276,0,0
controlled_yearfe,H1_DV1_Stability,wgi_q4,wgi_q4_3,1.5921179745627474,0.0012740205990641356,144,-0.26387755072227276,1,1
controlled_yearfe,H1_DV1_Stability,wgi_q4,wgi_q4_4,-0.5636663965210919,0.06313952838980995,315,-0.26387755072227276,0,0
controlled_yearfe,H1_DV1_Stability,wgi_q4,wgi_q4_2,-0.05650179008528459,0.925294201755126,146,-0.26387755072227276,0,0
controlled_yearfe,H1_DV1_Stability,open_q4,open_q4_2,-0.3681557583573086,0.15784186713950854,181,-0.26387755072227276,0,0
controlled_yearfe,H1_DV1_Stability,open_q4,open_q4_1,0.019564653618671757,0.9370058792773082,167,-0.26387755072227276,1,0
controlled_yearfe,H1_DV1_Stability,open_q4,open_q4_4,-1.0811256927954744,0.0929787518124938,214,-0.26387755072227276,0,0
controlled_yearfe,H1_DV1_Stability,open_q4,open_q4_3,0.46248121315761453,0.5873866388256886,117,-0.26387755072227276,1,0
controlled_yearfe,H1_DV1_Stability,rents_q4,rents_q4_4,-0.9511160703229907,0.2769929554603391,82,-0.26387755072227276,0,0
controlled_yearfe,H1_DV1_Stability,rents_q4,rents_q4_3,1.1209067511213195,0.009748793354453764,197,-0.26387755072227276,1,1
controlled_yearfe,H1_DV1_Stability,rents_q4,rents_q4_2,0.04887530038170615,0.7785442479193616,253,-0.26387755072227276,1,0
controlled_yearfe,H1_DV1_Stability,rents_q4,rents_q4_1,1.3207843010408753,0.22825924159004057,147,-0.26387755072227276,1,0
controlled_yearfe,H1_DV1_Stability,tariff_q4,tariff_q4_3,0.8820536950920133,0.024833864911624374,103,-0.26387755072227276,1,1
controlled_yearfe,H1_DV1_Stability,tariff_q4,tariff_q4_2,-0.05219039835023358,0.899623260143812,231,-0.26387755072227276,0,0
controlled_yearfe,H1_DV1_Stability,tariff_q4,tariff_q4_1,-0.2060901579218559,0.532750892519505,219,-0.26387755072227276,0,0
controlled_yearfe,H1_DV1_Stability,intensity_q4,intensity_q4_4,0.05318254728062019,0.779753741702935,144,-0.26387755072227276,1,0
controlled_yearfe,H1_DV1_Stability,intensity_q4,intensity_q4_3,-0.29978381713083824,0.27399414733989835,157,-0.26387755072227276,0,0
controlled_yearfe,H1_DV1_Stability,gpr_time_q4,gprQ2,0.24449570107265778,0.590454449702171,100,-0.26387755072227276,1,0
