analysis,outcome_key,outcome,entity,post_start,estimate,se,p_wild_bootstrap,n_obs,n_countries
continuous_moderator,recovery,Log export recovery,z_pre_trade_openness,2018,-0.1116627147891582,0.0348730382472113,0.037,1980,180
continuous_moderator,recovery,Log export recovery,z_pre_resource_rents,2018,0.0209077200956945,0.0536532158552746,0.746,2222,202
continuous_moderator,recovery,Log export recovery,z_pre_institutional_quality,2018,-0.0326335946475277,0.0222813892023855,0.278,2156,196
continuous_moderator,recovery,Log export recovery,z_pre_export_concentration,2018,0.0240966653974644,0.015477456085191,0.138,2222,202
continuous_moderator,recovery,Log export recovery,z_pre_log_population,2018,0.1001121063275349,0.0582375710612862,0.085,2222,202
continuous_moderator,diversification,Partner diversification excluding US and China,z_pre_log_real_gdp_pc,2018,0.0171308020059025,0.0083418511894164,0.134,2222,202
continuous_moderator,diversification,Partner diversification excluding US and China,z_pre_real_gdp_pc_growth_mean,2018,-0.0040123021609633,0.0111908342981237,0.774,2222,202
continuous_moderator,diversification,Partner diversification excluding US and China,z_pre_real_gdp_pc_growth_slope,2018,0.0048295972360063,0.0036363154787168,0.454,2222,202
continuous_moderator,diversification,Partner diversification excluding US and China,z_pre_real_gdp_pc_growth_volatility,2018,-0.0094622283806342,0.0050701205777173,0.598,2222,202
continuous_moderator,diversification,Partner diversification excluding US and China,z_pre_manufacturing_value_added_share,2018,0.0054277596955974,0.0095466724852393,0.863,2079,189
continuous_moderator,diversification,Partner diversification excluding US and China,z_pre_trade_openness,2018,0.023850219341117,0.0061936600556373,0.005,1980,180
continuous_moderator,diversification,Partner diversification excluding US and China,z_pre_resource_rents,2018,-0.0259353271088316,0.0114817125854396,0.139,2222,202
continuous_moderator,diversification,Partner diversification excluding US and China,z_pre_institutional_quality,2018,0.0141021758377682,0.0057846622949756,0.226,2156,196
continuous_moderator,diversification,Partner diversification excluding US and China,z_pre_export_concentration,2018,-0.0035184329835385,0.003935964085085,0.571,2222,202
continuous_moderator,diversification,Partner diversification excluding US and China,z_pre_log_population,2018,-0.0197096352626235,0.0118959810109814,0.136,2222,202
continuous_moderator,gvc,Adverse forward-GVC deviation stability,z_pre_log_real_gdp_pc,2019,-0.2702850022761812,0.15296721898682375,0.14,847,77
continuous_moderator,gvc,Adverse forward-GVC deviation stability,z_pre_real_gdp_pc_growth_mean,2019,0.33335786238095066,0.1849539093090566,0.209,847,77
continuous_moderator,gvc,Adverse forward-GVC deviation stability,z_pre_real_gdp_pc_growth_slope,2019,-0.31702839343918554,0.41086125351016767,0.519,847,77
continuous_moderator,gvc,Adverse forward-GVC deviation stability,z_pre_real_gdp_pc_growth_volatility,2019,-0.44503373045976735,0.4506349221295105,0.341,847,77
continuous_moderator,gvc,Adverse forward-GVC deviation stability,z_pre_manufacturing_value_added_share,2019,0.03722340966155796,0.10784866516713858,0.731,836,76
continuous_moderator,gvc,Adverse forward-GVC deviation stability,z_pre_trade_openness,2019,-0.20533221009972977,0.31095266063440274,0.509,814,74
continuous_moderator,gvc,Adverse forward-GVC deviation stability,z_pre_resource_rents,2019,0.332914850218735,0.3687915471110373,0.484,847,77
continuous_moderator,gvc,Adverse forward-GVC deviation stability,z_pre_institutional_quality,2019,-0.25589423337520495,0.1178153353772185,0.057,847,77
continuous_moderator,gvc,Adverse forward-GVC deviation stability,z_pre_export_concentration,2019,-0.3234493793478648,0.2719052808787796,0.307,847,77
continuous_moderator,gvc,Adverse forward-GVC deviation stability,z_pre_log_population,2019,0.1480283352785262,0.2733115358966355,0.604,847,77
continuous_moderator,recovery,Log export recovery,z_pre_log_real_gdp_pc,2019,0.010514625672821624,0.03997774878361561,0.817,2222,202
continuous_moderator,recovery,Log export recovery,z_pre_real_gdp_pc_growth_mean,2019,-0.06433174718683678,0.027352724365212203,0.066,2222,202
continuous_moderator,recovery,Log export recovery,z_pre_real_gdp_pc_growth_slope,2019,-0.009211699239251955,0.014776761314942145,0.594,2222,202
continuous_moderator,recovery,Log export recovery,z_pre_real_gdp_pc_growth_volatility,2019,0.053185668478842305,0.021501278063715767,0.035,2222,202
continuous_moderator,recovery,Log export recovery,z_pre_manufacturing_value_added_share,2019,-0.04374162786525803,0.029901760864088304,0.464,2079,189
continuous_moderator,recovery,Log export recovery,z_pre_trade_openness,2019,-0.1301459656859299,0.037505084765144886,0.036,1980,180
continuous_moderator,recovery,Log export recovery,z_pre_resource_rents,2019,0.035151951487927685,0.057652538793075025,0.65,2222,202
continuous_moderator,recovery,Log export recovery,z_pre_institutional_quality,2019,-0.03951098926605421,0.023351883588891075,0.252,2156,196
continuous_moderator,recovery,Log export recovery,z_pre_export_concentration,2019,0.032136849118617965,0.016093408595018382,0.066,2222,202
continuous_moderator,recovery,Log export recovery,z_pre_log_population,2019,0.11446631054649804,0.06366714244002496,0.07,2222,202
continuous_moderator,diversification,Partner diversification excluding US and China,z_pre_log_real_gdp_pc,2019,0.016012615297423732,0.007740096771741275,0.101,2222,202
continuous_moderator,diversification,Partner diversification excluding US and China,z_pre_real_gdp_pc_growth_mean,2019,-0.0046836759910227396,0.011234624301968062,0.783,2222,202
continuous_moderator,diversification,Partner diversification excluding US and China,z_pre_real_gdp_pc_growth_slope,2019,0.0023542749734834115,0.0035459761010268845,0.645,2222,202
continuous_moderator,diversification,Partner diversification excluding US and China,z_pre_real_gdp_pc_growth_volatility,2019,-0.008393852842964619,0.004635121517799583,0.565,2222,202
continuous_moderator,diversification,Partner diversification excluding US and China,z_pre_manufacturing_value_added_share,2019,0.003841566303440052,0.008510777857185285,0.857,2079,189
continuous_moderator,diversification,Partner diversification excluding US and China,z_pre_trade_openness,2019,0.026372509752265794,0.005985950558077119,0.01,1980,180
continuous_moderator,diversification,Partner diversification excluding US and China,z_pre_resource_rents,2019,-0.022667236573505254,0.010405167418108393,0.129,2222,202
continuous_moderator,diversification,Partner diversification excluding US and China,z_pre_institutional_quality,2019,0.011846865961301046,0.005494047091207511,0.304,2156,196
continuous_moderator,diversification,Partner diversification excluding US and China,z_pre_export_concentration,2019,-0.0022666883581931715,0.003628897090906374,0.616,2222,202
continuous_moderator,diversification,Partner diversification excluding US and China,z_pre_log_population,2019,-0.019663650196220298,0.011702490982919525,0.112,2222,202
