outcome_key,regime,excluded_country,estimate,p_cluster
gvc,R2,NZL,-0.09262256103328853,0.7457793093117279
gvc,R2,OMN,-0.09282579900756482,0.7451278305326954
gvc,R2,PAK,-0.09282579900755983,0.7452179109688339
gvc,R2,PAN,-0.09282579900756482,0.7451278305326954
gvc,R2,PER,-0.09282579900756197,0.7452179109688281
gvc,R2,PHL,-0.09282579900756344,0.7452179109688238
gvc,R2,PLW,-0.09282579900756482,0.7451278305326954
gvc,R2,PNG,-0.09282579900756482,0.7451278305326954
gvc,R2,POL,-0.09041001881010313,0.7516402537948521
gvc,R2,PRT,-0.10014684706954269,0.7306737907139844
gvc,R2,PRY,-0.09282579900756482,0.7451278305326954
gvc,R2,PSE,-0.09282579900756482,0.7451278305326954
gvc,R2,PYF,-0.09282579900756482,0.7451278305326954
gvc,R2,QAT,-0.09282579900756482,0.7451278305326954
gvc,R2,ROU,-0.0928257990075636,0.7452179109688233
gvc,R2,RUS,-0.09282579900755988,0.7452179109688339
gvc,R2,RWA,-0.09282579900756482,0.7451278305326954
gvc,R2,SAU,-0.0928257990075681,0.7452179109688116
gvc,R2,SDN,-0.09282579900756482,0.7451278305326954
gvc,R2,SEN,-0.09282579900755944,0.7452179109688352
gvc,R2,SGP,-0.09296528115960417,0.7452222850046661
gvc,R2,SLB,-0.09282579900756482,0.7451278305326954
gvc,R2,SLE,-0.09282579900756482,0.7451278305326954
gvc,R2,SLV,-0.09282579900756482,0.7451278305326954
gvc,R2,SMR,-0.09282579900756482,0.7451278305326954
gvc,R2,SOM,-0.09282579900756482,0.7451278305326954
gvc,R2,SRB,-0.09282579900756482,0.7451278305326954
gvc,R2,SSD,-0.09282579900756482,0.7451278305326954
gvc,R2,STP,-0.13124176706383722,0.6554712158703072
gvc,R2,SUR,-0.09282579900756482,0.7451278305326954
gvc,R2,SVK,-0.12877602224282236,0.6493958852364665
gvc,R2,SVN,-0.052510620046470446,0.8562182131910644
gvc,R2,SWE,-0.10815899186953398,0.7083520611194922
gvc,R2,SWZ,-0.09282579900756482,0.7451278305326954
gvc,R2,SXM,-0.09282579900756482,0.7451278305326954
gvc,R2,SYC,-0.09282579900756482,0.7451278305326954
gvc,R2,SYR,-0.09282579900756482,0.7451278305326954
gvc,R2,TCA,-0.09282579900756482,0.7451278305326954
gvc,R2,TCD,-0.09282579900756482,0.7451278305326954
gvc,R2,TGO,-0.09282579900756482,0.7451278305326954
gvc,R2,THA,-0.09282579900756482,0.7452179109688196
gvc,R2,TJK,-0.09282579900756482,0.7451278305326954
gvc,R2,TKM,-0.09282579900756482,0.7451278305326954
gvc,R2,TLS,-0.09282579900756482,0.7451278305326954
gvc,R2,TON,-0.09282579900756482,0.7451278305326954
gvc,R2,TTO,-0.09282579900756482,0.7451278305326954
gvc,R2,TUN,-0.09282579900756383,0.745217910968823
gvc,R2,TUR,-0.09282579900756516,0.745217910968819
gvc,R2,TUV,-0.09282579900756482,0.7451278305326954
gvc,R2,TZA,-0.09282579900756482,0.7451278305326954
gvc,R2,UGA,-0.09282579900756482,0.7451278305326954
gvc,R2,UKR,-0.09282579900755344,0.7452179109688502
gvc,R2,URY,-0.09282579900756482,0.7451278305326954
gvc,R2,UZB,-0.09282579900756482,0.7451278305326954
gvc,R2,VCT,-0.09282579900756482,0.7451278305326954
gvc,R2,VEN,-0.09282579900756482,0.7451278305326954
gvc,R2,VNM,-0.09282579900755933,0.7452179109688342
gvc,R2,VUT,-0.09282579900756482,0.7451278305326954
gvc,R2,WSM,-0.09282579900756482,0.7451278305326954
gvc,R2,YEM,-0.09282579900756482,0.7451278305326954
gvc,R2,ZAF,-0.09282579900756288,0.7452179109688252
gvc,R2,ZMB,-0.09282579900756482,0.7451278305326954
gvc,R2,ZWE,-0.09282579900756482,0.7451278305326954
recovery,R1,ABW,0.028479019820076095,0.3803801293309727
recovery,R1,AFG,0.024735886242596816,0.4528383491970636
recovery,R1,AGO,0.028339943717224356,0.390887797945935
recovery,R1,ALB,0.028479019820076033,0.3803801293309737
recovery,R1,AND,0.028479019820076334,0.38038012933096815
recovery,R1,ARE,0.02847901982007649,0.3803801293309669
recovery,R1,ARG,0.028372844226544434,0.3806772220920585
recovery,R1,ARM,0.03047356247980325,0.3484832925122048
recovery,R1,ASM,0.02847901982007696,0.38038012933095916
recovery,R1,ATG,0.02847901982007623,0.38038012933097043
recovery,R1,AUS,0.028479019820076543,0.3803801293309669
recovery,R1,AUT,0.028479019820076768,0.38038012933096155
recovery,R1,AZE,0.029689116386159745,0.360482798453549
recovery,R1,BDI,0.030915691732066264,0.3414925405441979
recovery,R1,BEL,0.02847901982007695,0.3803801293309592
recovery,R1,BEN,0.0288703858472867,0.3688503094545483
recovery,R1,BFA,0.024497806191494827,0.4654172056646045
recovery,R1,BGD,0.02829018534423037,0.3816746079271473
recovery,R1,BGR,0.028479019820076557,0.38038012933096627
recovery,R1,BHR,0.028479019820076144,0.3803801293309724
recovery,R1,BHS,0.028479019820076425,0.380380129330968
recovery,R1,BIH,0.030018564446747702,0.35839815030652256
recovery,R1,BLR,0.022712662395262567,0.49236269806933725
recovery,R1,BLZ,0.028479019820076685,0.3803801293309641
recovery,R1,BMU,0.028479019820076664,0.38038012933096316
recovery,R1,BOL,0.02951357021235,0.3663468422398322
recovery,R1,BRA,0.028437139127020145,0.38178996090385486
recovery,R1,BRB,0.028479019820076102,0.3803801293309746
recovery,R1,BRN,0.02847901982007645,0.38038012933096776
recovery,R1,BTN,0.028479019820076945,0.38038012933095855
recovery,R1,BWA,0.028479019820076494,0.3803801293309654
recovery,R1,CAF,0.028574113536727248,0.37848918216879984
recovery,R1,CAN,0.028479019820076813,0.3803801293309615
recovery,R1,CHE,0.0284790198200767,0.38038012933096366
recovery,R1,CHL,0.028479019820077205,0.38038012933095644
recovery,R1,CIV,0.028756416598894635,0.37745849462748865
recovery,R1,CMR,0.028540520591585995,0.3798981073461495
recovery,R1,COD,0.02989373037468139,0.33046090515811716
recovery,R1,COG,0.028503837579929636,0.3808516964322446
recovery,R1,COL,0.030633737491687175,0.3382233036537812
recovery,R1,COM,0.028617111131093532,0.3781804911716766
recovery,R1,CPV,0.02847901982007634,0.3803801293309695
recovery,R1,CRI,0.02847901982007665,0.38038012933096504
recovery,R1,CUB,0.028774451688968798,0.3758174957835229
recovery,R1,CUW,0.028479019820076643,0.38038012933096566
recovery,R1,CYM,0.028479019820076747,0.3803801293309621
recovery,R1,CYP,0.028479019820076418,0.38038012933096815
recovery,R1,CZE,0.02847901982007696,0.38038012933096055
recovery,R1,DEU,0.028479019820077035,0.38038012933095816
recovery,R1,DJI,0.028479019820076855,0.3803801293309594
recovery,R1,DMA,0.028479019820076414,0.380380129330968
recovery,R1,DNK,0.02847901982007617,0.38038012933097126
recovery,R1,DOM,0.02761439425364427,0.3953260167691078
recovery,R1,DZA,0.030287952066020033,0.35189032727607167
recovery,R1,ECU,0.028567741002178387,0.37789582718536474
recovery,R1,EGY,0.028595477237193783,0.37875960060765607
recovery,R1,ESP,0.028479019820076792,0.38038012933096116
recovery,R1,EST,0.028479019820076543,0.3803801293309659
recovery,R1,ETH,0.028839192413113696,0.369511794871993
recovery,R1,FIN,0.028479019820076057,0.38038012933097387
recovery,R1,FJI,0.028341345321653666,0.38074876303089944
recovery,R1,FRA,0.02847901982007666,0.3803801293309652
recovery,R1,FRO,0.028479019820076154,0.38038012933097287
recovery,R1,FSM,0.028479019820076813,0.3803801293309614
recovery,R1,GAB,0.02880929691668953,0.3753476423131752
recovery,R1,GBR,0.028479019820076824,0.38038012933096055
recovery,R1,GEO,0.028479019820076598,0.38038012933096504
recovery,R1,GHA,0.028448329719707954,0.3802347231185593
recovery,R1,GIN,0.028609405473433536,0.3399366684214661
recovery,R1,GMB,0.0286528986980323,0.37628253995107264
recovery,R1,GNB,0.04938659692578218,0.05669343086303359
recovery,R1,GNQ,0.030409280414507505,0.36691734197153975
