estimate,se,tvalue,p_cluster,ci_low_95,ci_high_95,p_wild_bootstrap,bootstrap_reps_requested,bootstrap_reps_success,pvalue_for_fdr,n_obs,n_countries,n_years,outcome_key,outcome,sample_type,model,term,common_sample_n_countries,common_sample_n_obs
-0.00624286384268676,0.060092194480815604,-0.10388809888911264,0.9173858657374391,-0.12490239059240411,0.1124166629070306,,0,0,,1804,164,11,recovery,Log export recovery,common_sample,A_FE,eci_exposure_post,164,1804
0.011918893283931503,0.03827557228830315,0.31139686675759687,0.7558968436343334,-0.06366099413812966,0.08749878070599267,,0,0,,1804,164,11,recovery,Log export recovery,common_sample,A_FE,eci_exposure_post_x_moderator,164,1804
-0.021788902469485495,0.046875830248694794,-0.46482168644025634,0.6426794751775324,-0.11435107100679792,0.07077326606782694,,0,0,,1804,164,11,recovery,Log export recovery,common_sample,B_structural_x_year,eci_exposure_post,164,1804
0.02474662603554039,0.03547674622962424,0.6975449742591149,0.48645557665318717,-0.04530663054125115,0.09479988261233194,,0,0,,1804,164,11,recovery,Log export recovery,common_sample,B_structural_x_year,eci_exposure_post_x_moderator,164,1804
0.02113098849608771,0.05961367420484114,0.3544654607846951,0.7234482406930677,-0.09658364033505887,0.13884561732723427,,0,0,,1804,164,11,recovery,Log export recovery,common_sample,C_region_x_year,eci_exposure_post,164,1804
-0.0014542911571956338,0.04284393950015297,-0.03394391772004163,0.972963402688301,-0.08605498895339089,0.08314640663899964,,0,0,,1804,164,11,recovery,Log export recovery,common_sample,C_region_x_year,eci_exposure_post_x_moderator,164,1804
0.024134594392437467,0.034160764429608845,0.70650041927981,0.480885664248191,-0.043320092121300044,0.09158928090617498,,0,0,,1804,164,11,recovery,Log export recovery,common_sample,D_country_trends,eci_exposure_post,164,1804
0.013433241119662894,0.02837415581745849,0.47343227428805057,0.6365382478172052,-0.042595065556626545,0.06946154779595233,,0,0,,1804,164,11,recovery,Log export recovery,common_sample,D_country_trends,eci_exposure_post_x_moderator,164,1804
0.05333140035621506,0.046673766430793226,1.142641882893544,0.25486288952704567,-0.03883176799126248,0.1454945687036926,,0,0,,1804,164,11,recovery,Log export recovery,common_sample,E_residual_density,eci_exposure_post,164,1804
0.020448557580599824,0.03773795004472677,0.541856607377039,0.5886572247170995,-0.05406972772251624,0.09496684288371589,,0,0,,1804,164,11,recovery,Log export recovery,common_sample,E_residual_density,eci_exposure_post_x_moderator,164,1804
-0.025601491323699065,0.011252663264211314,-2.2751495110605218,0.024199911481018434,-0.04782127725665442,-0.003381705390743707,,0,0,,1804,164,11,diversification,Partner diversification excluding US and China,common_sample,A_FE,eci_exposure_post,164,1804
0.009572154182228999,0.007852289212846605,1.2190272063041996,0.22459506195333026,-0.005933169428406474,0.02507747779286447,,0,0,,1804,164,11,diversification,Partner diversification excluding US and China,common_sample,A_FE,eci_exposure_post_x_moderator,164,1804
-0.02104382654435093,0.009998427148948092,-2.104713694549937,0.036849846483600075,-0.04078696696360233,-0.0013006861250995302,,0,0,,1804,164,11,diversification,Partner diversification excluding US and China,common_sample,B_structural_x_year,eci_exposure_post,164,1804
0.003930250059674653,0.007808947227509426,0.5033008861718433,0.6154321937764241,-0.011489489399592462,0.01934998951894177,,0,0,,1804,164,11,diversification,Partner diversification excluding US and China,common_sample,B_structural_x_year,eci_exposure_post_x_moderator,164,1804
-0.03056147433170649,0.011298438093224545,-2.704929130871073,0.0075579180863221,-0.0528716483690519,-0.00825130029436108,,0,0,,1804,164,11,diversification,Partner diversification excluding US and China,common_sample,C_region_x_year,eci_exposure_post,164,1804
0.009022855041296069,0.008502857325172256,1.0611556440661878,0.29018893913718047,-0.007767096381553243,0.025812806464145382,,0,0,,1804,164,11,diversification,Partner diversification excluding US and China,common_sample,C_region_x_year,eci_exposure_post_x_moderator,164,1804
-0.0027950693168349045,0.007319180424804413,-0.3818828276677707,0.7030456712614696,-0.017247703188948728,0.011657564555278917,,0,0,,1804,164,11,diversification,Partner diversification excluding US and China,common_sample,D_country_trends,eci_exposure_post,164,1804
