country_iso3_code,country_name,wb_region,pre_log_real_gdp_pc,pre_real_gdp_pc_growth_mean,pre_real_gdp_pc_growth_slope,pre_real_gdp_pc_growth_volatility,pre_manufacturing_value_added_share,pre_trade_openness,pre_resource_rents,pre_institutional_quality,pre_export_concentration,pre_log_population,eci_pre,coi_pre,exposure_pre,gvc_pre_mean,gvc_pre_slope,gvc_pre_n,recovery_pre_mean,recovery_pre_slope,recovery_pre_n,diversification_pre_mean,diversification_pre_slope,diversification_pre_n,exposure_tercile,eci_tercile_legacy_reference,coi_tercile_legacy_reference,z_pre_log_real_gdp_pc,z_pre_real_gdp_pc_growth_mean,z_pre_real_gdp_pc_growth_slope,z_pre_real_gdp_pc_growth_volatility,z_pre_manufacturing_value_added_share,z_pre_trade_openness,z_pre_resource_rents,z_pre_institutional_quality,z_pre_export_concentration,z_pre_log_population,z_eci_pre,z_coi_pre,z_exposure_pre,structural_complete_case
MUS,Mauritius,Sub-Saharan Africa,9.156906958618244,0.03524503798602794,0.001564983287481158,0.0028131798480416715,12.856512738364616,129.25132662904932,0.052770195861880136,0.86523055,0.07861350696378694,14.047614861298053,0.0286666666666666,-0.24333333333333326,0.1759862562618941,,,0,0.030117907622230405,-0.01969434824375142,6,0.9162270194652331,0.0052749617618098234,6,middle,middle,middle,0.308375514596672,0.6449471524323921,0.021101275725495396,-0.6972391533547891,0.30671129241444517,0.6469258807192235,-0.6716970349470531,0.9885295444183709,-0.7270854915191802,-0.5121912850686564,0.049129177276201856,-0.04658723801897464,-0.2900230514716876,1
MWI,Malawi,Sub-Saharan Africa,6.279021277653338,0.012128280281344495,-0.0053586376330920634,0.013428116560685153,11.2970614757279,45.3003137160008,9.266091837281879,-0.44660116111111087,0.04638509005130582,16.639498400282775,-1.1486666666666665,-1.1159999999999999,0.1557600564740523,,,0,0.1066095002726683,-0.07446156841254131,6,0.9495204356056615,-0.0011669057700146764,6,middle,low,low,-1.714755669967538,-0.1304631498519294,-0.3543705189831842,-0.36803622469023156,0.05351816249475029,-0.8321277184564408,0.34592772803902533,-0.45512195465245586,-0.9288498175681917,0.597073998668232,-1.1411451975189564,-1.0407281189884459,-0.409620721005579,1
MYS,Malaysia,East Asia & Pacific,9.154984254894735,0.03340118176100013,0.0004837438863338594,0.006513408230217804,22.464886039127165,136.71653887510752,7.387589056277374,0.26147386944444445,0.08027852227096623,17.248580575400897,0.9499999999999998,1.0716666666666663,0.299873231266093,-0.4061666666666663,0.17585714285715795,6,0.050423226220024965,-0.020469375314779263,6,0.9267170649980837,0.001427204790803967,6,high,high,high,0.30702386887723426,0.5830982923507737,-0.0375349354587678,-0.5824833094796968,1.8667306195613373,0.7784484038909059,0.13844436626269943,0.3241041996309638,-0.716661749880657,0.8577468651914476,0.9805896449811333,1.4514592766580934,0.44252155164313356,1
NAM,Namibia,Sub-Saharan Africa,8.432417938228019,0.002507009962274864,-0.019221954187787754,0.03254908653178857,11.288807760579987,95.57388931043177,2.0635021725164884,0.3833748472222222,0.0949034232547193,14.667451894709018,-0.3596666666666666,-0.7516666666666666,0.0782157849933335,,,0,0.09135384900467791,-0.038870639426177606,6,0.8913093240858613,-0.0004431070999609758,6,low,middle,middle,-0.20093461530897566,-0.4531914589762436,-1.1061858490135843,0.22496583305135578,0.052178086006413896,0.05359492319158618,-0.4496087663716048,0.4582544323296631,-0.6251033187441368,-0.24691559177628966,-0.3434726479322804,-0.6256799971780442,-0.8681405740712127,1
NCL,New Caledonia,East Asia & Pacific,10.337174767513405,,,,5.740792046485385,59.76468793558494,0.013005970520140816,,0.16057458728437837,12.542310829914138,-0.3999999999999999,-0.983,0.19753179089752207,,,0,0.02748364686118222,-0.004484545334014172,6,0.8461162177769465,-0.013272316469432317,6,middle,middle,low,1.1380945774860887,,,,-0.8485999614717536,-0.5772935716492091,-0.6760890514166394,,-0.21397241562593652,-1.1564260581084347,-0.3842493181899854,-0.8892146692150241,-0.162624145186198,0
NER,Niger,Sub-Saharan Africa,6.179562197120155,0.015992667253753368,-0.001026217870830149,0.007907932291201498,7.996225214823742,42.90156096529251,10.14654772836818,-0.605436472222222,0.2544391775720826,16.789350549676495,-0.8786666666666667,-1.032,0.142255895875101,,,0,0.20413124332605292,-0.12330859463461105,6,0.7041389852376391,0.02596192406122528,6,middle,low,low,-1.7846746277446588,-0.0008391987468801155,-0.1194209973052767,-0.5392346856398382,-0.48240693133451423,-0.8743890773889686,0.443175360582146,-0.629917877825192,0.3736619646383605,0.661207199298427,-0.8681774048847328,-0.9450354138683901,-0.4894709229014788,1
NFK,Norfolk Island,,,,,,,,,,0.16997985919830025,,0.9996666666666668,-0.4513333333333333,0.064192692338763,,,0,0.15885015162799063,-0.20712711671394574,6,0.8264852292270324,0.016221413875720715,6,low,high,middle,,,,,,,,,-0.15509120051154351,,1.0308022389348364,-0.28354060307816115,-0.9510592250652863,0
NGA,Nigeria,Sub-Saharan Africa,7.8231393126100555,0.0031419105073334564,-0.018323536911951994,0.0335754239704977,8.85656936543373,,8.761664422911858,-1.0704218999999975,0.07130947792981358,19.052344152127272,-2.0240000000000005,-1.281,0.2492748059686161,-0.8305555555555557,0.2623809523809211,6,0.4253377864659704,-0.24030825552379426,6,0.9250282902112604,-0.005018792724687803,6,middle,low,low,-0.6292527363966894,-0.43189485545365613,-1.0574641828760039,0.2567958193967935,-0.34272111137965877,,0.2902129871485881,-1.1416275004633802,-0.7728119849887161,1.6297153142504701,-2.026100041293614,-1.2286959326171276,0.1433326871437067,0
NIC,Nicaragua,Latin America & Caribbean,7.6198450339563735,0.03271813404312773,-0.000635263180674754,0.001176234206444778,14.236570432991366,103.54136256462313,3.61974502014767,-0.6605020027777773,0.3023939187444527,15.624893630490703,-1.1953333333333334,-1.0473333333333332,0.4300883979382974,,,0,0.009641339756311618,0.0015656572730387377,6,0.894677180287499,0.0028932736105092534,6,high,low,low,-0.7721670284785943,0.5601866780077835,-0.09821930806688485,-0.7480060409836631,0.5307780109738346,0.19396630864649517,-0.2777194825057505,-0.690516684105249,0.6738801248965198,0.16284698541089096,-1.188324815998946,-0.9625031298823684,1.212484799080463,1
NIU,Niue,,,,,,,,,,0.3332143131812522,,1.2233333333333334,-0.3203333333333333,0.0201994163594507,,,0,-1.5458813753357923,0.40253665198926064,6,0.6738869818248862,-0.06518625254233508,6,low,high,middle,,,,,,,,,0.8668295995477966,,1.256927410363928,-0.13430555104569275,-1.2111917926002824,0
