sample,country_iso3_code,primary_structural_profile,alternative_structural_profile,reassigned_vs_primary
broad_legacy,HMD,,R2,False
broad_legacy,HND,R1,R1,False
broad_legacy,HRV,R2,R2,False
broad_legacy,HTI,R1,R1,False
broad_legacy,HUN,R2,R2,False
broad_legacy,IDN,R1,R1,False
broad_legacy,IND,R1,R1,False
broad_legacy,IRL,R2,R2,False
broad_legacy,IRN,R1,R1,False
broad_legacy,IRQ,R1,R1,False
broad_legacy,ISL,R2,R2,False
broad_legacy,ISR,R2,R2,False
broad_legacy,ITA,R2,R2,False
broad_legacy,JAM,R1,R2,True
broad_legacy,JOR,R1,R1,False
broad_legacy,JPN,R2,R2,False
broad_legacy,KAZ,R1,R1,False
broad_legacy,KEN,R1,R1,False
broad_legacy,KGZ,R1,R1,False
broad_legacy,KHM,R1,R1,False
broad_legacy,KIR,R2,R2,False
broad_legacy,KNA,R2,R2,False
broad_legacy,KOR,R2,R2,False
broad_legacy,KWT,R1,R1,False
broad_legacy,LAO,R1,R1,False
broad_legacy,LBN,R1,R1,False
broad_legacy,LBR,R1,R1,False
broad_legacy,LBY,R1,R1,False
broad_legacy,LCA,R2,R2,False
broad_legacy,LKA,R1,R1,False
broad_legacy,LSO,R1,R1,False
broad_legacy,LTU,R2,R2,False
broad_legacy,LUX,R2,R2,False
broad_legacy,LVA,R2,R2,False
broad_legacy,MAC,R2,R2,False
broad_legacy,MAR,R1,R1,False
broad_legacy,MDA,R1,R1,False
broad_legacy,MDG,R1,R1,False
broad_legacy,MDV,R2,R2,False
broad_legacy,MEX,R1,R1,False
broad_legacy,MHL,R2,R2,False
broad_legacy,MKD,R2,R2,False
broad_legacy,MLI,R1,R1,False
broad_legacy,MLT,R2,R2,False
broad_legacy,MMR,R1,R1,False
broad_legacy,MNE,R2,R2,False
broad_legacy,MNG,R1,R1,False
broad_legacy,MNP,R2,R2,False
broad_legacy,MOZ,R1,R1,False
broad_legacy,MRT,R1,R1,False
broad_legacy,MSR,,R2,False
broad_legacy,MUS,R2,R2,False
broad_legacy,MWI,R1,R1,False
broad_legacy,MYS,R1,R1,False
broad_legacy,NAM,R2,R2,False
broad_legacy,NCL,,R2,False
broad_legacy,NER,R1,R1,False
broad_legacy,NFK,,R2,False
broad_legacy,NGA,R1,R1,False
