country_iso3_code,consensus_cluster_numeric,assignment_probability,pre_log_real_gdp_pc,wb_region,exposure_tercile,cluster_imputed_fields,structural_profile,structural_regime,sample,selected_k
MKD,0,1.0,8.542836019630618,Europe & Central Asia,low,0,R2,R2,cleaned_primary,2
MLI,1,1.0,6.717848453139968,Sub-Saharan Africa,low,0,R1,R1,cleaned_primary,2
MLT,0,1.0,10.109305884184616,"Middle East, North Africa, Afghanistan & Pakistan",middle,0,R2,R2,cleaned_primary,2
MMR,1,1.0,7.0216785004315225,East Asia & Pacific,high,1,R1,R1,cleaned_primary,2
MNE,0,1.0,8.75917691964665,Europe & Central Asia,low,0,R2,R2,cleaned_primary,2
MNG,1,1.0,8.223002652998591,East Asia & Pacific,high,0,R1,R1,cleaned_primary,2
MNP,0,1.0,9.860757087392644,East Asia & Pacific,low,2,R2,R2,cleaned_primary,2
MOZ,1,1.0,6.377254474563757,Sub-Saharan Africa,middle,0,R1,R1,cleaned_primary,2
MRT,1,1.0,7.331920004883778,Sub-Saharan Africa,high,0,R1,R1,cleaned_primary,2
MUS,0,1.0,9.156906958618244,Sub-Saharan Africa,middle,0,R2,R2,cleaned_primary,2
MWI,1,1.0,6.279021277653338,Sub-Saharan Africa,middle,0,R1,R1,cleaned_primary,2
MYS,1,1.0,9.154984254894735,East Asia & Pacific,high,0,R1,R1,cleaned_primary,2
NAM,0,1.0,8.432417938228019,Sub-Saharan Africa,low,0,R2,R2,cleaned_primary,2
NER,1,1.0,6.179562197120155,Sub-Saharan Africa,middle,0,R1,R1,cleaned_primary,2
NGA,1,1.0,7.8231393126100555,Sub-Saharan Africa,middle,1,R1,R1,cleaned_primary,2
NIC,1,1.0,7.6198450339563735,Latin America & Caribbean,high,0,R1,R1,cleaned_primary,2
NLD,0,1.0,10.729834817194531,Europe & Central Asia,middle,0,R2,R2,cleaned_primary,2
NOR,0,1.0,11.21944519026119,Europe & Central Asia,low,0,R2,R2,cleaned_primary,2
NPL,1,1.0,6.748029844360005,South Asia,middle,0,R1,R1,cleaned_primary,2
NRU,0,1.0,8.897442249913965,East Asia & Pacific,low,1,R2,R2,cleaned_primary,2
NZL,0,1.0,10.551735059719773,East Asia & Pacific,high,0,R2,R2,cleaned_primary,2
OMN,1,1.0,9.849822372549715,"Middle East, North Africa, Afghanistan & Pakistan",high,0,R1,R1,cleaned_primary,2
PAK,1,1.0,7.225431716852005,"Middle East, North Africa, Afghanistan & Pakistan",high,0,R1,R1,cleaned_primary,2
PAN,0,1.0,9.534657369296054,Latin America & Caribbean,high,0,R2,R2,cleaned_primary,2
PER,1,1.0,8.724704542612754,Latin America & Caribbean,high,0,R1,R1,cleaned_primary,2
PHL,1,1.0,7.957251620263574,East Asia & Pacific,high,0,R1,R1,cleaned_primary,2
PLW,0,1.0,9.63972849224103,East Asia & Pacific,high,0,R2,R2,cleaned_primary,2
PNG,1,1.0,7.774783867062388,East Asia & Pacific,middle,1,R1,R1,cleaned_primary,2
POL,0,1.0,9.426555056578307,Europe & Central Asia,low,0,R2,R2,cleaned_primary,2
PRT,0,1.0,9.86351147926796,Europe & Central Asia,low,0,R2,R2,cleaned_primary,2
PRY,1,1.0,8.66321686198826,Latin America & Caribbean,middle,0,R1,R1,cleaned_primary,2
PSE,1,1.0,8.110935824656933,"Middle East, North Africa, Afghanistan & Pakistan",low,0,R1,R1,cleaned_primary,2
PYF,0,1.0,9.867526593575151,East Asia & Pacific,middle,1,R2,R2,cleaned_primary,2
