test_id,variant,outcome_key,outcome,event_year,term,estimate,se,p_cluster,ci_low_95,ci_high_95,n_obs,n_countries
corrected_event_regime_R2_gvc_2018,regime_R2,gvc,Adverse forward-GVC deviation stability,2018,event_eci_exposure_2018,-0.22059741871769642,0.18750297821512812,0.24618048870756815,-0.5992673653029245,0.1580725278675316,462,42
corrected_event_regime_R2_gvc_2019,regime_R2,gvc,Adverse forward-GVC deviation stability,2019,event_eci_exposure_2019,-0.527963313099347,0.5681958146506325,0.3582279489853497,-1.6754580400196133,0.6195314138209195,462,42
corrected_event_regime_R2_gvc_2020,regime_R2,gvc,Adverse forward-GVC deviation stability,2020,event_eci_exposure_2020,-0.34662806217899217,0.5395915204153078,0.5241962123611793,-1.4363552449604602,0.743099120602476,462,42
corrected_event_regime_R2_gvc_2021,regime_R2,gvc,Adverse forward-GVC deviation stability,2021,event_eci_exposure_2021,-0.6374958146197796,0.7847335996644806,0.42127005189196715,-2.222297470024139,0.9473058407845798,462,42
corrected_event_regime_R2_gvc_2022,regime_R2,gvc,Adverse forward-GVC deviation stability,2022,event_eci_exposure_2022,-0.5634560201577807,0.5631032217370334,0.32287665408733673,-1.7006660470432544,0.573754006727693,462,42
corrected_event_full_sample_recovery_2012,full_sample,recovery,Log export recovery,2012,event_eci_exposure_2012,0.011462202629148948,0.044051323654653377,0.7949776875339372,-0.07540509333459686,0.09832949859289475,2200,200
corrected_event_full_sample_recovery_2013,full_sample,recovery,Log export recovery,2013,event_eci_exposure_2013,-0.027331581687674536,0.025769687719795646,0.2901528377668389,-0.07814828603004961,0.023485122654700534,2200,200
corrected_event_full_sample_recovery_2014,full_sample,recovery,Log export recovery,2014,event_eci_exposure_2014,-0.06059716667319565,0.027299425600442927,0.027566543798749336,-0.11443044764030294,-0.006763885706088366,2200,200
corrected_event_full_sample_recovery_2015,full_sample,recovery,Log export recovery,2015,event_eci_exposure_2015,-0.00470397064842922,0.02785084990942328,0.8660479209793456,-0.059624636390289816,0.05021669509343137,2200,200
corrected_event_full_sample_recovery_2016,full_sample,recovery,Log export recovery,2016,event_eci_exposure_2016,0.009022340970444243,0.019647883304775123,0.6465905452752152,-0.029722431093101832,0.04776711303399032,2200,200
corrected_event_full_sample_recovery_2018,full_sample,recovery,Log export recovery,2018,event_eci_exposure_2018,-0.022718481629539,0.016448057009610547,0.16875850454875996,-0.05515333528986645,0.009716372030788446,2200,200
corrected_event_full_sample_recovery_2019,full_sample,recovery,Log export recovery,2019,event_eci_exposure_2019,-0.00028887038881179807,0.021869837532660863,0.9894745845915016,-0.04341523963306501,0.042837498855441414,2200,200
corrected_event_full_sample_recovery_2020,full_sample,recovery,Log export recovery,2020,event_eci_exposure_2020,-0.01739987494573642,0.033338985986105074,0.6023149913632796,-0.08314290653975381,0.04834315664828098,2200,200
corrected_event_full_sample_recovery_2021,full_sample,recovery,Log export recovery,2021,event_eci_exposure_2021,-0.0063185136231293975,0.04803705691569658,0.8954856569341989,-0.10104550237463122,0.08840847512837244,2200,200
corrected_event_full_sample_recovery_2022,full_sample,recovery,Log export recovery,2022,event_eci_exposure_2022,-0.005732121207367348,0.06021144531640317,0.9242518744030336,-0.12446647483790517,0.11300223242317047,2200,200
corrected_event_pooled_regime_interacted_recovery_2012,pooled_regime_interacted,recovery,Log export recovery,2012,event_eci_exposure_2012,0.03493914898490065,0.054691358313149224,0.5236601735648017,-0.07290983295473151,0.1427881309245328,2200,200
corrected_event_pooled_regime_interacted_recovery_2013,pooled_regime_interacted,recovery,Log export recovery,2013,event_eci_exposure_2013,-0.01569476868360423,0.031694094530740576,0.6210085626040035,-0.07819414580763182,0.04680460844042336,2200,200
corrected_event_pooled_regime_interacted_recovery_2014,pooled_regime_interacted,recovery,Log export recovery,2014,event_eci_exposure_2014,-0.07471498887999628,0.02933272178143783,0.01161637351101842,-0.13255784155761857,-0.016872136202373995,2200,200
corrected_event_pooled_regime_interacted_recovery_2015,pooled_regime_interacted,recovery,Log export recovery,2015,event_eci_exposure_2015,-0.03497469666484087,0.027113268657475067,0.198565853202989,-0.08844088423000479,0.018491490900323045,2200,200
corrected_event_pooled_regime_interacted_recovery_2016,pooled_regime_interacted,recovery,Log export recovery,2016,event_eci_exposure_2016,-0.015693315173747356,0.019889752515872137,0.431042187463451,-0.05491504281096919,0.02352841246347448,2200,200
corrected_event_pooled_regime_interacted_recovery_2018,pooled_regime_interacted,recovery,Log export recovery,2018,event_eci_exposure_2018,-0.02570371752736405,0.02280170106283408,0.26098491515859396,-0.07066768115829188,0.019260246103563777,2200,200
corrected_event_pooled_regime_interacted_recovery_2019,pooled_regime_interacted,recovery,Log export recovery,2019,event_eci_exposure_2019,-0.004021300930658099,0.02257942024557437,0.8588288696960795,-0.04854693644932901,0.040504334588012815,2200,200
corrected_event_pooled_regime_interacted_recovery_2020,pooled_regime_interacted,recovery,Log export recovery,2020,event_eci_exposure_2020,0.010886394196962745,0.0360184867224034,0.7627812439732476,-0.06014049640932553,0.08191328480325102,2200,200
corrected_event_pooled_regime_interacted_recovery_2021,pooled_regime_interacted,recovery,Log export recovery,2021,event_eci_exposure_2021,0.05133717867835365,0.05928299742062793,0.387550539106501,-0.06556631604811343,0.16824067340482074,2200,200
corrected_event_pooled_regime_interacted_recovery_2022,pooled_regime_interacted,recovery,Log export recovery,2022,event_eci_exposure_2022,0.0877015585085392,0.07313634426927773,0.23189493829561186,-0.05652013419591226,0.23192325121299065,2200,200
corrected_event_regime_R1_recovery_2012,regime_R1,recovery,Log export recovery,2012,event_eci_exposure_2012,0.02500140367153003,0.054996651336197175,0.6503364456359684,-0.08404679660546253,0.1340496039485226,1166,106
corrected_event_regime_R1_recovery_2013,regime_R1,recovery,Log export recovery,2013,event_eci_exposure_2013,-0.020277565211468312,0.029394135359981935,0.4918099589142454,-0.07856070576323958,0.03800557534030295,1166,106
corrected_event_regime_R1_recovery_2014,regime_R1,recovery,Log export recovery,2014,event_eci_exposure_2014,-0.07468695238919362,0.028573896797776298,0.010268644145086943,-0.13134371139166787,-0.01803019338671938,1166,106
corrected_event_regime_R1_recovery_2015,regime_R1,recovery,Log export recovery,2015,event_eci_exposure_2015,-0.031228780555931063,0.024148280664001875,0.19877668029936385,-0.07911036029240359,0.016652799180541467,1166,106
corrected_event_regime_R1_recovery_2016,regime_R1,recovery,Log export recovery,2016,event_eci_exposure_2016,-0.015217654680387674,0.018642439115372098,0.41618180131399013,-0.052182167699141704,0.021746858338366357,1166,106
corrected_event_regime_R1_recovery_2018,regime_R1,recovery,Log export recovery,2018,event_eci_exposure_2018,-0.028922958561105383,0.023125267190940418,0.21382086877938852,-0.07477609155789354,0.016930174435682774,1166,106
corrected_event_regime_R1_recovery_2019,regime_R1,recovery,Log export recovery,2019,event_eci_exposure_2019,-0.018101754919866986,0.02293604360471596,0.43175760480758485,-0.063579692499727,0.02737618265999304,1166,106
corrected_event_regime_R1_recovery_2020,regime_R1,recovery,Log export recovery,2020,event_eci_exposure_2020,-0.005765990361434936,0.034933704823170916,0.8692178723123207,-0.07503307385506595,0.06350109313219608,1166,106
corrected_event_regime_R1_recovery_2021,regime_R1,recovery,Log export recovery,2021,event_eci_exposure_2021,0.02992339752832726,0.05143382743496662,0.5619589248241724,-0.0720603810994633,0.13190717615611783,1166,106
corrected_event_regime_R1_recovery_2022,regime_R1,recovery,Log export recovery,2022,event_eci_exposure_2022,0.0654202117512164,0.06741273210523184,0.3340559203573117,-0.06824678311529106,0.19908720661772386,1166,106
corrected_event_regime_R2_recovery_2012,regime_R2,recovery,Log export recovery,2012,event_eci_exposure_2012,-0.09554547804152491,0.0864950508187499,0.27216744963796446,-0.26730750688933264,0.07621655080628281,1034,94
corrected_event_regime_R2_recovery_2013,regime_R2,recovery,Log export recovery,2013,event_eci_exposure_2013,-0.08086048902678605,0.06906419191239832,0.24466965927938966,-0.21800828663275476,0.056287308579182654,1034,94
corrected_event_regime_R2_recovery_2014,regime_R2,recovery,Log export recovery,2014,event_eci_exposure_2014,-0.03491234428109652,0.07848632278286989,0.6574828464446711,-0.19077062646465145,0.12094593790245842,1034,94
corrected_event_regime_R2_recovery_2015,regime_R2,recovery,Log export recovery,2015,event_eci_exposure_2015,0.06913730213301367,0.08633947294982766,0.4253108736613575,-0.10231577990041621,0.24059038416644354,1034,94
corrected_event_regime_R2_recovery_2016,regime_R2,recovery,Log export recovery,2016,event_eci_exposure_2016,0.05497475832737614,0.06188522141840517,0.3766528530079828,-0.06791702664648583,0.1778665433012381,1034,94
corrected_event_regime_R2_recovery_2018,regime_R2,recovery,Log export recovery,2018,event_eci_exposure_2018,-0.030668958262621615,0.03616579947961736,0.3986097044013065,-0.10248706848651298,0.04114915196126975,1034,94
corrected_event_regime_R2_recovery_2019,regime_R2,recovery,Log export recovery,2019,event_eci_exposure_2019,-0.06795484946968622,0.052778656987513835,0.20109961077632965,-0.17276280227422702,0.0368531033348546,1034,94
corrected_event_regime_R2_recovery_2020,regime_R2,recovery,Log export recovery,2020,event_eci_exposure_2020,-0.15848160557639268,0.07532796060249435,0.03808681316974527,-0.30806800641179666,-0.008895204740988732,1034,94
corrected_event_regime_R2_recovery_2021,regime_R2,recovery,Log export recovery,2021,event_eci_exposure_2021,-0.2240403485205717,0.16109048586268176,0.16761305044243208,-0.5439341276205353,0.09585343057939189,1034,94
corrected_event_regime_R2_recovery_2022,regime_R2,recovery,Log export recovery,2022,event_eci_exposure_2022,-0.2975677277962313,0.17702854228713719,0.09613759170412653,-0.6491113282610246,0.053975872668561964,1034,94
corrected_event_full_sample_diversification_2012,full_sample,diversification,Partner diversification excluding US and China,2012,event_eci_exposure_2012,0.003306110401908452,0.010579335169340173,0.7549828959943824,-0.017555878819104635,0.02416809962292154,2200,200
corrected_event_full_sample_diversification_2013,full_sample,diversification,Partner diversification excluding US and China,2013,event_eci_exposure_2013,-0.003460550657483125,0.008823494791164668,0.6953321711015696,-0.02086009895409155,0.013938997639125301,2200,200
corrected_event_full_sample_diversification_2014,full_sample,diversification,Partner diversification excluding US and China,2014,event_eci_exposure_2014,0.0009230521259120331,0.005146764606838653,0.8578484309236629,-0.009226144022266751,0.011072248274090818,2200,200
corrected_event_full_sample_diversification_2015,full_sample,diversification,Partner diversification excluding US and China,2015,event_eci_exposure_2015,-0.011860795375129594,0.007637671815965274,0.12202795925528788,-0.026921952295469488,0.003200361545210301,2200,200
corrected_event_full_sample_diversification_2016,full_sample,diversification,Partner diversification excluding US and China,2016,event_eci_exposure_2016,-0.021916929938171657,0.012637567159009452,0.08441907010023313,-0.046837663200801384,0.003003803324458071,2200,200
corrected_event_full_sample_diversification_2018,full_sample,diversification,Partner diversification excluding US and China,2018,event_eci_exposure_2018,-0.010559020380359089,0.014286978806180956,0.46073775810500356,-0.038732321734793726,0.017614280974075552,2200,200
corrected_event_full_sample_diversification_2019,full_sample,diversification,Partner diversification excluding US and China,2019,event_eci_exposure_2019,-0.007830300002052358,0.012706463041146,0.5384368092369954,-0.03288689295033325,0.01722629294622853,2200,200
