outcome_key,outcome,excluded_country,regime,estimate,se,p_cluster,n_obs,n_countries
gvc,Adverse forward-GVC deviation stability,CUB,R1,0.38774197344412326,0.2675215331383827,0.1512905216270863,858,78
gvc,Adverse forward-GVC deviation stability,CUB,R2,-0.13599125688629649,0.3033864988476103,0.6552356879389306,858,78
gvc,Adverse forward-GVC deviation stability,CUW,R1,0.38774197344412326,0.2675215331383827,0.1512905216270863,858,78
gvc,Adverse forward-GVC deviation stability,CUW,R2,-0.13599125688629649,0.3033864988476103,0.6552356879389306,858,78
gvc,Adverse forward-GVC deviation stability,CXR,R1,0.38774197344412326,0.2675215331383827,0.1512905216270863,858,78
gvc,Adverse forward-GVC deviation stability,CXR,R2,-0.13599125688629649,0.3033864988476103,0.6552356879389306,858,78
gvc,Adverse forward-GVC deviation stability,CYM,R1,0.38774197344412326,0.2675215331383827,0.1512905216270863,858,78
gvc,Adverse forward-GVC deviation stability,CYM,R2,-0.13599125688629649,0.3033864988476103,0.6552356879389306,858,78
gvc,Adverse forward-GVC deviation stability,CYP,R1,0.3877419734441168,0.2676043841178283,0.15146874476365182,847,77
gvc,Adverse forward-GVC deviation stability,CYP,R2,-0.16660714483680367,0.3156523024529509,0.5991629670083158,847,77
gvc,Adverse forward-GVC deviation stability,CZE,R1,0.38774197344413214,0.26760438411783355,0.15146874476364383,847,77
gvc,Adverse forward-GVC deviation stability,CZE,R2,-0.1331968859975829,0.31398604596839635,0.6726090510666834,847,77
gvc,Adverse forward-GVC deviation stability,DEU,R1,0.38774197344413,0.26760438411783327,0.15146874476364572,847,77
gvc,Adverse forward-GVC deviation stability,DEU,R2,-0.1316801667839822,0.3047190229513107,0.6668659395941348,847,77
gvc,Adverse forward-GVC deviation stability,DJI,R1,0.38774197344412326,0.2675215331383827,0.1512905216270863,858,78
gvc,Adverse forward-GVC deviation stability,DJI,R2,-0.13599125688629649,0.3033864988476103,0.6552356879389306,858,78
gvc,Adverse forward-GVC deviation stability,DMA,R1,0.38774197344412326,0.2675215331383827,0.1512905216270863,858,78
gvc,Adverse forward-GVC deviation stability,DMA,R2,-0.13599125688629649,0.3033864988476103,0.6552356879389306,858,78
gvc,Adverse forward-GVC deviation stability,DNK,R1,0.3877419734441201,0.2676043841178294,0.1514687447636501,847,77
gvc,Adverse forward-GVC deviation stability,DNK,R2,-0.13628973252490473,0.30324554622928535,0.6543956714733711,847,77
gvc,Adverse forward-GVC deviation stability,DOM,R1,0.38774197344412326,0.2675215331383827,0.1512905216270863,858,78
gvc,Adverse forward-GVC deviation stability,DOM,R2,-0.13599125688629649,0.3033864988476103,0.6552356879389306,858,78
gvc,Adverse forward-GVC deviation stability,DZA,R1,0.38774197344412326,0.2675215331383827,0.1512905216270863,858,78
gvc,Adverse forward-GVC deviation stability,DZA,R2,-0.13599125688629649,0.3033864988476103,0.6552356879389306,858,78
gvc,Adverse forward-GVC deviation stability,ECU,R1,0.38774197344412326,0.2675215331383827,0.1512905216270863,858,78
gvc,Adverse forward-GVC deviation stability,ECU,R2,-0.13599125688629649,0.3033864988476103,0.6552356879389306,858,78
gvc,Adverse forward-GVC deviation stability,EGY,R1,0.4006794819945473,0.26913295423012723,0.14068360180033665,847,77
gvc,Adverse forward-GVC deviation stability,EGY,R2,-0.1359912568863152,0.3034804571480406,0.655351918405173,847,77
gvc,Adverse forward-GVC deviation stability,ERI,R1,0.38774197344412326,0.2675215331383827,0.1512905216270863,858,78
gvc,Adverse forward-GVC deviation stability,ERI,R2,-0.13599125688629649,0.3033864988476103,0.6552356879389306,858,78
gvc,Adverse forward-GVC deviation stability,ESP,R1,0.38774197344412076,0.26760438411782905,0.15146874476364897,847,77
gvc,Adverse forward-GVC deviation stability,ESP,R2,-0.14329007142179884,0.30541280944565113,0.6402923576572034,847,77
gvc,Adverse forward-GVC deviation stability,EST,R1,0.3877419734441363,0.2676043841178333,0.15146874476363922,847,77
gvc,Adverse forward-GVC deviation stability,EST,R2,-0.1370928661787908,0.3036936494289679,0.6529736434285822,847,77
gvc,Adverse forward-GVC deviation stability,ETH,R1,0.38774197344412326,0.2675215331383827,0.1512905216270863,858,78
gvc,Adverse forward-GVC deviation stability,ETH,R2,-0.13599125688629649,0.3033864988476103,0.6552356879389306,858,78
gvc,Adverse forward-GVC deviation stability,FIN,R1,0.3877419734441269,0.2676043841178325,0.15146874476364772,847,77
gvc,Adverse forward-GVC deviation stability,FIN,R2,-0.09256727757236549,0.304524541208713,0.7619790556422137,847,77
gvc,Adverse forward-GVC deviation stability,FJI,R1,0.38774197344412326,0.2675215331383827,0.1512905216270863,858,78
