estimate,se,tvalue,p_cluster,ci_low_95,ci_high_95,p_wild_bootstrap,bootstrap_reps_requested,bootstrap_reps_success,pvalue_for_fdr,n_obs,n_countries,n_years,outcome_key,outcome,sample_type,model,term,common_sample_n_countries,common_sample_n_obs,adjustment_evidence
0.23079135951473873,0.22020379807898924,1.048080739424629,0.297923093845693,-0.20778251365890849,0.6693652326883859,,0,0,,847,77,11,gvc,Adverse forward-GVC deviation stability,maximum_available,A_FE,eci_exposure_post,73,803,Models A-D; no weighting model
0.023071531946001877,0.03523709380606297,0.6547512707200654,0.5135395946712383,-0.046502193936534514,0.09264525782853827,,0,0,,1826,166,11,recovery,Log export recovery,maximum_available,B_structural_x_year,eci_exposure_post_x_moderator,166,1826,Models A-D; no weighting model
-0.02245857404435974,0.05027535565863847,-0.446711390703028,0.6555643811186721,-0.12159335572340443,0.07667620763468497,,0,0,,2222,202,11,recovery,Log export recovery,maximum_available,C_region_x_year,eci_exposure_post,166,1826,Models A-D; no weighting model
-0.028829311488341617,0.04177166552386712,-0.6901642806621963,0.4908870047555413,-0.11119620651730043,0.053537583540617203,,0,0,,2222,202,11,recovery,Log export recovery,maximum_available,C_region_x_year,eci_exposure_post_x_moderator,166,1826,Models A-D; no weighting model
-0.0032068007218978845,0.032347571327471444,-0.09913574930970111,0.9211292873499156,-0.0669909227710715,0.06057732132727574,,0,0,,2222,202,11,recovery,Log export recovery,maximum_available,D_country_trends,eci_exposure_post,166,1826,Models A-D; no weighting model
-0.004334214073478091,0.030930375487500886,-0.14012807814860082,0.8886991147887281,-0.06532385762814122,0.05665542948118503,,0,0,,2222,202,11,recovery,Log export recovery,maximum_available,D_country_trends,eci_exposure_post_x_moderator,166,1826,Models A-D; no weighting model
-0.013137820287150031,0.013254891627136021,-0.9911676878786155,0.32279538457788826,-0.039274299490947524,0.012998658916647463,,0,0,,2222,202,11,diversification,Partner diversification excluding US and China,maximum_available,A_FE,eci_exposure_post,166,1826,Models A-D; no weighting model
0.006601582559768757,0.008663059900954324,0.7620381984247305,0.4469304594798417,-0.010480555213353688,0.023683720332891203,,0,0,,2222,202,11,diversification,Partner diversification excluding US and China,maximum_available,A_FE,eci_exposure_post_x_moderator,166,1826,Models A-D; no weighting model
-0.020766443819926705,0.009878888965395018,-2.1021031709810636,0.03706248276932408,-0.04027177296781875,-0.0012611146720346543,,0,0,,1826,166,11,diversification,Partner diversification excluding US and China,maximum_available,B_structural_x_year,eci_exposure_post,166,1826,Models A-D; no weighting model
0.003887307335664557,0.007748952987565073,0.5016558161989898,0.6165783489160703,-0.011412579028424614,0.01918719369975373,,0,0,,1826,166,11,diversification,Partner diversification excluding US and China,maximum_available,B_structural_x_year,eci_exposure_post_x_moderator,166,1826,Models A-D; no weighting model
-0.01326108465192527,0.014166692153442762,-0.936074879604311,0.35035793054442793,-0.041195485420395486,0.014673316116544943,,0,0,,2222,202,11,diversification,Partner diversification excluding US and China,maximum_available,C_region_x_year,eci_exposure_post,166,1826,Models A-D; no weighting model
0.007581185137479929,0.010010144739507731,0.7573502016967588,0.4497269971235018,-0.012157183698031775,0.027319553972991635,,0,0,,2222,202,11,diversification,Partner diversification excluding US and China,maximum_available,C_region_x_year,eci_exposure_post_x_moderator,166,1826,Models A-D; no weighting model
0.020550315101317093,0.016640332685996836,1.2349702069725195,0.21828325918292657,-0.012261700373893618,0.053362330576527804,,0,0,,2222,202,11,diversification,Partner diversification excluding US and China,maximum_available,D_country_trends,eci_exposure_post,166,1826,Models A-D; no weighting model
0.012097790471541522,0.008960949984090713,1.350056689638929,0.17851610691918446,-0.005571737842516942,0.029767318785599985,,0,0,,2222,202,11,diversification,Partner diversification excluding US and China,maximum_available,D_country_trends,eci_exposure_post_x_moderator,166,1826,Models A-D; no weighting model
