DATAFLOW,MEASURE,REF_AREA,ACTIVITY,COUNTERPART_AREA,UNIT_MEASURE,FREQ,TIME_PERIOD,OBS_VALUE,UNIT_MULT
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,CYP,_T,W,PT_EXGR,A,2013,71.538,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,HRV,_T,W,PT_EXGR,A,2013,77.201,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,BRN,_T,W,PT_EXGR,A,2013,85.839,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,WXOECD,_T,W,PT_EXGR,A,2013,90.884,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,W_O,_T,W,PT_EXGR,A,2013,90.633,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,S2_S8,_T,W,PT_EXGR,A,2013,84.99,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,S2,_T,W,PT_EXGR,A,2013,83.246,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,F,_T,W,PT_EXGR,A,2013,85.774,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,E,_T,W,PT_EXGR,A,2013,89.939,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,A5_A7,_T,W,PT_EXGR,A,2013,90.014,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,NAFTA,_T,W,PT_EXGR,A,2013,92.389,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,ASEAN,_T,W,PT_EXGR,A,2013,70.263,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,APEC,_T,W,PT_EXGR,A,2013,92.13,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,VNM,_T,W,PT_EXGR,A,2013,63.622,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,ARE,_T,W,PT_EXGR,A,2013,84.938,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,UKR,_T,W,PT_EXGR,A,2013,72.423,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,TUN,_T,W,PT_EXGR,A,2013,67.843,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,THA,_T,W,PT_EXGR,A,2013,61.327,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,TWN,_T,W,PT_EXGR,A,2013,58.191,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,ZAF,_T,W,PT_EXGR,A,2013,76.791,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,SEN,_T,W,PT_EXGR,A,2013,73.945,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,STP,_T,W,PT_EXGR,A,2013,76.91,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,RUS,_T,W,PT_EXGR,A,2013,92.216,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,ROU,_T,W,PT_EXGR,A,2013,77.169,0
