country_iso3_code,wb_region,wb_region_id
KNA,Latin America & Caribbean,LCN
KOR,East Asia & Pacific,EAS
KWT,"Middle East, North Africa, Afghanistan & Pakistan",MEA
LAO,East Asia & Pacific,EAS
LBN,"Middle East, North Africa, Afghanistan & Pakistan",MEA
LBR,Sub-Saharan Africa,SSF
LBY,"Middle East, North Africa, Afghanistan & Pakistan",MEA
LCA,Latin America & Caribbean,LCN
LIE,Europe & Central Asia,ECS
LKA,South Asia,SAS
LSO,Sub-Saharan Africa,SSF
LTU,Europe & Central Asia,ECS
LUX,Europe & Central Asia,ECS
LVA,Europe & Central Asia,ECS
MAC,East Asia & Pacific,EAS
MAF,Latin America & Caribbean,LCN
MAR,"Middle East, North Africa, Afghanistan & Pakistan",MEA
MCO,Europe & Central Asia,ECS
MDA,Europe & Central Asia,ECS
MDG,Sub-Saharan Africa,SSF
MDV,South Asia,SAS
MEX,Latin America & Caribbean,LCN
MHL,East Asia & Pacific,EAS
MKD,Europe & Central Asia,ECS
MLI,Sub-Saharan Africa,SSF
MLT,"Middle East, North Africa, Afghanistan & Pakistan",MEA
MMR,East Asia & Pacific,EAS
MNE,Europe & Central Asia,ECS
MNG,East Asia & Pacific,EAS
MNP,East Asia & Pacific,EAS
MOZ,Sub-Saharan Africa,SSF
MRT,Sub-Saharan Africa,SSF
MUS,Sub-Saharan Africa,SSF
MWI,Sub-Saharan Africa,SSF
MYS,East Asia & Pacific,EAS
NAM,Sub-Saharan Africa,SSF
NCL,East Asia & Pacific,EAS
NER,Sub-Saharan Africa,SSF
NGA,Sub-Saharan Africa,SSF
NIC,Latin America & Caribbean,LCN
NLD,Europe & Central Asia,ECS
NOR,Europe & Central Asia,ECS
NPL,South Asia,SAS
NRU,East Asia & Pacific,EAS
NZL,East Asia & Pacific,EAS
OMN,"Middle East, North Africa, Afghanistan & Pakistan",MEA
PAK,"Middle East, North Africa, Afghanistan & Pakistan",MEA
PAN,Latin America & Caribbean,LCN
PER,Latin America & Caribbean,LCN
PHL,East Asia & Pacific,EAS
PLW,East Asia & Pacific,EAS
PNG,East Asia & Pacific,EAS
POL,Europe & Central Asia,ECS
PRI,Latin America & Caribbean,LCN
PRK,East Asia & Pacific,EAS
PRT,Europe & Central Asia,ECS
PRY,Latin America & Caribbean,LCN
PSE,"Middle East, North Africa, Afghanistan & Pakistan",MEA
PYF,East Asia & Pacific,EAS
QAT,"Middle East, North Africa, Afghanistan & Pakistan",MEA
ROU,Europe & Central Asia,ECS
RUS,Europe & Central Asia,ECS
RWA,Sub-Saharan Africa,SSF
SAU,"Middle East, North Africa, Afghanistan & Pakistan",MEA
SDN,Sub-Saharan Africa,SSF
SEN,Sub-Saharan Africa,SSF
SGP,East Asia & Pacific,EAS
SLB,East Asia & Pacific,EAS
SLE,Sub-Saharan Africa,SSF
SLV,Latin America & Caribbean,LCN
SMR,Europe & Central Asia,ECS
SOM,Sub-Saharan Africa,SSF
SRB,Europe & Central Asia,ECS
SSD,Sub-Saharan Africa,SSF
STP,Sub-Saharan Africa,SSF
SUR,Latin America & Caribbean,LCN
SVK,Europe & Central Asia,ECS
SVN,Europe & Central Asia,ECS
SWE,Europe & Central Asia,ECS
SWZ,Sub-Saharan Africa,SSF
SXM,Latin America & Caribbean,LCN
SYC,Sub-Saharan Africa,SSF
SYR,"Middle East, North Africa, Afghanistan & Pakistan",MEA
TCA,Latin America & Caribbean,LCN
TCD,Sub-Saharan Africa,SSF
TGO,Sub-Saharan Africa,SSF
THA,East Asia & Pacific,EAS
TJK,Europe & Central Asia,ECS
TKM,Europe & Central Asia,ECS
TLS,East Asia & Pacific,EAS
TON,East Asia & Pacific,EAS
TTO,Latin America & Caribbean,LCN
TUN,"Middle East, North Africa, Afghanistan & Pakistan",MEA
TUR,Europe & Central Asia,ECS
TUV,East Asia & Pacific,EAS
TZA,Sub-Saharan Africa,SSF
UGA,Sub-Saharan Africa,SSF
UKR,Europe & Central Asia,ECS
URY,Latin America & Caribbean,LCN
USA,North America,NAC
UZB,Europe & Central Asia,ECS
VCT,Latin America & Caribbean,LCN
VEN,Latin America & Caribbean,LCN
VGB,Latin America & Caribbean,LCN
VIR,Latin America & Caribbean,LCN
VNM,East Asia & Pacific,EAS
VUT,East Asia & Pacific,EAS
WSM,East Asia & Pacific,EAS
XKX,Europe & Central Asia,ECS
YEM,"Middle East, North Africa, Afghanistan & Pakistan",MEA
ZAF,Sub-Saharan Africa,SSF
ZMB,Sub-Saharan Africa,SSF
ZWE,Sub-Saharan Africa,SSF
