country_iso3_code,us_export_value_pre_baci_thousand_usd,china_import_value_pre_baci_thousand_usd,us_export_share_list1_pre,us_export_competition_share_list1_pre,china_import_share_list1_pre,us_export_share_list2_pre,us_export_competition_share_list2_pre,china_import_share_list2_pre,us_export_share_list3_pre,us_export_competition_share_list3_pre,china_import_share_list3_pre,us_export_share_list4a_pre,us_export_competition_share_list4a_pre,china_import_share_list4a_pre,us_tariffed_export_share_pre,us_china_competition_tariffed_share_pre,china_tariffed_import_share_pre
CHE,95736179.603,34938117.252999924,0.1538060051180336,0.0192339894185574,0.1059514445839852,0.011455160416341,0.001202294773621,0.0124064380419005,0.1898531439876924,0.0212904337271167,0.2816641610004053,0.1706322829858158,0.0129567664335573,0.3476478693755903,0.5257465925078829,0.0546834843528526,0.7476699130018815
CHL,28665493.599999946,42659335.98699991,0.0091979924950603,0.0013165842260903,0.128484539906348,0.0030708682441805,0.0001832017897419,0.0173393052631061,0.7904795179595334,0.039502289729328,0.2883520237105568,0.1551454101945067,0.0015385796797796,0.3488380082037592,0.957893788893281,0.0425406554249399,0.7830138770837702
CHN,1447698155.9930005,0.0,0.1435324191854567,0.0474963823395165,,0.0161626263694109,0.0037442894283214,,0.3471438272339905,0.1620665851485068,,0.2283986488331199,0.1205254261035929,,0.7352375216219781,0.3338326830199378,0.0
CIV,3629811.5719999927,4535584.128000003,0.0057290893996852,0.0009425272598701,0.2236171311956754,0.0003636403636436,7.687881809212581e-05,0.0548088389465322,0.1024760601540119,0.0017578202420047,0.409485512689403,0.8415627123908461,0.001649093983761,0.2124538832939486,0.950131502308187,0.0044263203037279,0.9003653661255593
CMR,445983.8690000004,3833072.811000002,0.0294496705216035,0.0072088211362517,0.1590711836337201,0.0023562175070506,0.000394496846933,0.0395884765258115,0.4652975755946005,0.0214359230803228,0.4122768366061167,0.2014931979524129,0.0094674465300816,0.2696161453114639,0.6985966615756677,0.0385066875935892,0.8805526420771123
COD,418772.42,3451293.358000005,0.0034209392299521,0.0003205838827655,0.2349326498486539,0.00043952512441,7.305209998781561e-06,0.064287642916734,0.7991533563743283,0.0019154652058076,0.3884575986252632,0.1638909482147845,0.0062064468476445,0.2094205111033619,0.966904768943475,0.0084498011462165,0.8970984024940131
COG,817985.8069999999,2682121.142999999,0.2794072464878354,0.0032047726956149,0.5285511635818017,3.133306199284703e-06,1.068778639784546e-06,0.0397251322066774,0.5656652463164314,0.0054138106350396,0.224774728603674,0.0174899672800801,0.00162298996796,0.1528240400586561,0.8625655933905464,0.0102426420772544,0.9458750644508094
COK,5571.446000000001,24813.48800000003,0.3689381535780835,0.0151136566455234,0.4995611660883784,0.0249728705976868,0.0013397342177583,0.1278270108579655,0.2753832667497808,0.1298253638650568,0.1733618425591757,0.2208040785103185,0.0730020189145493,0.1084243779028566,0.8900983694358697,0.219280773642888,0.9091743974083764
COL,34977667.09299998,27506306.84600004,0.0135401998292442,0.001669504638584,0.114793786773275,0.0111627576522431,0.001149926959316,0.0245705636450529,0.6427489240841683,0.0108761501660954,0.3586286217276921,0.2573752147066909,0.0114287526710153,0.2170030725105502,0.9248270962723466,0.0251243344350109,0.7149960446565704
COM,8932.941,124149.0040000002,0.0074067431991322,0.0007099310047551,0.1493397643367319,0.0022301725713849,0.000684632303294,0.0530096721516992,0.0177858557444854,0.0025127682525033,0.3538485818218885,0.969822704526986,0.0136676412420168,0.3476082498414564,0.9972454760419888,0.0175749728025694,0.903806268151776
CPV,9352.694000000003,149094.5179999998,0.1610689925277144,0.0391423337993636,0.084515749935219,0.0058799101093225,0.0013745854455341,0.0215315562440733,0.3508949400033829,0.0819743958842958,0.4164486315989162,0.3497724826664914,0.0426345945324065,0.3228574104917801,0.8676163253069114,0.1651259096616002,0.8453533482699888
CRI,13355987.850999972,6251613.264999977,0.2147904129596238,0.0218759751687929,0.1097072355450641,0.0403716322607787,0.0049618188079111,0.0424291559244429,0.4021986356926645,0.0282949859041736,0.3652894339746089,0.1359508160876359,0.0109203362759491,0.2947176063041404,0.793311497000703,0.0660531161568268,0.8121434317482564
CUB,7.51,5904941.200000004,0.0,0.0,0.2680911388245494,0.0,0.0,0.0658899438321247,0.0,0.0,0.3716423540339394,1.0,0.4644337959180052,0.1766728159799458,1.0,0.4644337959180052,0.8822962526705594
CUW,735198.7249999985,225536.5620000002,0.0181690997899921,0.0019501339501764,0.0871878281092179,0.0004919227791098,9.419507191239457e-05,0.0311849880907557,0.6356043082093227,0.0027448540674408,0.3372918045988478,0.0308493230860813,0.0014081907707242,0.472201252229782,0.685114653864506,0.0061973738602539,0.9278658730286036
CXR,4829.924999999998,0.0,0.1914555609041549,0.048251669626775,,0.0437650688157683,0.0072156138398129,,0.579618317054613,0.1658326405498184,,0.1071598420265325,0.0513314401378076,,0.9219987888010688,0.2726313641542141,0.0
CYM,175756.52499999994,486854.3889999996,0.0339930423635765,0.0027248377435607,0.9304743496930872,0.0011885988301145,0.0001444115008574,0.0054644654749122,0.944359095629594,0.0289619158070064,0.0213526061074495,0.0114284917729228,0.0011882897605452,0.0034705448655203,0.9909692285962076,0.0330194548119699,0.9607619661409692
CYP,189847.8500000001,1713125.4380000029,0.3786350806711794,0.0857466272811267,0.5292043944303385,0.003491580231222,0.0007726938403733,0.0074502460338809,0.3803593719918341,0.0939495347070701,0.2556503757899364,0.2018407846072526,0.0364120810271817,0.1101495978136304,0.964326817501488,0.216880936855752,0.9024546140677862
CZE,13343187.771000044,55021806.57799993,0.3532702856992562,0.0558212963667592,0.2312589009043496,0.0190132833588225,0.0035472695867645,0.0253750488548708,0.4020520240043012,0.0855217540821379,0.2450636609665857,0.1587429717959554,0.0348316352480719,0.1711877579418874,0.9330785648583354,0.1797219552837337,0.6728853686676937
DEU,355192528.2369998,311990921.231,0.5024033991248004,0.0369080122651704,0.1879563552831142,0.0520551018704508,0.0034763525823715,0.0216601218533423,0.2232547635464013,0.0406314976614987,0.3066166992730267,0.0663222662197487,0.0109743783487223,0.2446556714657875,0.8440355307614013,0.091990240857763,0.7608888478752709
DJI,7525.041999999998,6301076.657999999,0.3045007589326412,0.0120829419167574,0.1451006939963497,0.0047452226844713,0.0010608576234503,0.0419202601930954,0.1939110771740544,0.0209004779772187,0.3690029527014209,0.4930030955308954,0.1080801934566684,0.3615624885482866,0.9961601543220624,0.1421244709740949,0.9175863954391528
