dv,dropped_country,coef_z_eci_pe,pvalue_z_eci_pe,delta_vs_full
DV3_Partner_Diversification,CHN,0.0005971399605276498,0.9616812129625336,2.1395109706648504e-05
DV3_Partner_Diversification,CIV,0.0005470955325794584,0.9648838875294372,-2.8649318241542876e-05
DV3_Partner_Diversification,CMR,0.0005617534209011532,0.963944606961355,-1.3991429919848076e-05
DV3_Partner_Diversification,COD,-0.0012363272760352053,0.9254432956729821,-0.0018120721268562066
DV3_Partner_Diversification,COG,-0.00042413379810723973,0.9735220678146874,-0.000999878648928241
DV3_Partner_Diversification,COL,0.000402840854888633,0.97413198768346,-0.00017290399593236833
DV3_Partner_Diversification,COM,0.000501405641465956,0.9678099571307882,-7.433920935504532e-05
DV3_Partner_Diversification,CPV,0.0005424403088062383,0.9651842359454563,-3.330454201476299e-05
DV3_Partner_Diversification,CRI,0.00028971711986530593,0.9814333148975585,-0.0002860277309556954
DV3_Partner_Diversification,CUB,0.0005898438098328115,0.9621623318186534,1.4098959011810217e-05
DV3_Partner_Diversification,CYM,0.0005288764340937888,0.9660261154676391,-4.6868416727212565e-05
DV3_Partner_Diversification,CYP,0.0006155008011892223,0.9604892589523519,3.975595036822101e-05
DV3_Partner_Diversification,CZE,0.0005525137173679217,0.9645326799345428,-2.323113345307961e-05
DV3_Partner_Diversification,DEU,0.0005882728141092465,0.9622449772366514,1.2527963288245202e-05
DV3_Partner_Diversification,DJI,0.0025428293585683798,0.834675129607352,0.0019670845077473785
DV3_Partner_Diversification,DNK,0.0005744751185752634,0.9631263210851346,-1.2697322457379256e-06
DV3_Partner_Diversification,DOM,0.0006194937821737433,0.9602221868647989,4.374893135274203e-05
DV3_Partner_Diversification,DZA,0.0005409323224939795,0.9652706181503805,-3.481252832702184e-05
DV3_Partner_Diversification,ECU,0.0013695476034841364,0.9129686921189473,0.0007938027526631351
DV3_Partner_Diversification,EGY,0.0005891371206563868,0.9621812931172176,1.3392269835385464e-05
DV3_Partner_Diversification,ESP,0.0005668922135721231,0.9636181579528728,-8.85263724887818e-06
DV3_Partner_Diversification,EST,0.0005533022999299536,0.9644772797578733,-2.2442550891047745e-05
DV3_Partner_Diversification,ETH,0.0006279876514652608,0.9601108765592896,5.224280064425953e-05
DV3_Partner_Diversification,FIN,0.0005808409276736011,0.9627177911969356,5.096076852599812e-06
DV3_Partner_Diversification,FRA,0.0005849366586018491,0.9624606536489949,9.191807780847827e-06
DV3_Partner_Diversification,FSM,-0.002876171397963728,0.8141070816916254,-0.003451916248784729
DV3_Partner_Diversification,GAB,0.0007039345729478793,0.9549548654007761,0.00012818972212687795
DV3_Partner_Diversification,GBR,0.0005776965996764473,0.9629351422912601,1.9517488554460054e-06
DV3_Partner_Diversification,GEO,0.0005700269103851871,0.96340124825965,-5.717940435814211e-06
DV3_Partner_Diversification,GHA,0.0008010096294242038,0.9491895998462642,0.0002252647786032025
DV3_Partner_Diversification,GIN,-0.004193486791945641,0.7309008348098025,-0.0047692316427666425
DV3_Partner_Diversification,GMB,-0.00020693467577431084,0.9869424705546018,-0.0007826795265953122
DV3_Partner_Diversification,GNB,0.0005573181765550865,0.9642032780501919,-1.8426674265914792e-05
DV3_Partner_Diversification,GNQ,0.0005554254413473346,0.9643480485149897,-2.031940947366676e-05
DV3_Partner_Diversification,GRC,0.0005491918834998901,0.9647327374975675,-2.655296732111123e-05
DV3_Partner_Diversification,GRL,0.000510303069345179,0.967183257854435,-6.544178147582227e-05
DV3_Partner_Diversification,GTM,0.0004756481878223013,0.9694457675189216,-0.00010009666299870003
DV3_Partner_Diversification,GUM,0.0007609314716145669,0.9512654553471707,0.00018518662079356559
DV3_Partner_Diversification,HKG,-0.0005809405520480217,0.9637625301910127,-0.001156685402869023
DV3_Partner_Diversification,HND,0.0007817933051952402,0.9499516778950768,0.00020604845437423888
DV3_Partner_Diversification,HRV,0.0005600240070545415,0.9640494275454552,-1.5720843766459797e-05
DV3_Partner_Diversification,HTI,0.0009792627868903563,0.9384282996173079,0.000403517936069355
DV3_Partner_Diversification,HUN,0.0005897165844698049,0.9621419633507511,1.3971733648803593e-05
DV3_Partner_Diversification,IDN,0.0005455026174109316,0.964984542946228,-3.0242233410069687e-05
DV3_Partner_Diversification,IND,0.0005995796246673821,0.9615332924893394,2.3834773846380776e-05
DV3_Partner_Diversification,IRL,0.0005677757960888151,0.9635563278008061,-7.969054732186263e-06
