dv,dropped_country,coef_z_eci_pe,pvalue_z_eci_pe,delta_vs_full
DV2_Export_Recovery,BMU,-0.1052773652437789,0.18336404037357257,-0.002190502828810295
DV2_Export_Recovery,BOL,-0.10301814612716385,0.18346552374433778,6.87162878047487e-05
DV2_Export_Recovery,BRA,-0.1045635437134044,0.18009418196036242,-0.0014766812984357974
DV2_Export_Recovery,BRN,-0.1041107197899963,0.1779333723648705,-0.0010238573750276925
DV2_Export_Recovery,BTN,-0.10439210304713266,0.1770810456269365,-0.0013052406321640564
DV2_Export_Recovery,BWA,-0.10245849463334139,0.18506716974200488,0.0006283677816272121
DV2_Export_Recovery,CAF,-0.10254202445877199,0.18349751695807148,0.0005448379561966143
DV2_Export_Recovery,CAN,-0.10330362132266195,0.1951830846989766,-0.0002167589076933485
DV2_Export_Recovery,CHE,-0.10310540324610501,0.18326869654355327,-1.8540831136407143e-05
DV2_Export_Recovery,CHL,-0.10333425384912039,0.1819990507957232,-0.00024739143415178355
DV2_Export_Recovery,CHN,-0.10315783220125527,0.18301027625845878,-7.096978628666484e-05
DV2_Export_Recovery,CIV,-0.10252282018198033,0.1852349355140479,0.0005640422329882683
DV2_Export_Recovery,CMR,-0.1028802684654932,0.183401726210077,0.000206593949475406
DV2_Export_Recovery,COD,-0.08137870739780013,0.30766838313078304,0.021708155017168468
DV2_Export_Recovery,COG,-0.10393820760685894,0.18473607679843662,-0.0008513451918903403
DV2_Export_Recovery,COL,-0.09992849036463229,0.19739605200300658,0.003158372050336311
DV2_Export_Recovery,COM,-0.10306743594199637,0.18215920296189214,1.9426472972233766e-05
DV2_Export_Recovery,CPV,-0.10296052301949792,0.18339429412556751,0.00012633939547068707
DV2_Export_Recovery,CRI,-0.09733456404020091,0.21098984044388902,0.005752298374767692
DV2_Export_Recovery,CUB,-0.10239994560627208,0.18486866265709634,0.0006869168086965222
DV2_Export_Recovery,CYM,-0.10290124907903292,0.18324194980067277,0.0001856133359356832
DV2_Export_Recovery,CYP,-0.10284853213623263,0.1829945537749582,0.00023833027873597368
DV2_Export_Recovery,CZE,-0.10285905704292672,0.18397819014178562,0.000227805372041881
