country_iso3_code,n_obs,flagged_obs,max_cooks,max_abs_dffits,max_leverage,flag_rate
SYC,10,1,0.014492910818239859,1.7066514452088442,0.11487938498866447,0.1
ATG,8,1,0.011856839215506869,1.5390749098339707,0.1382307529193564,0.125
GUM,10,1,0.008386774572713772,1.2939026094250294,0.11022200690088892,0.1
BHR,10,1,0.007330848927614512,1.2092296242345837,0.11277604453620824,0.1
WSM,10,1,0.006975524150362118,1.179138300713243,0.11156856077008781,0.1
GAB,10,1,0.00615217315096583,1.1069945222611641,0.12512261018407622,0.1
RWA,10,1,0.004421748755091011,0.937587437926247,0.11058380201092322,0.1
MHL,10,1,0.004058885420854367,0.8979577521166338,0.12088365828474149,0.1
LBY,10,1,0.003928657766124362,0.8826380596141171,0.19026421973536034,0.1
GMB,10,1,0.003590075880942856,0.8442614883002377,0.12082737596763517,0.1
GRL,9,1,0.003013740557302389,0.7733067260045511,0.1222644111955156,0.1111111111111111
UGA,10,1,0.0027769086862446954,0.7423681942129824,0.10774840735370142,0.1
CPV,10,1,0.002576927544358378,0.7150636162032769,0.11104205364789779,0.1
TKM,8,1,0.002447830389115593,0.6966658133654035,0.1509693408925495,0.125
AZE,10,1,0.002322538159068181,0.6787272303251342,0.11093035420197445,0.1
SLB,10,0,0.002086279272731995,0.6431950346198374,0.1328624159223746,0.0
ASM,10,0,0.0020246424339976283,0.6336380207747562,0.11171392555057312,0.0
YEM,7,0,0.0018349992370713516,0.6029363299360265,0.17158609479303066,0.0
COM,10,0,0.001812710182317452,0.5994944540185665,0.11593258188703522,0.0
TJK,10,0,0.0017831469714936331,0.594532269663754,0.11828347223757188,0.0
LAO,5,0,0.0017169042193992325,0.5831086313108942,0.20894125058675822,0.0
KGZ,10,0,0.0016209275511528257,0.566803032165852,0.11387500406452385,0.0
HND,10,0,0.0015330804279363932,0.5512192583886515,0.1097016966319979,0.0
NIC,10,0,0.0013788460785612861,0.5227088709993855,0.11611163763323792,0.0
IRQ,10,0,0.0013685728928420052,0.5207144269792277,0.13078036805686885,0.0
MNG,10,0,0.0013613027198212005,0.5193574063854011,0.1294068223235904,0.0
MKD,10,0,0.0013588378486235266,0.5189074518686018,0.11033740521619406,0.0
GNQ,10,0,0.0013532937577812251,0.5178040374881168,0.13381033466917266,0.0
BRN,10,0,0.0012997908051344644,0.5074567027079159,0.11852680284309203,0.0
BHS,10,0,0.0012572766419387672,0.499090763791964,0.11440805499760402,0.0
COD,10,0,0.001217770345616973,0.49116332727534234,0.1458909373056842,0.0
MRT,10,0,0.0011843478600735834,0.48437052963786836,0.12080475688784142,0.0
MDV,8,0,0.0010667186899827998,0.45962709047150707,0.1450056463279934,0.0
UZB,10,0,0.001063971498616939,0.4590600523967291,0.12265284906676541,0.0
SWZ,9,0,0.001046304305304957,0.45524175061297245,0.1192656878786429,0.0
ZWE,10,0,0.001001120918831687,0.4453111706073655,0.11167780405921555,0.0
OMN,10,0,0.0009386178922356068,0.43116362356969107,0.11443117655957773,0.0
BEN,10,0,0.0009308595728779842,0.42938088996598145,0.11349846002366541,0.0
ZMB,10,0,0.0008912794471961433,0.42015218828264095,0.13292081655960059,0.0
CYP,10,0,0.0008317131937605113,0.405841096127034,0.11653948955441831,0.0
BOL,10,0,0.000816618264920906,0.4021506577730426,0.11391264210620751,0.0
CAF,10,0,0.0008158164341127615,0.40194652887681886,0.13263208244975924,0.0
SOM,9,0,0.0007764655819136784,0.3921147267574848,0.12230143035883827,0.0
BLR,10,0,0.0007724111319008495,0.39110223583242276,0.11051462197513928,0.0
ECU,10,0,0.0007365907718704366,0.38192299009707326,0.11404746571885527,0.0
PSE,10,0,0.0007343816327074383,0.3813481943693351,0.10827863557593817,0.0
CHL,10,0,0.000706591830132494,0.37404825636012434,0.1184621065431657,0.0
DOM,10,0,0.0006969454168309485,0.37149454411670574,0.11284745509916552,0.0
KHM,10,0,0.0006587017657513115,0.3611441074338122,0.11752299128005061,0.0
PRY,10,0,0.0006481695603175039,0.3582495624297692,0.10783922307161697,0.0
LSO,10,0,0.0006200048735552704,0.3503751308815323,0.11023867412325403,0.0
SLV,10,0,0.0005344800185759864,0.32529602287354564,0.11115909920750974,0.0
HKG,10,0,0.0005294486280294229,0.3237489417618897,0.13163909386504896,0.0
UKR,10,0,0.0005221366615442664,0.32151601183555445,0.11244775434797387,0.0
MOZ,10,0,0.0005167441181278888,0.3198439843169983,0.11687595899548518,0.0
CAN,10,0,0.00047979470844182026,0.3081910769864348,0.11712292922172993,0.0
GTM,10,0,0.00046954549092254776,0.3048860893264248,0.10933775465449001,0.0
IRN,10,0,0.00046781260030344114,0.30431894362978906,0.11552700329575948,0.0
CUB,9,0,0.00042099991183524216,0.2886819519730852,0.12284653446476783,0.0
HTI,10,0,0.0003998284965684522,0.28133287165648563,0.11375830372081414,0.0
MWI,5,0,0.0003937113112821901,0.2791400192247874,0.20693536524268788,0.0
KWT,9,0,0.00037013541392102127,0.27067066721971755,0.1318350211573404,0.0
ZAF,10,0,0.00035483861925903506,0.26502574296489234,0.11104505108621208,0.0
PAN,10,0,0.0003538045571153708,0.2646324039079337,0.1234683167105286,0.0
VNM,10,0,0.0003462101654401984,0.2617757000431783,0.12405963178857451,0.0
TON,10,0,0.000337307585712528,0.25839067504683144,0.11484387027333828,0.0
TZA,10,0,0.0003171118644651224,0.25053091584879755,0.12164182035989143,0.0
ARM,10,0,0.0003118102244627671,0.24843231117064693,0.11180713191701694,0.0
NAM,10,0,0.00031034839084533895,0.24784956631156677,0.11235821858408954,0.0
MNE,10,0,0.0003019236026740222,0.24446170268252773,0.10740750697085609,0.0
MLT,10,0,0.0002985617566238405,0.2430932122094707,0.11430357740543688,0.0
ALB,10,0,0.00029734143992539284,0.24259797789685653,0.10962629820992256,0.0
LBN,10,0,0.0002920223185902397,0.24041803702159636,0.1184728149124416,0.0
DZA,10,0,0.00025093391606922303,0.22285818824849843,0.10829365613000945,0.0
CRI,10,0,0.00025015117317607846,0.22251068321162287,0.11056894890762102,0.0
MUS,10,0,0.00023615545175802958,0.21619438088614637,0.10824699194081552,0.0
TGO,10,0,0.00023593136860377707,0.2160917039625711,0.11184884457909627,0.0
QAT,10,0,0.00022774660315993617,0.21230967760245564,0.11646153566016178,0.0
COL,10,0,0.00022511638840560426,0.21107940248371582,0.11312036310529773,0.0
SMR,6,0,0.00019920676330657458,0.19854984763980693,0.17308737660383805,0.0
URY,10,0,0.00019599757293484583,0.19695199841859393,0.11141888512226769,0.0
GHA,10,0,0.00018981794579944468,0.19382145020304,0.11278961649776852,0.0
ISR,10,0,0.00018649821759937353,0.19211733469354111,0.119955743090167,0.0
SRB,10,0,0.00017775877573932637,0.18756321744773927,0.10939846988913192,0.0
LUX,10,0,0.0001559282738393624,0.1756662074898543,0.11954905084649091,0.0
MEX,10,0,0.00015576234764268793,0.1755724481095467,0.11815715592012813,0.0
SVN,10,0,0.00014890702161137894,0.17166562779742803,0.10728472996048452,0.0
LKA,7,0,0.0001465444282885688,0.17029389610006437,0.15009402466750255,0.0
SYR,9,0,0.000146362117244424,0.1701905026619167,0.14017418284043165,0.0
SAU,10,0,0.00013925277172988242,0.16600510184931921,0.12396112465104273,0.0
ARG,10,0,0.00013661587213495386,0.16442629946803786,0.11367827526763412,0.0
KEN,10,0,0.0001359673832750272,0.16403606456157663,0.10939105750785903,0.0
KAZ,10,0,0.0001295592605600287,0.16012298372450678,0.11267527391510813,0.0
MDA,10,0,0.00012798902984468582,0.15914984981232785,0.11004238337775038,0.0
SEN,10,0,0.00012650627394745104,0.15822557358037234,0.10771985203268036,0.0
AUT,10,0,0.00011789337378370344,0.1527436785749542,0.10679814518991368,0.0
SGP,10,0,0.00011326434566956462,0.14971417038173704,0.11242577937707421,0.0
BGD,10,0,0.00011143920663231274,0.14850266009818244,0.11432721553866927,0.0
AUS,10,0,0.00011031459029506673,0.14775197047393357,0.11393814718206396,0.0
PHL,10,0,0.00011012779195774981,0.14762632590179503,0.11540542247393579,0.0
CMR,10,0,0.00010771168418268699,0.1459981132811065,0.10908525690773774,0.0
HRV,10,0,0.0001055804880447634,0.14454647523946612,0.10830510765916315,0.0
TUR,10,0,0.00010512741728864567,0.14423492487455794,0.12004793906053796,0.0
LVA,10,0,9.946943132944985e-05,0.1403003891539887,0.10947793063028877,0.0
NLD,10,0,9.739882061766078e-05,0.1388320569818071,0.1100705416227142,0.0
ROU,10,0,9.516230036992766e-05,0.13722888137281003,0.10899708527691863,0.0
JOR,10,0,9.248163976357108e-05,0.13528211892866576,0.11200485455804396,0.0
ETH,10,0,9.013765269383094e-05,0.13355598427103743,0.11765471123170645,0.0
PER,10,0,8.926055878507807e-05,0.13290495249680104,0.11423284183989521,0.0
MAR,10,0,8.384311339501094e-05,0.12880844759734328,0.10701415219126638,0.0
ARE,10,0,8.044943032685817e-05,0.126174069325143,0.11248087753114364,0.0
BRA,10,0,7.942477818230217e-05,0.1253677877761911,0.11503119297370726,0.0
NZL,10,0,7.92008343743691e-05,0.12519105948541737,0.11197377100903284,0.0
GRC,10,0,7.724388278632061e-05,0.12363473191901941,0.11013387138213866,0.0
