country_iso3_code,n_obs,flagged_obs,max_cooks,max_abs_dffits,max_leverage,flag_rate
USA,9,0,0.0018081119400399684,0.41009445422584623,0.13912374590873244,0.0
CRI,9,0,0.0016638101625987868,0.3933527176766431,0.1389079140732831,0.0
NLD,9,0,0.0016509816679196293,0.3918694593905194,0.128016060558224,0.0
JOR,9,0,0.001636249871457455,0.3901023496850451,0.15444800631366185,0.0
CHE,9,0,0.0014953434757960327,0.37290426642474966,0.12985439914022873,0.0
MLT,9,0,0.0014090035324642414,0.3619401217529455,0.15384664051009447,0.0
BEL,9,0,0.00138664695059633,0.3590682924760471,0.13253417558625158,0.0
VNM,9,0,0.0011440061443788196,0.32604919959214523,0.1660683933136098,0.0
MAR,9,0,0.0011189553856689506,0.3225141155955746,0.13170675542512494,0.0
CAN,9,0,0.0010881321354284108,0.3180301533896494,0.14078240050440294,0.0
TUR,9,0,0.0010771918780463946,0.3164268463847665,0.15963051002947554,0.0
ROU,9,0,0.0010366026989446222,0.31039285577380205,0.1342543504900502,0.0
LTU,9,0,0.0010123465982715312,0.30672612370146624,0.13951158965456328,0.0
MEX,9,0,0.0009725135297098254,0.30064186719351627,0.14586988273759877,0.0
POL,9,0,0.0009295120928599477,0.29390231689605034,0.14660052447511449,0.0
BGD,9,0,0.0009026386774839742,0.28959227591445735,0.16593041876673217,0.0
PAK,9,0,0.0008549659173127538,0.28186497895003,0.14586237727137305,0.0
HUN,9,0,0.000852753012573177,0.28149925560636474,0.14027203339241462,0.0
CZE,9,0,0.0008079160279298638,0.27399465392334593,0.13372097436505373,0.0
LVA,9,0,0.0007652542989362293,0.26665047652194335,0.13535459014537887,0.0
SVN,9,0,0.0007511031610999131,0.26417923129785725,0.1309993141161766,0.0
BGR,9,0,0.0006565407191320277,0.24697686800967406,0.1348503600229036,0.0
PHL,9,0,0.0006402189388680424,0.24388462065515604,0.13875875073304406,0.0
BLR,9,0,0.0006005013366760866,0.23619179837937926,0.1431228243907756,0.0
PRT,9,0,0.0005860002463267137,0.23332243966007787,0.12882360861321282,0.0
DEU,9,0,0.0005514687057432942,0.22634225131234778,0.1288272132026938,0.0
THA,9,0,0.0005432617185141053,0.22464970190712047,0.13454743438748537,0.0
SWE,9,0,0.0005260524763831488,0.2210605608532808,0.12884566583251722,0.0
ISR,9,0,0.0005154815702479513,0.21881863143809696,0.14278473599742497,0.0
MYS,9,0,0.00040906470822680565,0.19492290797920092,0.1417298715745039,0.0
ITA,9,0,0.0003627110565396443,0.18354385866394324,0.13176340238381498,0.0
AUT,9,0,0.00035000032349879345,0.18029793532866517,0.13083042786576055,0.0
SVK,9,0,0.00033304322821032405,0.17587365994622634,0.13240192293369588,0.0
NZL,9,0,0.00031580552058147203,0.17125983150677937,0.1399910481480589,0.0
EST,9,0,0.00028451821957522843,0.1625526444483258,0.13344561378881736,0.0
CHN,9,0,0.0002379496679488086,0.14864830677999552,0.1505798974537437,0.0
IND,9,0,0.00022884511460067051,0.14577896043089794,0.1388703047331059,0.0
GBR,9,0,0.00016931336490121356,0.12538860448224035,0.1328407413979222,0.0
FRA,9,0,0.0001549921609218572,0.11996737043814264,0.12955628702441718,0.0
ESP,9,0,0.0001304211174335814,0.11004649410296632,0.13025097485136986,0.0
