dv,country_iso3_code,year,abs_dffits,cooks_d,leverage,is_high_dffits,is_high_cooks,is_high_leverage,is_any_flag
DV3_Partner_Diversification,AUS,2012,0.07384922207872788,2.7561174697192065e-05,0.11005174644489851,False,False,False,False
DV3_Partner_Diversification,AUS,2013,0.07992392043635566,3.228174531705345e-05,0.10819745671175483,False,False,False,False
DV3_Partner_Diversification,AUS,2014,0.037128645466421785,6.96679989620608e-06,0.10714408715645085,False,False,False,False
DV3_Partner_Diversification,AUS,2015,0.08853747380146193,3.961452289927798e-05,0.10883568750759649,False,False,False,False
DV3_Partner_Diversification,AUS,2016,0.14775197047393357,0.00011031459029506673,0.1064270016458872,False,False,False,False
DV3_Partner_Diversification,AUS,2017,0.10106174577644707,5.161410747025531e-05,0.1095249142475836,False,False,False,False
DV3_Partner_Diversification,AUS,2018,0.010848610228921982,5.947936407049222e-07,0.10657197224417986,False,False,False,False
DV3_Partner_Diversification,AUS,2019,0.0980549683177373,4.858871247050021e-05,0.1094081351738604,False,False,False,False
DV3_Partner_Diversification,AUS,2020,0.0952614124615926,4.585982564010114e-05,0.11393814718206396,False,False,False,False
DV3_Partner_Diversification,AUS,2021,0.09557363569461225,4.6160899558033645e-05,0.11301632433695584,False,False,False,False
DV3_Partner_Diversification,AUT,2012,0.08092229775385122,3.309323478311634e-05,0.10655194443504211,False,False,False,False
DV3_Partner_Diversification,AUT,2013,0.0061943482176150646,1.939141603546645e-07,0.10607713335220012,False,False,False,False
DV3_Partner_Diversification,AUT,2014,0.04342527241547898,9.530132939215792e-06,0.10564225425077567,False,False,False,False
DV3_Partner_Diversification,AUT,2015,0.0465391274932509,1.0945854364110145e-05,0.1057989273616979,False,False,False,False
DV3_Partner_Diversification,AUT,2016,0.09176216464552568,4.255253689688059e-05,0.10561273256751784,False,False,False,False
DV3_Partner_Diversification,AUT,2017,0.011281260516791786,6.431811917077457e-07,0.10577166323465398,False,False,False,False
DV3_Partner_Diversification,AUT,2018,0.0426946211384464,9.212135633386154e-06,0.10539675799739043,False,False,False,False
DV3_Partner_Diversification,AUT,2019,0.06396258442298944,2.0675717971281655e-05,0.10596747990937419,False,False,False,False
DV3_Partner_Diversification,AUT,2020,0.1527436785749542,0.00011789337378370344,0.10657030123823746,False,False,False,False
DV3_Partner_Diversification,AUT,2021,0.09492919948782205,4.554037921926753e-05,0.10679814518991368,False,False,False,False
DV3_Partner_Diversification,AZE,2012,0.22987944877654903,0.00026699190618356824,0.11055626189204705,False,False,False,False
DV3_Partner_Diversification,AZE,2013,0.20396230686755698,0.0002101941207466443,0.10780638410113723,False,False,False,False
DV3_Partner_Diversification,AZE,2014,0.21479815855553644,0.00023311606793631742,0.10871783294726267,False,False,False,False
DV3_Partner_Diversification,AZE,2015,0.029247720307444075,4.323151355387043e-06,0.10889819585790231,False,False,False,False
DV3_Partner_Diversification,AZE,2016,0.05879757626165542,1.7471462167325456e-05,0.10943754846915085,False,False,False,False
DV3_Partner_Diversification,AZE,2017,0.07619267229949103,2.933803902052835e-05,0.1072045523888665,False,False,False,False
DV3_Partner_Diversification,AZE,2018,0.1383188109179786,9.667993601203473e-05,0.10864495190241728,False,False,False,False
DV3_Partner_Diversification,AZE,2019,0.08554582885639489,3.698271546610244e-05,0.10732886227660302,False,False,False,False
DV3_Partner_Diversification,AZE,2020,0.04121411422787939,8.584330675161652e-06,0.11030010147243886,False,False,False,False
DV3_Partner_Diversification,AZE,2021,0.6787272303251342,0.002322538159068181,0.11093035420197445,True,True,False,True
DV3_Partner_Diversification,BEL,2012,0.0920934009974054,4.2860348851811465e-05,0.10879998831967105,False,False,False,False
DV3_Partner_Diversification,BEL,2013,0.04047391395371949,8.278754100346833e-06,0.108724117171625,False,False,False,False
DV3_Partner_Diversification,BEL,2014,0.015038882913427797,1.1430072977411096e-06,0.10666596877685264,False,False,False,False
DV3_Partner_Diversification,BEL,2015,0.008851064546300228,3.959216201870488e-07,0.1088113304350314,False,False,False,False
DV3_Partner_Diversification,BEL,2016,0.0012250565964923704,7.584565165661329e-09,0.106073262467588,False,False,False,False
DV3_Partner_Diversification,BEL,2017,0.05055413938505837,1.2915938102733614e-05,0.1098892691564605,False,False,False,False
DV3_Partner_Diversification,BEL,2018,0.011241194440536215,6.386207166660918e-07,0.10629375226658114,False,False,False,False
DV3_Partner_Diversification,BEL,2019,0.03284366096764743,5.451536697246941e-06,0.10657004910909779,False,False,False,False
DV3_Partner_Diversification,BEL,2020,0.057756070884625386,1.6857999348731227e-05,0.11029279587773469,False,False,False,False
DV3_Partner_Diversification,BEL,2021,0.010859297976565908,5.959661760518648e-07,0.10927926359363527,False,False,False,False
DV3_Partner_Diversification,BEN,2012,0.2206634313782113,0.0002460185767243477,0.11046056905127337,False,False,False,False
DV3_Partner_Diversification,BEN,2013,0.3407965227038172,0.0005865904082241246,0.107396038651615,False,False,False,False
DV3_Partner_Diversification,BEN,2014,0.081482872780728,3.3553313481477724e-05,0.10751200651033045,False,False,False,False
DV3_Partner_Diversification,BEN,2015,0.10784162542838381,5.877107581034775e-05,0.10678512424422994,False,False,False,False
DV3_Partner_Diversification,BEN,2016,0.04629872479478993,1.083306790777514e-05,0.1088603324227186,False,False,False,False
DV3_Partner_Diversification,BEN,2017,0.030303025417611956,4.640750382003831e-06,0.10781869727553432,False,False,False,False
DV3_Partner_Diversification,BEN,2018,0.10378273772233747,5.443067399435041e-05,0.10921996228668379,False,False,False,False
DV3_Partner_Diversification,BEN,2019,0.10614518662638897,5.6936928067248904e-05,0.11349846002366541,False,False,False,False
DV3_Partner_Diversification,BEN,2020,0.42938088996598145,0.0009308595728779842,0.11077027741600479,False,False,False,False
DV3_Partner_Diversification,BEN,2021,0.35036857892766066,0.0006200004509043038,0.11175623256521613,False,False,False,False
DV3_Partner_Diversification,BFA,2012,0.12387124177883481,7.75395030443422e-05,0.10692323212537423,False,False,False,False
DV3_Partner_Diversification,BFA,2013,0.013565873665825103,9.300653838180567e-07,0.10598896656059979,False,False,False,False
DV3_Partner_Diversification,BFA,2014,0.4002870957586486,0.0008090542022224256,0.10580854609617131,False,False,False,False
DV3_Partner_Diversification,BFA,2015,0.6323924683310232,0.0020166721369341114,0.10592738240915113,False,False,False,False
DV3_Partner_Diversification,BFA,2016,0.2541244555205674,0.00032625643664977583,0.10740271602772133,False,False,False,False
DV3_Partner_Diversification,BFA,2017,0.6405378817320555,0.0020688928824324163,0.10702241424596129,False,False,False,False
DV3_Partner_Diversification,BFA,2018,0.4416143913211695,0.0009845547048837147,0.10627781112695504,False,False,False,False
DV3_Partner_Diversification,BFA,2019,0.301473557940622,0.0004590942230836525,0.10704632968654092,False,False,False,False
DV3_Partner_Diversification,BFA,2020,1.1792475101906479,0.006975821778823402,0.10838758535646813,True,True,False,True
DV3_Partner_Diversification,BFA,2021,0.8898474981620352,0.003985296207998686,0.11134745591097993,True,True,False,True
DV3_Partner_Diversification,BGD,2012,0.0787877943674749,3.137054692660887e-05,0.1104650137041068,False,False,False,False
DV3_Partner_Diversification,BGD,2013,0.05069005443570715,1.2985477920290592e-05,0.10894464571954346,False,False,False,False
DV3_Partner_Diversification,BGD,2014,0.04000030051930874,8.08613881776607e-06,0.1092673926691684,False,False,False,False
DV3_Partner_Diversification,BGD,2015,0.05227521529249294,1.3810316248297889e-05,0.1077233591982064,False,False,False,False
DV3_Partner_Diversification,BGD,2016,0.005165044936599579,1.3482378945112895e-07,0.10668364019390227,False,False,False,False
DV3_Partner_Diversification,BGD,2017,0.1432686799386125,0.00010372238851211818,0.10738872395777736,False,False,False,False
DV3_Partner_Diversification,BGD,2018,0.0920864505907091,4.285383893949372e-05,0.10679292300530548,False,False,False,False
DV3_Partner_Diversification,BGD,2019,0.0963324037742915,4.689667722425965e-05,0.11088863412361286,False,False,False,False
DV3_Partner_Diversification,BGD,2020,0.14850266009818244,0.00011143920663231274,0.1135390573872556,False,False,False,False
DV3_Partner_Diversification,BGD,2021,0.04448644307598649,1.000159815417997e-05,0.11432721553866927,False,False,False,False
DV3_Partner_Diversification,BGR,2012,0.008848328914000676,3.956769163170492e-07,0.10664291106412277,False,False,False,False
DV3_Partner_Diversification,BGR,2013,0.08146245010679735,3.353648159261663e-05,0.10632017527513422,False,False,False,False
DV3_Partner_Diversification,BGR,2014,0.018030855741627057,1.643048133589815e-06,0.1062883581036799,False,False,False,False
DV3_Partner_Diversification,BGR,2015,0.004815751667833767,1.1720509637733743e-07,0.10606990790946666,False,False,False,False
DV3_Partner_Diversification,BGR,2016,0.055659447532763265,1.565628491208985e-05,0.10550040835060027,False,False,False,False
DV3_Partner_Diversification,BGR,2017,0.048053891325365285,1.1669976403625529e-05,0.10590295505111465,False,False,False,False
DV3_Partner_Diversification,BGR,2018,0.08637028878855008,3.769894783050684e-05,0.10572649935487885,False,False,False,False
DV3_Partner_Diversification,BGR,2019,0.012987309188815995,8.524253215785869e-07,0.10635028703742376,False,False,False,False
DV3_Partner_Diversification,BGR,2020,0.059118570235282664,1.7662737410925377e-05,0.1076703860975317,False,False,False,False
DV3_Partner_Diversification,BGR,2021,0.0060304542562485755,1.8378850881771824e-07,0.10798118756995913,False,False,False,False
DV3_Partner_Diversification,BHR,2012,0.4223883962635154,0.0009008097209591862,0.11000167412609058,False,False,False,False
DV3_Partner_Diversification,BHR,2013,0.25787645295588874,0.00033596449284647176,0.11277604453620824,False,False,False,False
DV3_Partner_Diversification,BHR,2014,0.27059788092673254,0.0003699105763092989,0.1086221508075239,False,False,False,False
DV3_Partner_Diversification,BHR,2015,1.2092296242345837,0.007330848927614512,0.10607172523347454,True,True,False,True
DV3_Partner_Diversification,BHR,2016,0.09785121817679762,4.838696976371818e-05,0.10799884794886647,False,False,False,False
DV3_Partner_Diversification,BHR,2017,0.026023549742154733,3.4225505358586063e-06,0.10796148926675163,False,False,False,False
DV3_Partner_Diversification,BHR,2018,0.0929608908842479,4.367152454352308e-05,0.10640902876763231,False,False,False,False
DV3_Partner_Diversification,BHR,2019,0.03723770083168613,7.007786159002064e-06,0.10765710775890706,False,False,False,False
DV3_Partner_Diversification,BHR,2020,0.11637479464804626,6.843910331687849e-05,0.10739578215072147,False,False,False,False
DV3_Partner_Diversification,BHR,2021,0.23246033064223864,0.0002730180196674877,0.10939637456395679,False,False,False,False
DV3_Partner_Diversification,BHS,2012,0.11121313630584483,6.25033096232212e-05,0.11297273107365388,False,False,False,False
DV3_Partner_Diversification,BHS,2013,0.2735312068566532,0.0003779753861475919,0.11177193088288168,False,False,False,False
DV3_Partner_Diversification,BHS,2014,0.3399276323881038,0.0005836060617008293,0.10768345238181429,False,False,False,False
DV3_Partner_Diversification,BHS,2015,0.12239106347094306,7.569765515929031e-05,0.10723556157727797,False,False,False,False
DV3_Partner_Diversification,BHS,2016,0.052720513718108916,1.4046595999035168e-05,0.10729873868824541,False,False,False,False
DV3_Partner_Diversification,BHS,2017,0.3164258039793036,0.0005057446164950575,0.10950736271429491,False,False,False,False
DV3_Partner_Diversification,BHS,2018,0.1918757727707404,0.00018602517511262433,0.10722532828660031,False,False,False,False
DV3_Partner_Diversification,BHS,2019,0.12437155385971366,7.816751694019153e-05,0.11374043443819669,False,False,False,False
