country_iso3_code,eci_pre_raw,coi_pre_raw,baseline_log_gdp_pc,baseline_trade_open,baseline_wgi,baseline_rents,baseline_export_value,nexus_exposure_pre,z_eci_pre_raw,z_coi_pre_raw,z_baseline_log_gdp_pc,z_baseline_trade_open,z_baseline_wgi,z_baseline_rents,z_nexus_exposure_pre,exposed_top_tercile_pre,exposed_top_quartile_pre,exposure_tercile_threshold,exposure_quartile_threshold,us_export_market_dependence_pre,china_export_market_dependence_pre,china_import_dependence_pre,wb_income_id,wb_income_name,wb_region
AUT,1.4406666666666668,0.4036666666666666,10.701948555564124,103.41571436628999,1.465374161111111,0.12257017378986967,139275915006.66666,0.08637945461232592,1.4601522251317194,0.6810441965249608,1.3704893300216012,0.25602452218966276,1.6413160057715348,-0.6362813171156562,-0.8187692037240507,0,0,0.26917599908681505,0.317817685580497,0.06602464969972122,0.030224017162826865,0.0459912364782414,HIC,High income,Europe & Central Asia
AZE,-0.898,-1.2590000000000001,8.581639956740956,84.36038077473607,-0.6119688777777763,16.301350753940536,13955439648.333334,0.060275544627893606,-0.8963466408838893,-1.212191042482665,-0.1205693008259165,-0.0838254444735369,-0.6507449547366594,1.4982913083404208,-0.9736565499608352,0,0,0.26917599908681505,0.317817685580497,0.01677620374949471,0.02327670149780459,0.0444488939695993,UMC,Upper middle income,Europe & Central Asia
BDI,-1.1833333333333333,-0.8463333333333334,5.553138429146849,,-1.3271933055555527,17.714592702668636,171636341.66666666,0.1005692265587808,-1.1838556245368768,-0.7422982546134907,-2.2502938813706597,,-1.4398962688056587,1.684749586945316,-0.7345743025846316,0,0,0.26917599908681505,0.317817685580497,0.039068396516856015,0.02076761132819428,0.10095337633712514,LIC,Low income,Sub-Saharan Africa
BEL,1.178,1.118,10.626863013294754,160.34348563188735,1.2533373,0.03426000365218327,286614220148.0,0.0903829733039886,1.1954827401801371,1.4944369626022147,1.3176871360792901,1.2713256227381642,1.4073626324271766,-0.6479326570167948,-0.7950143568014705,0,0,0.26917599908681505,0.317817685580497,0.056995179414993324,0.02157522177401185,0.028934521150025577,HIC,High income,Europe & Central Asia
BEN,-1.012,-0.7360000000000001,6.921359276639474,59.0732794938742,-0.23869568888888873,4.284126286231364,981116564.0,0.3868031863114347,-1.011215884352723,-0.6166645609263369,-1.288123796934981,-0.5348183639110105,-0.23888957609190847,-0.08721992692562382,0.9637926644856205,1,1,0.26917599908681505,0.317817685580497,0.009526623549095425,0.06046471734226879,0.3789154490032442,LMC,Lower middle income,Sub-Saharan Africa
BES,0.5576666666666666,-0.7503333333333334,,,,,25129656.0,0.0024471579998479,0.5704194007196115,-0.6329855543660579,,,,,-1.3167808308564717,0,0,0.26917599908681505,0.317817685580497,0.0,0.0,0.002662659863740032,,,
BFA,-1.4436666666666664,-1.2033333333333334,6.4755513955689805,58.75037810387453,-0.43912221666666623,12.186092142642869,2109885942.3333333,0.0511027976891728,-1.4461739846221373,-1.1488048586586326,-1.601628014735609,-0.5405772778706973,-0.4600325511180119,0.9553382511041016,-1.0280829723583744,0,0,0.26917599908681505,0.317817685580497,0.0017672766415561057,0.012687609759921089,0.0612942164289906,LIC,Low income,Sub-Saharan Africa
BGD,-0.8476666666666667,-1.0913333333333333,7.168495594732124,34.473292371362234,-0.9259559444444442,0.7754582156102341,32942725019.33333,0.2735443648874374,-0.8456295187675328,-1.0212733750366272,-1.1143308215669385,-0.9735566711325883,-0.9971862906828344,-0.5501415159944772,0.2917723311818881,1,0,0.26917599908681505,0.317817685580497,0.1731501196337419,0.022660303550119776,0.30499031763730594,LMC,Lower middle income,South Asia
BGR,0.6733333333333333,1.6456666666666664,8.933302329877057,126.39219520582235,0.05281813888888897,0.6447707094760257,26183978526.33333,0.0450697029393897,0.6869680190929605,2.095277255976126,0.12672923717932108,0.6658077574101566,0.08275564647813825,-0.5673839757522574,-1.063880292987593,0,0,0.26917599908681505,0.317817685580497,0.019715116302280063,0.02341828800805564,0.036418480152340664,HIC,High income,Europe & Central Asia
BHR,0.6273333333333334,-0.4573333333333333,10.072611596277126,139.0560992953573,-0.19446722777777714,11.147872727930933,9459455285.0,0.1326843463902821,0.6406172717283434,-0.2993540838192046,0.9279224766036418,0.8916672188557461,-0.19008958150345762,0.8183591548809863,-0.5440194896181424,0,0,0.26917599908681505,0.317817685580497,0.0881423917936326,0.010117923293350725,0.07636352612520964,HIC,High income,"Middle East, North Africa, Afghanistan & Pakistan"
BHS,0.6003333333333334,-0.3473333333333333,10.329196433137817,68.40839362795583,0.6276875166666667,0.01629636048540613,1621197936.6666667,0.3367431975320754,0.6134113982751985,-0.17409994811902088,1.1083599071541193,-0.3683275380211399,0.7170445595412631,-0.6503027182687724,0.6667621116181667,1,1,0.26917599908681505,0.317817685580497,0.2461114742927438,0.01879185756738686,0.07704450699114937,HIC,High income,Latin America & Caribbean
BIH,0.4083333333333334,0.588,8.492135066677235,91.0606356488493,-0.3392959611111109,1.1157353453347199,5187809012.0,0.0176326778355894,0.4199474092750574,0.8909397633195111,-0.18351157201542206,0.03567293033379865,-0.34988807381734155,-0.5052465226678609,-1.2266776673845339,0,0,0.26917599908681505,0.317817685580497,0.012795743539611736,0.007904153144175986,0.011654237222650033,UMC,Upper middle income,Europe & Central Asia
BLM,0.6896666666666667,-0.38133333333333336,,,,,15291210.666666666,0.0,0.7034258931572086,-0.2128148627899868,,,,,-1.3313010237564857,0,0,0.26917599908681505,0.317817685580497,0.0,0.0,0.0,,,
BLR,0.8736666666666667,0.5786666666666667,8.685066200593363,124.83063460820667,-0.528180633333332,1.3252052883276166,20995151069.666668,0.0394857241820794,0.8888288826156773,0.8803121396843441,-0.04783715530810577,0.6379574805051393,-0.5582962062895327,-0.4776097793451254,-1.0970127873793591,0,0,0.26917599908681505,0.317817685580497,0.0075069751745996,0.025657299891335538,0.04002232928119175,UMC,Upper middle income,Europe & Central Asia
BLZ,-0.34366666666666673,-0.5933333333333334,8.695507187583866,99.42601727013634,-0.23641810555555534,0.7603744624451303,412323915.6666667,0.3456807806300158,-0.33778654764216226,-0.45421374250306823,-0.04049476949907948,0.184868673953814,-0.23637657763912054,-0.5521316144716683,0.7197931912011218,1,1,0.26917599908681505,0.317817685580497,0.2806745127711985,0.0026470731497207473,0.08612701132268025,UMC,Upper middle income,Latin America & Caribbean
BMU,0.632,-0.5806666666666667,11.567247740542122,72.81261211691567,1.0263636333333332,0.0,287147218.0,0.2914330399941181,0.6453195214609857,-0.43979053899819853,1.9789912333496686,-0.289778742249132,1.1569285583763507,-0.6524528039822401,0.397914645364637,1,0,0.26917599908681505,0.317817685580497,0.16496979152740782,8.376207074780016e-05,0.0764622482160544,HIC,High income,North America
BOL,-1.3310000000000002,-1.1393333333333333,8.031770903821874,56.63666401941763,-0.6052646611111109,4.035132533116797,7538245979.666667,0.1775280985556328,-1.332648241076916,-1.0759297251603437,-0.5072521627668659,-0.5782751569283808,-0.6433477781486889,-0.12007130572236706,-0.2779394360042015,0,0,0.26917599908681505,0.317817685580497,0.11408650162637463,0.04980118284040716,0.09285044701131646,LMC,Lower middle income,Latin America & Caribbean
BRA,0.6353333333333334,0.5656666666666667,9.072533396782179,25.269014129493637,-0.15123774444444413,2.5074067836196066,188063210620.0,0.3483768623059676,0.648678271270016,0.8655093781925041,0.2246403073443976,-1.1377140519849678,-0.14239182083689492,-0.32163418296924434,0.7357903707912614,1,1,0.26917599908681505,0.317817685580497,0.12270031660505275,0.20992070110552744,0.16329653630409965,UMC,Upper middle income,Latin America & Caribbean
BRB,0.444,0.226,9.934598234830766,,0.93942175,0.11938309134954243,331271698.6666667,0.4117735856399054,0.45588603223168084,0.4787397894698156,0.8308677300110514,,1.0610002052392693,-0.6367018098035008,1.1119543340886093,1,1,0.26917599908681505,0.317817685580497,0.17624860896009006,0.054011245372771695,0.06013211370700916,HIC,High income,Latin America & Caribbean
BRN,0.47700000000000004,-0.8443333333333333,10.304815208443477,87.464283337721,0.6408959833333334,17.2408867084829,5159339195.0,0.1550617847976029,0.4891376553410801,-0.7400209066916692,1.0912143673344417,-0.028467653045324684,0.7316182771353653,1.6222504484784843,-0.41124313341119706,0,0,0.26917599908681505,0.317817685580497,0.003517754559721512,0.04062763661910939,0.22603494130443813,HIC,High income,East Asia & Pacific
BTN,-0.2916666666666667,-0.9216666666666667,8.042689193088174,80.93743833146972,0.5360627666666667,3.9429102525494737,230171296.33333334,0.0279954832940448,-0.28539005062129064,-0.8280783596687683,-0.4995741250257361,-0.14487328022225007,0.6159493101963831,-0.132238796008851,-1.165190042044673,0,0,0.26917599908681505,0.317817685580497,0.01286226061915259,0.000962785741607618,0.01252151001837594,LMC,Lower middle income,South Asia
BVT,1.0626666666666666,-0.806,,,,,1204252.3333333333,0.0,1.0792699967876913,-0.69637173819009,,,,,-1.3313010237564857,0,0,0.26917599908681505,0.317817685580497,0.0,0.0,0.0,,,
BWA,-0.021666666666666667,-1.236,8.768394677377772,98.42984405279346,0.5991638777777778,0.815726554046199,5552003376.0,0.0617035200856271,-0.013331316089842145,-1.1860015413817173,0.010761694205465612,0.1671020243657527,0.6855726659132255,-0.5448286500172065,-0.9651836687230627,0,0,0.26917599908681505,0.317817685580497,0.06709360869173489,0.01264446677490449,0.035656174660749856,UMC,Upper middle income,Sub-Saharan Africa
